OnsetTime	OffsetTime	MidiPitch	Velocity
0.500004	1.52987	51	32
0.500004	0.75747	58	38
0.75747	1.2724	58	35
1.2724	1.52987	58	33
1.52987	2.55973	51	32
1.52987	1.78733	58	37
1.78733	2.30226	58	35
2.30226	2.55973	58	34
2.55973	3.58869	51	32
2.55973	2.81719	58	38
2.55973	4.3534	75	52
2.55973	4.3534	79	52
2.81719	3.32654	58	35
3.32654	3.58869	58	33
3.32654	4.10368	74	50
3.32654	3.58869	77	50
3.58869	4.60313	51	32
3.58869	3.84618	58	37
3.58869	4.10368	77	52
3.58869	4.47098	80	52
3.84618	4.3534	58	35
4.10368	4.47098	74	52
4.10368	4.47098	77	52
4.3534	4.60313	58	34
4.3534	4.60313	75	50
4.3534	4.60313	79	50
4.60313	5.63091	51	32
4.60313	4.85723	58	38
4.60313	5.11134	72	52
4.60313	5.63091	75	52
4.85723	5.37113	58	35
5.11134	5.63091	68	49
5.11134	5.63091	72	49
5.37113	5.63091	58	33
5.63091	6.66547	51	32
5.63091	5.8907	58	37
5.63091	6.66547	67	47
5.63091	6.66547	70	47
5.8907	6.40798	58	35
6.40798	6.66547	58	34
6.66547	7.65909	51	32
6.66547	7.65909	65	37
6.66547	7.65909	68	51
6.66547	7.65909	72	51
6.9152	7.40937	58	35
7.16492	7.65909	74	56
7.40937	7.65909	58	34
7.40937	7.65909	77	55
7.65909	8.67553	51	32
7.65909	8.7926	65	37
7.65909	8.7926	68	55
7.65909	8.7926	74	55
7.91319	8.42142	58	35
8.1673	8.7926	70	51
8.42142	8.67553	58	34
8.67553	9.67701	51	32
8.67553	8.92416	58	37
8.67553	9.67701	67	51
8.67553	9.41723	72	51
8.92416	9.41723	58	35
8.92416	9.67701	74	49
9.17279	9.67701	79	52
9.41723	9.67701	58	34
9.41723	9.67701	72	50
9.67701	10.7162	51	32
9.67701	9.9368	58	37
9.67701	10.7162	67	47
9.67701	10.7162	70	47
9.9368	10.4564	58	35
10.4564	10.7162	58	34
10.7162	11.7326	55	35
10.7162	10.9714	62	42
10.7162	11.4774	70	64
10.7162	11.6571	74	64
10.9714	11.4774	62	38
11.4774	12.721	62	36
11.4774	12.8366	67	55
11.4774	12.721	70	55
11.7326	12.721	55	35
11.7326	11.9834	63	40
11.7326	12.8366	69	60
11.7326	12.8366	72	51
11.9834	12.4776	63	38
12.2342	12.8366	78	65
12.4776	12.8366	63	37
12.4776	12.8366	81	60
12.721	13.212	55	38
12.721	12.9665	62	43
12.721	13.7127	70	57
12.721	13.7127	79	64
12.9665	13.7127	62	37
12.9665	13.4564	74	56
13.212	13.7127	55	35
13.212	13.4564	63	39
13.212	13.7127	69	51
13.212	13.7127	72	58
13.4564	13.7127	63	35
13.4564	13.7127	74	53
13.7127	15.7429	55	31
13.7127	13.9691	62	36
13.7127	15.7429	67	47
13.7127	14.7381	70	47
13.9691	14.4818	62	34
14.4818	14.7381	62	33
14.7381	14.9857	53	42
14.7381	15.7429	62	60
14.7381	15.7429	70	51
14.7381	15.7429	77	60
14.9857	16.7453	53	42
15.4939	15.7429	63	47
15.4939	16.7453	69	49
15.4939	15.7429	79	58
15.7429	16.7453	60	48
15.7429	16.7453	75	57
15.9899	16.7453	62	49
15.9899	16.7453	77	60
16.2393	16.7453	63	50
16.2393	16.7453	79	64
16.491	16.7453	65	50
16.491	16.7453	81	61
16.7453	17.23	62	56
16.7453	17.23	70	58
16.7453	17.23	77	69
