OnsetTime	OffsetTime	MidiPitch	Velocity
0.500004	1.55244	43	35
0.500004	1.55244	55	41
0.500004	0.767863	67	53
0.500004	0.767863	71	49
0.501117	0.767863	62	49
0.767863	1.03571	62	46
0.767863	1.03571	67	49
0.767863	1.03571	71	46
0.901786	1.03571	66	49
1.03571	1.55244	65	53
1.03571	1.30355	71	49
1.30355	1.57141	38	29
1.30355	1.57141	50	36
1.30355	1.55244	64	49
1.30355	1.57141	71	46
1.43748	1.57141	63	53
1.57141	2.11643	45	33
1.57141	2.11643	57	39
1.57141	1.97785	62	57
1.57141	1.83927	66	51
1.57141	1.83927	72	51
1.83927	2.11643	38	37
1.83927	2.11643	50	44
1.83927	2.11643	66	51
1.83927	2.11643	72	48
1.97785	2.11643	62	51
2.11643	3.20409	43	39
2.11643	3.20409	55	47
2.11643	2.38428	62	53
2.11643	2.38428	67	59
2.11643	2.38428	71	53
2.38428	2.64544	62	49
2.38428	2.64544	67	53
2.38428	2.65213	71	49
2.51821	2.65213	66	53
2.65213	3.20409	65	58
2.65213	2.91998	71	52
2.91998	3.20409	38	38
2.91998	3.20409	50	45
2.91998	3.20409	64	49
2.91998	3.20409	71	46
3.05571	3.20409	63	50
3.19144	3.68223	45	35
3.19144	3.68223	57	41
3.19144	3.61306	62	57
3.19144	3.46743	66	51
3.19144	3.46743	72	51
3.46743	3.75869	38	33
3.46743	3.75869	50	39
3.46743	3.68223	66	50
3.46743	3.75869	72	47
3.61306	3.75869	62	50
3.75869	4.86474	43	35
3.75869	5.43958	55	41
3.75869	5.42673	67	44
3.75869	5.42673	71	44
3.75869	5.27758	74	51
3.75869	5.43958	79	68
4.03647	4.26147	50	44
4.17284	4.3092	52	44
4.3092	4.44808	50	47
4.58697	4.72585	50	44
4.86474	5.42673	43	35
4.86474	5.43958	57	41
4.86474	5.43958	66	40
4.86474	5.43958	72	49
4.86474	5.43958	78	59
5.13997	5.43958	50	41
5.27758	5.43958	74	57
5.42673	6.53413	43	41
5.42673	7.1116	59	41
5.42673	7.1116	67	51
5.42673	7.1116	71	51
5.42673	5.7071	76	61
5.7071	5.93108	50	44
5.7071	5.8881	76	53
5.7976	5.93108	78	53
5.84285	5.97859	52	44
5.8881	5.97859	76	53
5.97859	6.11748	50	47
