OnsetTime	OffsetTime	MidiPitch	Velocity
2.12817	2.64682	36	27
2.12817	2.64682	60	35
2.64682	2.78342	32	25
2.64682	2.78342	56	31
2.78342	4.45276	29	22
2.78342	4.45276	53	28
4.45276	4.93009	32	27
4.45276	4.93009	56	35
4.93009	5.03751	36	24
4.93009	5.03751	60	30
5.03751	5.5658	41	27
5.03751	5.5658	65	35
5.5658	6.0339	44	27
5.5658	6.0339	68	35
6.0339	6.13545	48	24
6.0339	6.13545	72	30
6.13545	6.69421	53	27
6.13545	6.69421	77	35
6.70238	7.25883	56	26
6.70238	7.25883	65	33
7.25883	8.38498	52	26
7.25883	8.38498	55	26
7.25883	8.38498	60	26
7.25883	8.24089	72	35
8.18624	8.33529	74	33
8.33529	8.38498	72	31
8.38498	9.48076	53	26
8.38498	9.48076	56	26
8.38498	9.48076	59	26
8.38498	8.50001	74	32
8.4427	8.55695	76	28
8.50001	8.61349	74	32
8.55695	8.66967	76	28
8.61349	8.72542	74	32
8.66967	8.78121	76	29
8.72542	8.83715	74	32
8.78121	8.89341	76	28
8.83715	8.94983	74	31
8.89341	9.00657	76	29
8.94983	9.06347	74	27
9.00657	9.2599	76	32
9.06347	9.36529	74	27
9.15452	9.48076	72	28
9.2599	9.48076	76	31
9.36529	9.48076	74	28
9.48076	9.94262	52	19
9.48076	9.94262	55	22
9.48076	9.94262	60	26
9.48076	9.94262	72	35
11.5591	12.0574	37	27
11.5591	12.0574	61	35
12.0574	12.1934	34	25
12.0574	12.1934	58	31
12.1934	13.882	30	22
12.1934	13.882	54	28
13.882	14.371	34	27
13.882	14.371	58	35
14.371	14.4784	37	24
14.371	14.4784	61	30
14.4784	15.0067	42	27
14.4784	15.0067	66	35
15.0067	15.4724	46	27
15.0067	15.4724	70	35
15.4724	15.5739	49	24
15.4724	15.5739	73	30
15.5739	16.1408	54	29
15.5739	16.1408	78	34
16.1408	16.6973	58	26
16.1408	16.6973	66	33
16.6973	17.8214	53	26
16.6973	17.8214	56	26
16.6973	17.8214	61	26
16.6973	17.6793	73	35
17.6247	17.7738	75	32
17.7738	17.8214	73	31
17.8214	18.9212	54	26
17.8214	18.9212	57	26
17.8214	18.9212	60	26
17.8214	17.9385	75	30
17.8802	17.9961	77	27
17.9385	18.0532	75	30
17.9961	18.1098	77	27
18.0532	18.1657	75	30
18.1098	18.2213	77	27
18.1657	18.2769	75	29
18.2213	18.3329	77	27
18.2769	18.389	75	29
18.3329	18.4455	77	28
18.389	18.5029	75	30
18.4455	18.7004	77	28
18.5029	18.8057	75	26
18.595	18.9212	73	28
18.7004	18.9212	77	31
18.8057	18.9212	75	29
18.9212	19.2937	53	19
18.9212	19.2937	56	22
18.9212	19.2937	61	26
18.9212	19.2937	73	35
21.1564	22.2812	64	26
21.1564	22.2812	67	26
21.1564	22.1371	72	35
22.0825	22.2315	74	42
22.2315	22.2812	72	38
22.2812	23.3729	65	26
22.2812	23.3729	68	26
22.2812	23.3729	71	26
22.2812	22.394	74	43
22.3377	22.4501	76	35
22.394	22.5061	74	40
22.4501	22.5618	76	36
22.5061	22.6173	74	39
22.5618	22.6727	76	36
22.6173	22.7285	74	41
22.6727	22.7844	76	37
22.7285	22.8406	74	40
22.7844	22.897	76	35
22.8406	22.9546	74	31
22.897	23.1521	76	37
22.9546	23.2575	74	33
23.0467	23.3729	72	33
