OnsetTime	OffsetTime	MidiPitch	Velocity
0.501694	2.11932	60	61
0.704402	2.32203	64	57
0.90711	1.5112	67	56
1.10982	1.71391	72	60
1.31249	1.91661	76	63
1.5112	2.52474	67	50
1.71391	2.72745	72	47
1.91661	2.93015	76	47
2.11932	3.73286	60	62
2.32203	3.74807	64	57
2.52474	3.13284	67	56
2.72745	3.33283	72	60
2.93015	3.53283	76	62
3.13284	3.74807	67	50
3.33283	3.74807	72	48
3.53283	3.74807	76	48
3.73286	5.32274	60	65
3.93557	5.52141	62	60
4.13828	4.73062	69	56
4.34093	4.92799	74	60
4.53826	5.12536	77	65
4.73062	5.72008	69	51
4.92799	5.91873	74	50
5.12536	6.1135	77	50
5.32274	6.90921	60	65
5.52141	6.90921	62	60
5.72008	6.30341	69	58
5.91873	6.49822	74	60
6.1135	6.69309	77	65
6.30341	6.90921	69	52
6.49822	6.90921	74	50
6.69309	6.90921	77	50
6.89579	8.46655	59	65
7.09713	8.66789	62	60
7.29847	7.88207	67	56
7.49976	8.07687	74	60
7.6945	8.27168	77	65
7.88207	8.86923	67	51
8.07687	9.07054	74	50
8.27168	9.26787	77	50
8.46655	10.075	59	65
8.66789	10.075	62	60
8.86923	9.46022	67	56
9.07054	9.65759	74	60
9.26787	9.85505	77	65
9.46022	10.075	67	52
9.65759	10.075	74	50
9.85505	10.075	77	50
10.0619	11.6412	60	61
10.2592	11.8386	64	57
10.4566	11.0424	67	53
10.654	11.2398	72	55
10.8513	11.4372	76	60
11.0424	12.036	67	50
11.2398	12.2333	72	47
11.4372	12.4307	76	47
11.6412	13.2152	60	62
11.8386	13.227	64	57
12.036	12.623	67	55
12.2333	12.8204	72	57
12.4307	13.0178	76	61
12.623	13.227	67	50
12.8204	13.227	72	48
13.0178	13.227	76	48
13.2152	14.8012	60	67
13.4179	15.0039	64	62
13.6206	14.2129	69	61
13.8233	14.409	76	66
14.0206	14.6051	81	70
14.2129	15.2066	69	55
14.409	15.4093	76	51
14.6051	15.6053	81	51
14.8012	16.3912	60	68
15.0039	16.401	64	62
15.2066	15.7977	69	61
15.4093	15.9938	76	65
15.6053	16.1899	81	68
15.7977	16.401	69	55
15.9938	16.401	76	52
16.1899	16.401	81	52
16.3912	17.951	60	61
16.5872	18.1524	62	57
16.7833	17.3666	66	56
16.9794	17.5614	69	60
17.1755	17.7562	74	63
17.3666	18.3537	66	50
17.5614	18.5551	69	47
17.7562	18.7564	74	47
17.951	19.5477	60	62
18.1524	19.5477	62	57
18.3537	18.9512	66	56
18.5551	19.146	69	60
18.7564	19.3409	74	62
18.9512	19.546	66	50
19.146	19.546	69	48
19.3409	19.5477	74	48
19.5477	21.1272	59	65
19.7477	21.3272	62	60
19.9477	20.5348	67	58
20.1477	20.7296	74	63
20.3424	20.9245	79	66
20.5348	21.5272	67	51
20.7296	21.7271	74	50
20.9245	21.9206	79	50
21.1272	22.7083	59	65
21.3272	22.7284	62	60
21.5272	22.1142	67	58
21.7271	22.3077	74	62
21.9206	22.5014	79	65
22.1142	22.7284	67	52
22.3077	22.7284	74	50
22.5014	22.7284	79	50
22.7083	24.2969	59	61
22.9096	24.493	60	57
23.1109	23.7071	64	56
23.3123	23.9006	67	60
23.5135	24.0943	72	63
23.7071	24.6891	64	50
23.9006	24.8851	67	47
24.0943	25.0812	72	47
24.2969	25.8836	59	62
24.493	25.8836	60	57
24.6891	25.2748	64	56
24.8851	25.4683	67	60
25.0812	25.662	72	62
25.2748	25.8836	64	50
25.4683	25.8836	67	48
25.662	25.8836	72	48
25.8688	27.4637	57	61
26.0661	27.6624	60	57
