OnsetTime	OffsetTime	MidiPitch	Velocity
0.503062	0.639238	48	88
0.503062	0.639238	72	96
0.618558	0.750147	63	80
0.620436	0.752025	55	73
0.730406	0.863042	62	77
0.732284	0.865026	53	72
0.843193	0.981863	63	77
0.845178	0.983821	55	72
0.963236	1.09972	51	80
0.965194	1.10161	60	80
1.0799	1.21198	55	72
1.08179	1.21387	63	76
1.19501	1.32815	62	76
1.19594	1.32914	53	73
1.30538	1.42437	55	73
1.30538	1.42437	63	76
1.4284	1.56836	48	88
1.4284	1.56836	72	96
1.54581	1.67699	55	74
1.5487	1.67979	63	80
1.65825	1.79003	53	74
1.66013	1.79197	62	78
1.77061	1.9069	63	78
1.77251	1.90886	55	72
1.88633	2.02211	60	80
1.89121	2.0266	51	80
2.00396	2.13001	55	73
2.00396	2.13001	63	78
2.11203	2.24003	53	73
2.11382	2.24207	62	77
2.21995	2.34166	63	77
2.22276	2.34469	55	73
2.34166	2.47973	68	96
2.3437	2.48162	48	88
2.46077	2.59293	56	73
2.46558	2.59765	65	80
2.57502	2.70765	55	73
2.57595	2.70863	64	76
2.68728	2.82363	65	76
2.69208	2.82855	56	73
2.80396	2.94094	60	80
2.80494	2.94188	53	80
2.92205	3.05371	56	73
2.92205	3.05371	65	76
3.03492	3.16744	55	73
3.0368	3.16942	64	76
3.15056	3.2696	65	76
3.15255	3.27157	56	73
3.26664	3.40385	48	88
3.2696	3.4067	68	96
3.38476	3.51792	56	74
3.38769	3.52078	65	80
3.4989	3.63296	55	72
3.50176	3.63598	64	77
3.61298	3.75267	65	77
3.61488	3.75459	56	72
3.73633	3.87048	60	80
3.73825	3.87236	53	80
3.85074	3.98233	56	74
3.85074	3.98233	65	76
3.96353	4.09649	55	74
3.96353	4.09649	64	76
4.07444	4.19527	65	76
4.07935	4.20025	56	74
4.19828	4.335	71	96
4.20025	4.33687	48	88
4.31633	4.44694	56	74
4.31727	4.44788	65	80
4.42922	4.56095	63	76
4.43015	4.56193	55	74
4.54029	4.6776	65	75
4.54126	4.67857	56	74
4.65643	4.79059	62	80
4.6574	4.79153	53	80
4.77184	4.90295	56	74
4.77561	4.90669	65	76
4.88329	5.01509	55	74
4.88703	5.01899	63	76
4.99849	5.11569	56	73
5.00045	5.11766	65	76
5.11766	5.25481	48	88
5.11766	5.25481	71	96
5.23327	5.36437	56	75
5.23421	5.36531	65	80
5.34377	5.47587	63	76
5.34471	5.47686	55	75
5.458	5.59651	65	80
5.459	5.59749	56	75
5.57606	5.71165	53	80
5.57606	5.71165	62	80
5.69567	5.82725	56	74
5.69661	5.82819	65	77
5.80563	5.93851	63	77
5.80939	5.94255	55	74
5.91936	6.04033	56	74
5.92137	6.04242	65	77
6.04346	6.18707	48	88
6.04346	6.18707	72	96
6.16376	6.29316	51	75
6.16862	6.29778	67	80
6.27932	6.40972	50	75
6.27932	6.40972	65	75
6.38823	6.52536	51	75
6.38823	6.52536	67	75
6.50444	6.64182	63	80
6.50644	6.64361	55	80
6.62297	6.74796	67	76
6.62486	6.74973	51	75
6.72932	6.85507	50	75
6.73022	6.85605	65	76
6.83661	6.95371	51	75
6.84043	6.95769	67	76
6.95273	7.09136	72	96
6.95469	7.09321	48	88
7.07269	7.20247	51	75
7.07469	7.20432	67	80
7.18395	7.31521	65	75
7.1858	7.31725	50	75
7.29506	7.4368	51	75
7.29895	7.44079	67	75
7.41684	7.55518	63	80
7.41987	7.55799	55	80
7.53641	7.66647	67	76
7.5412	7.67095	51	75
7.64847	7.77684	50	75
7.65303	7.78211	65	76
7.75697	7.88338	67	76
7.75997	7.88658	51	75
7.88338	8.03112	75	96
7.88551	8.03301	48	88
8.01414	8.14622	68	80
8.01508	8.14716	60	75
8.12829	8.26188	58	75
8.12829	8.26188	67	76
8.24062	8.38183	60	75
8.24265	8.3838	68	76
8.36305	8.50025	56	80
8.36305	8.50025	63	80
8.47768	8.60885	60	75
8.47965	8.61073	68	75
8.59107	8.72366	67	75
8.59387	8.72671	58	75
8.70639	8.82781	60	74
8.70639	8.82781	68	76
8.82581	8.96422	75	96
8.82781	8.96611	48	88
8.94335	9.07554	60	76
8.94535	9.07743	68	80
9.06139	9.1944	58	76
9.06139	9.1944	67	75
9.17276	9.31062	60	76
9.17374	9.31162	68	75
9.28791	9.42518	63	80
9.29185	9.4289	56	80
9.40647	9.53669	60	75
9.40938	9.53948	68	75
9.51997	9.65173	67	76
9.5209	9.65274	58	75
9.63352	9.75496	68	76
9.63453	9.75596	60	75
