OnsetTime	OffsetTime	MidiPitch	Velocity
0.500004	1.68095	37	32
0.500004	1.68095	44	32
0.500004	1.68095	49	38
0.500004	1.48137	53	39
0.500004	1.48137	56	46
1.38236	1.78622	54	31
1.38236	1.78622	58	37
1.68095	2.31252	37	25
1.68095	2.31252	44	25
1.68095	2.31252	49	30
1.68095	2.30726	53	31
1.68095	2.31252	56	37
2.31252	4.01147	37	27
2.31252	4.01147	44	27
2.31252	4.01147	49	32
2.31252	4.01147	53	46
2.45815	3.44829	56	39
2.60262	3.44829	61	43
2.7457	3.44829	65	40
2.88743	4.01147	68	43
3.02784	4.01147	73	43
3.16694	4.01147	77	44
3.30541	4.01147	80	47
3.44829	4.05269	56	25
3.44829	4.05269	61	30
3.44829	4.05269	65	30
3.44829	4.05269	85	52
4.10763	5.27471	49	26
4.10763	5.27471	56	26
4.10763	5.27471	61	31
4.10763	5.0785	65	38
4.10763	5.0785	68	38
4.98142	5.37998	66	35
4.98142	5.37998	70	35
5.27471	5.9063	49	25
5.27471	5.9063	56	25
5.27471	5.9063	61	30
5.27471	5.9063	65	36
5.27471	6.05193	68	36
5.9063	7.64863	49	27
5.9063	7.64863	56	27
5.9063	7.64863	61	32
5.9063	7.64863	65	38
6.05193	7.03874	68	32
6.19639	7.03874	73	36
6.33947	7.03874	77	34
6.4812	7.64863	80	36
6.62161	7.64863	85	36
6.76071	7.64863	89	37
6.89854	7.64863	92	38
7.03874	10.2171	68	21
7.03874	11.2464	73	21
7.03874	11.2464	77	25
7.03874	11.2464	97	42
7.69808	8.86312	44	34
7.69808	8.86312	48	40
7.69808	8.86312	54	39
7.69808	8.86312	63	46
8.86312	9.48434	44	39
8.86312	10.6416	48	39
8.86312	9.48434	54	39
8.86312	10.5001	63	46
9.31766	9.48434	51	36
9.31766	9.48434	60	42
9.48434	10.6416	44	35
9.48434	11.2464	51	42
9.48434	11.074	54	35
9.48434	10.6416	60	42
9.65101	11.2464	80	46
9.79252	11.2464	78	43
9.93404	11.2464	75	43
10.0756	11.2464	72	49
10.2171	11.2464	68	48
10.3586	11.2464	66	44
10.5001	11.2464	63	44
10.6416	11.2464	44	29
10.6416	11.2464	48	35
10.6416	11.2464	60	46
10.7827	11.2464	56	42
10.9269	11.2464	55	46
11.074	11.2464	54	42
11.2464	12.4114	37	33
11.2464	12.4114	44	33
11.2464	12.4114	49	39
11.2464	12.4114	53	39
11.2464	12.4114	61	46
12.4114	13.0364	37	31
12.4114	13.0364	44	31
12.4114	13.0364	49	37
12.4114	13.0364	53	37
12.4114	13.7638	61	44
13.0364	14.6353	37	29
13.0364	14.3305	44	29
13.0364	14.1883	49	35
13.0364	14.0468	53	35
13.0364	13.9053	56	42
13.1977	14.8276	77	49
13.3392	14.8276	73	46
13.4807	14.8276	68	46
13.6223	14.8276	65	49
13.7638	14.8276	61	43
13.9053	14.8276	56	46
14.0468	14.8276	53	43
14.1883	14.8276	49	42
14.3305	14.8276	44	38
14.4793	14.8276	41	40
14.6353	14.8276	37	39
14.8276	15.9285	34	33
14.8276	15.9285	41	33
14.8276	15.9285	46	39
14.8276	15.9285	50	36
14.8276	15.9285	56	36
14.8276	15.6533	58	43
15.6533	15.9285	59	42
15.9285	17.7333	34	32
15.9285	17.7333	41	32
15.9285	16.5	46	38
15.9285	17.7333	50	33
15.9285	17.7333	56	33
15.9285	16.909	58	39
16.5	17.7333	39	30
16.5	17.7333	46	36
16.5	16.6363	51	33
16.5	16.7727	54	39
16.6363	17.7333	51	39
16.7727	17.5909	54	42
16.909	17.5909	58	42
17.0454	17.5909	63	48
17.1818	17.4545	66	44
17.3181	17.7333	70	49
17.4545	17.7333	66	50
17.5909	18.236	54	26
17.5909	18.236	58	26
17.5909	18.236	63	31
17.5909	18.236	75	63
18.236	19.3077	46	33
18.236	19.3077	53	33
18.236	19.3077	58	39
18.236	19.3077	62	45
18.236	19.3077	68	45
18.236	19.0468	70	54
19.0468	19.3077	71	52
19.3077	21.2553	46	32
19.3077	21.2553	53	32
19.3077	19.8737	58	38
19.3077	21.2553	62	44
19.3077	21.2553	68	44
19.3077	20.2755	70	52
19.8737	21.2553	51	41
19.8737	20.9451	58	49
19.8737	20.0077	63	57
19.8737	20.1416	66	57
20.0077	20.9451	63	49
20.1416	21.2553	66	57
20.2755	21.2553	70	51
20.4094	21.2553	75	55
20.5434	20.8112	78	59
20.6773	21.2553	82	64
20.8112	21.2553	78	69
20.9451	21.5214	54	45
20.9451	21.5214	58	45
20.9451	21.5214	63	53
20.9451	21.3618	87	75
21.3618	21.5214	85	65
21.5214	22.582	32	54
21.5214	22.582	44	64
21.5214	21.659	84	71
21.659	21.7926	92	76
21.7926	21.9241	90	72
21.9241	22.0557	87	72
22.0557	22.1873	84	77
22.1873	22.3189	80	72
22.3189	22.4505	78	72
22.4505	22.582	75	72
22.582	23.1083	56	51
22.582	23.0974	60	51
22.582	22.8452	66	60
22.582	22.7136	72	74
