OnsetTime	OffsetTime	MidiPitch	Velocity
0.521985	1.50498	53	39
0.522991	1.50598	56	46
0.524989	1.70098	37	32
0.524989	1.70197	44	32
0.525982	1.70197	49	38
1.40298	1.80198	54	31
1.40398	1.80597	58	37
1.70397	2.33397	56	37
1.70497	2.33496	44	25
1.70497	2.32797	53	31
1.70598	2.33496	37	25
1.70897	2.33496	49	30
2.33897	4.03197	37	27
2.33897	4.03197	49	32
2.33897	4.03197	53	46
2.34097	4.03197	44	27
2.47897	3.47295	56	39
2.62598	3.47196	61	43
2.76197	3.47196	65	40
2.90898	4.03197	68	43
3.04597	4.03197	73	43
3.18496	4.03197	77	44
3.32597	4.03197	80	47
3.46995	4.06696	85	52
3.47196	4.06796	61	30
3.47196	4.06996	65	30
3.47295	4.07396	56	25
4.12696	5.09596	68	38
4.12796	5.09596	65	38
4.12996	5.29495	49	26
4.12996	5.29195	56	26
4.13095	5.29596	61	31
4.99795	5.39694	66	35
4.99896	5.39795	70	35
5.29596	5.92896	65	36
5.29895	5.92995	68	36
5.29995	5.92995	49	25
5.29995	5.93096	61	30
5.30195	5.93195	56	25
5.93296	7.66793	56	27
5.93296	7.66793	65	38
5.93395	7.66793	49	27
5.93595	7.66793	61	32
6.07294	7.06693	68	32
6.21995	7.06394	73	36
6.35695	7.06693	77	34
6.50396	7.66793	80	36
6.64394	7.66793	85	36
6.77994	7.66793	89	37
6.91994	7.66793	92	38
7.06394	7.72094	73	21
7.06394	7.72094	97	42
7.06693	7.72194	68	21
7.06693	7.72494	77	25
7.72494	8.88594	54	39
7.72593	8.88993	48	40
7.72593	8.88693	63	46
7.72793	8.88693	44	34
8.88594	9.50692	54	39
8.88693	9.50892	44	39
8.88693	10.5179	63	46
8.88993	10.6679	48	39
9.34293	9.50692	60	42
9.34493	9.50993	51	36
9.50692	11.0959	54	35
9.50692	10.6679	60	42
9.50892	10.6689	44	35
9.50993	11.2769	51	42
9.67392	11.2769	80	46
9.81092	11.2769	78	43
9.95791	11.2769	75	43
10.0949	11.2769	72	49
10.2419	11.2769	68	48
10.3809	11.2769	66	44
10.5179	11.2769	63	44
10.6679	11.2769	48	35
10.6679	11.2769	60	46
10.6689	11.2739	44	29
10.8049	11.2769	56	42
10.9479	11.2769	55	46
11.0959	11.2769	54	42
11.2709	12.4409	61	46
11.2739	12.4429	44	33
11.2739	12.4399	53	39
11.2749	12.4419	37	33
11.2769	12.4429	49	39
12.4399	13.0589	53	37
12.4409	13.7839	61	44
12.4419	13.0649	37	31
12.4429	13.0629	44	31
12.4429	13.0629	49	37
13.0589	14.0669	53	35
13.0629	14.3509	44	29
13.0629	14.2149	49	35
13.0629	13.9269	56	42
13.0649	14.6589	37	29
13.2199	14.8549	77	49
13.3599	14.8549	73	46
13.5029	14.8549	68	46
13.6439	14.8549	65	49
13.7839	14.8549	61	43
13.9269	14.8519	56	46
14.0669	14.8549	53	43
14.2149	14.8549	49	42
14.3509	14.8549	44	38
14.5009	14.8539	41	40
14.6589	14.8549	37	39
14.8519	15.9469	50	36
14.8519	15.9469	56	36
14.8529	15.6729	58	43
14.8539	15.9479	34	33
14.8539	15.9499	41	33
14.8549	15.9499	46	39
15.6739	15.9499	59	42
15.9539	16.5199	56	33
15.9539	16.5199	58	39
15.9569	16.5239	34	32
15.9569	16.5249	46	38
15.9569	16.5239	50	33
15.9579	16.5249	41	32
16.5269	16.6559	51	33
16.5269	16.7929	54	39
16.5309	17.7518	39	30
16.5309	17.7518	46	36
16.6559	17.7518	51	39
16.7929	17.6158	54	42
16.9299	17.6189	58	42
17.0699	17.6158	63	48
17.1989	17.4759	66	44
17.3399	17.7518	70	49
17.4759	17.7518	66	50
17.6149	18.2559	75	63
17.6158	18.2589	54	26
17.6158	18.2569	63	31
17.6189	18.2598	58	26
18.2598	19.3239	62	45
18.2629	19.3268	68	45
18.2638	19.3278	46	33
18.2638	19.3278	53	33
18.2638	19.0678	70	54
18.2659	19.3308	58	39
19.0718	19.3308	71	52
19.3318	19.8948	62	44
19.3318	19.8938	68	44
19.3338	19.8968	53	32
19.3338	19.8948	70	52
19.3348	19.8978	46	32
19.3348	19.8978	58	38
19.8989	20.0278	63	57
19.9018	21.2768	51	41
19.9018	20.9728	58	49
19.9018	20.1608	66	57
20.0278	20.9728	63	49
20.1608	21.2768	66	57
20.2938	21.2768	70	51
20.4298	21.2768	75	55
20.5628	20.8288	78	59
20.6968	21.2768	82	64
20.8288	21.2768	78	69
20.9718	21.3778	87	75
20.9728	21.5428	54	45
20.9728	21.5418	58	45
20.9728	21.5428	63	53
21.3818	21.5458	85	65
21.5468	22.6068	32	54
21.5468	21.6758	84	71
21.5488	22.6078	44	64
21.6768	21.8148	92	76
21.8158	21.9418	90	72
21.9448	22.0748	87	72
22.0748	22.2068	84	77
22.2108	22.3368	80	72
22.3368	22.4708	78	72
22.4728	22.6078	75	72
22.6078	22.7318	72	74
22.6098	23.1278	56	51
22.6098	23.1148	60	51
22.6108	22.8658	66	60
22.7328	22.8668	68	72
22.8668	23.1288	66	72
22.9918	23.1288	63	72
23.1298	23.2678	60	71
23.1308	24.2408	44	65
23.1318	24.2408	32	55
23.2688	23.4048	56	67
23.4048	23.5378	55	71
23.5408	23.6778	56	67
23.6818	23.8168	58	66
23.8178	23.9508	56	59
23.9508	24.0938	55	66
24.0968	24.6828	56	59
24.2418	24.6848	65	65
24.2448	24.8328	44	51
24.2458	24.8338	48	60
24.6858	24.8358	54	51
24.6858	24.8368	63	61
24.8368	25.2458	61	65
24.8398	24.9768	53	55
24.8408	27.1077	37	51
24.8408	27.1077	49	60
24.8428	27.1077	44	51
24.9768	27.1077	53	64
25.1128	25.9188	56	64
25.2458	25.9188	61	64
25.3788	25.9208	65	64
25.5088	27.1077	68	63
25.6418	27.1077	73	61
25.7748	27.1077	77	61
25.9178	27.1077	80	61
25.9188	26.5127	56	36
25.9188	26.5137	61	36
25.9208	26.5098	65	43
26.0478	27.1077	85	63
26.1867	27.1077	89	64
26.3378	27.1077	92	65
26.5087	27.1778	97	77
26.5098	27.1807	65	43
26.5127	27.1807	56	36
26.5137	27.1818	61	36
27.8037	28.2698	61	61
28.2737	28.4268	65	54
28.4277	29.7677	39	45
28.4277	29.4257	65	63
28.4308	28.7138	51	54
28.7138	29.2848	51	49
28.9948	29.5697	61	49
28.9977	29.5687	55	41
29.2848	29.7677	51	49
29.2848	29.7677	63	57
29.4257	29.7677	65	58
29.5687	29.8557	55	41
29.5687	29.7677	67	59
29.5697	29.8557	61	49
29.7087	29.8567	68	61
29.8587	30.1498	51	49
29.8587	30.0057	70	63
30.0067	30.1527	72	64
