OnsetTime	OffsetTime	MidiPitch	Velocity
0.500004	0.659194	31	33
0.579599	0.738788	43	24
0.659194	0.818383	31	33
0.738788	0.897977	43	24
0.818383	0.977572	31	33
0.897977	1.05717	43	24
0.977572	1.13676	31	33
1.05717	1.21636	43	24
1.13676	1.29595	31	33
1.21636	1.37554	43	24
1.29595	1.45514	31	33
1.37554	1.53473	43	24
1.45514	1.61433	31	33
1.53473	1.69392	43	24
1.61433	1.77352	31	33
1.69392	1.85311	43	24
1.77352	1.93271	31	33
1.77352	2.41027	59	41
1.77352	2.41027	65	41
1.77352	2.41027	67	49
1.85311	2.0123	43	24
1.93271	2.0919	31	33
2.0123	2.17149	43	24
2.0919	2.25109	31	33
2.17149	2.33068	43	24
2.25109	2.41027	31	33
2.33068	2.48987	43	24
2.41027	2.56946	31	33
2.41027	2.88784	59	43
2.41027	2.88784	65	43
2.41027	2.88784	67	51
2.48987	2.64906	43	24
2.56946	2.72865	31	33
2.64906	2.80825	43	24
2.72865	2.88784	31	33
2.80825	2.97457	43	24
2.88784	3.06131	31	33
2.88784	3.06131	59	39
2.88784	3.06131	65	39
2.88784	3.06131	67	46
2.97457	3.06131	43	24
3.06131	3.21594	31	33
3.06131	4.29835	60	46
3.06131	4.29835	65	46
3.06131	4.29835	69	55
3.13863	3.29326	43	24
3.21594	3.37057	31	33
3.29326	3.44789	43	24
3.37057	3.5252	31	33
3.44789	3.60252	43	24
3.5252	3.67983	31	33
3.60252	3.75715	43	24
3.67983	3.83446	31	33
3.75715	3.91178	43	24
3.83446	3.98909	31	33
3.91178	4.06641	43	24
3.98909	4.14372	31	33
4.06641	4.22104	43	24
4.14372	4.29835	31	33
4.22104	4.29835	43	24
4.29835	4.45298	31	33
4.29835	4.91687	62	49
4.29835	4.91687	65	49
4.29835	4.91687	71	58
4.37566	4.53029	43	24
4.45298	4.60761	31	33
4.53029	4.68492	43	24
4.60761	4.76224	31	33
4.68492	4.83955	43	24
4.76224	4.91687	31	34
4.83955	4.99418	43	25
4.91687	5.0715	31	34
4.91687	5.38076	62	48
4.91687	5.38076	65	48
4.91687	5.38076	71	57
4.99418	5.14881	43	25
5.0715	5.22613	31	34
5.14881	5.30344	43	25
5.22613	5.38076	31	35
5.30344	5.46276	43	26
5.38076	5.54476	31	35
5.38076	5.54476	62	52
5.38076	5.54476	65	52
5.38076	5.54476	71	62
5.46276	5.54476	43	27
5.54476	5.69852	31	37
5.54476	6.78359	64	57
5.54476	6.78359	67	57
5.54476	6.78359	72	68
5.62165	5.7754	43	27
5.69852	5.85228	31	37
5.7754	5.92916	43	27
5.85228	6.00603	31	37
5.92916	6.08292	43	27
6.00603	6.15979	31	38
6.08292	6.23668	43	27
6.15979	6.31355	31	38
6.23668	6.39043	43	27
6.31355	6.46731	31	38
6.39043	6.54419	43	27
6.46731	6.62106	31	38
6.54419	6.69795	43	28
6.62106	6.77482	31	38
6.69795	6.78359	43	28
6.77482	6.92517	31	46
6.77482	7.38496	65	65
6.77482	7.38496	71	65
6.77482	7.38496	74	77
6.85	7.00034	43	34
6.92517	7.07551	31	46
7.00034	7.15068	43	35
7.07551	7.22585	31	49
7.15068	7.30102	43	37
7.22585	7.37619	31	49
7.30102	7.38496	43	37
7.37619	7.52652	31	49
7.37619	7.97754	64	68
7.37619	7.97754	70	68
7.37619	7.97754	73	81
7.45136	7.60169	43	37
7.52652	7.67686	31	50
7.60169	7.75203	43	38
7.67686	7.8272	31	50
7.75203	7.90237	43	39
7.8272	7.97754	31	51
7.90237	7.97754	43	39
7.97754	8.12789	31	51
7.97754	8.58802	65	68
7.97754	8.58802	71	68
7.97754	8.58802	74	81
8.05272	8.20306	43	39
8.12789	8.27823	31	53
8.20306	8.3534	43	39
8.27823	8.42857	31	53
8.3534	8.50373	43	41
8.42857	8.5789	31	53
8.50373	8.58802	43	41
8.5789	8.73533	31	58
8.5789	9.20461	67	68
8.5789	9.20461	70	68
8.5789	9.20461	73	68
8.5789	9.20461	76	81
8.65712	8.81354	43	41
8.73533	8.89176	31	59
8.81354	8.96997	43	41
8.89176	9.04818	31	59
8.96997	9.1264	43	44
9.04818	9.18114	31	59
9.1264	10.9411	43	45
9.20461	10.9411	31	44
9.20461	10.9411	67	73
9.20461	10.9411	71	73
9.20461	10.9411	74	73
9.20461	10.9411	77	86
9.84893	10.1279	91	82
9.98843	10.2674	79	72
10.1279	10.4266	91	74
10.2674	10.9411	79	62
10.4266	11.7614	91	77
11.0748	11.5822	74	68
11.0748	11.5822	77	80
11.5822	11.7614	72	60
11.5822	11.7614	76	71
11.7614	13.6003	67	56
11.7614	13.5911	74	67
12.3835	12.661	91	64
12.5222	12.7998	79	52
12.661	12.9581	91	58
12.7998	13.6003	79	47
12.9581	14.2212	91	64
13.5911	14.0659	74	51
13.5911	14.0659	77	61
14.0659	14.2212	72	48
14.0659	14.2212	76	57
14.2212	14.765	67	45
14.2212	14.765	74	53
14.2212	14.4932	91	52
14.3572	14.6292	79	41
14.4932	14.7492	91	53
14.6292	14.765	79	41
14.765	15.2854	72	52
14.765	15.2854	76	62
14.765	15.0252	91	47
14.8951	15.1553	79	41
15.0252	15.2854	91	47
15.1553	15.2854	79	41
15.2854	15.8014	67	56
15.2854	15.8014	74	67
15.2854	15.5431	91	52
15.4142	15.672	79	47
15.5431	15.7557	91	58
15.672	15.8014	79	51
15.8014	16.3073	72	56
15.8014	16.3073	76	66
15.8014	16.0543	91	62
15.9279	16.1808	79	56
16.0543	16.2925	91	64
16.1808	16.3073	79	58
16.3073	16.8155	67	62
16.3073	16.8155	74	74
16.3073	19.241	79	64
16.3073	19.241	91	64
16.8155	17.2936	45	70
16.8155	17.2936	57	83
17.2936	17.7794	43	62
17.2936	17.7794	55	93
17.7794	18.2594	42	56
17.7794	18.2594	54	82
18.2594	19.241	43	56
18.2594	19.241	55	83
18.7532	19.241	41	57
18.7532	19.241	53	84
19.241	20.2963	40	59
19.241	20.2963	52	89
19.7887	20.3608	38	62
19.7887	20.3608	50	92
20.3608	21.3686	36	49
20.3608	21.3686	48	73
20.3608	21.3686	60	68
20.3608	21.3686	64	68
20.3608	21.3484	67	76
20.3608	21.3686	72	90
21.3484	22.3377	43	49
21.3484	22.3377	55	73
21.3484	22.3176	62	68
21.3484	22.3377	67	76
21.3484	22.3377	71	90
22.3176	23.3029	38	46
22.3176	23.3029	50	69
22.3176	23.2824	62	65
22.3176	23.3029	66	72
22.3176	23.3029	69	85
23.2824	24.2919	43	49
23.2824	24.2919	55	73
23.2824	24.2919	62	68
23.2824	24.265	67	76
23.2824	24.2919	71	90
24.265	25.2407	40	49
24.265	25.2407	52	73
24.265	25.2211	60	68
24.265	25.2407	67	90
25.2211	26.409	41	49
25.2211	26.409	53	73
25.2211	26.409	60	68
25.2211	26.1844	65	76
25.2211	26.409	69	90
25.6907	26.409	40	46
25.6907	26.409	52	69
26.1844	27.2384	38	46
26.1844	27.2384	50	69
26.1844	27.2384	62	66
26.1844	27.2384	65	73
26.1844	27.2384	71	86
27.197	28.6849	36	49
27.197	28.6849	48	73
27.197	28.6849	60	68
27.197	28.6849	64	68
27.197	28.6849	67	76
27.197	28.6849	72	90
29.1808	30.151	60	34
29.1808	30.151	67	40
29.1808	30.151	76	38
29.1808	30.151	79	38
29.1808	30.151	84	45
30.151	31.1072	57	28
30.151	31.1072	69	33
30.151	31.1072	76	31
30.151	31.1072	81	31
30.151	31.1072	84	37
31.1072	32.0749	59	34
31.1072	32.0749	67	41
31.1072	32.0749	74	40
31.1072	32.0749	79	48
32.0749	33.0388	60	41
32.0749	33.0388	67	49
32.0749	33.0388	76	47
32.0749	33.9906	79	56
33.0388	33.9906	60	50
33.0388	33.9906	67	50
33.0388	33.9906	72	46
33.0388	33.9906	76	46
33.5168	33.9906	62	53
33.5168	33.9906	77	41
33.9906	35.0677	64	39
33.9906	35.0677	67	46
33.9906	34.9545	72	42
33.9906	35.0677	79	50
34.9545	35.9701	62	37
34.9545	35.9701	69	44
34.9545	35.9701	72	40
34.9545	35.9701	77	48
35.9701	37.0756	64	32
35.9701	37.0756	68	38
35.9701	37.0756	71	42
35.9701	37.0756	76	50
37.4441	38.3791	57	47
37.4441	38.3791	69	56
37.4441	38.3791	72	51
37.4441	38.3791	76	61
37.9116	38.3791	55	45
37.9116	38.3791	67	53
38.3791	39.3141	53	52
38.3791	39.3141	65	62
38.3791	39.3141	72	49
38.3791	39.3141	77	49
38.3791	39.3141	81	58
39.3141	40.248	54	56
39.3141	40.248	66	66
39.3141	40.248	72	57
39.3141	40.248	74	57
39.3141	40.248	81	68
40.248	41.2175	55	56
40.248	41.2175	67	66
40.248	41.2175	71	61
40.248	41.1913	74	61
40.248	41.2175	79	72
41.1913	42.1222	56	61
41.1913	42.1222	68	72
41.1913	42.1222	74	62
41.1913	42.1222	76	62
41.1913	42.1222	83	73
42.1222	43.0614	57	56
42.1222	43.0614	69	67
42.1222	43.0614	72	62
42.1222	43.0614	76	62
42.1222	43.0614	81	73
42.1222	43.0614	84	73
43.0614	44.0315	62	51
43.0614	44.0315	74	61
43.0614	44.0315	78	61
43.0614	44.0315	81	72
43.5188	44.0315	72	58
44.0315	45.2195	67	49
44.0315	45.2195	71	58
44.0315	45.2195	74	65
44.0315	45.2195	79	77
45.6123	46.7236	45	73
45.6527	46.7236	52	57
45.6942	46.7236	57	68
45.7364	46.7236	60	65
45.7797	46.7236	64	65
45.8239	46.7236	69	69
45.8694	46.7236	72	70
46.7236	47.6192	40	56
46.7236	47.6192	52	75
46.7236	47.6192	59	62
46.7236	47.6192	64	62
46.7236	47.6192	67	71
46.7236	47.6192	71	84
47.6192	48.751	41	69
47.6692	48.751	48	54
47.7179	48.751	53	74
47.7651	48.751	57	71
47.8109	48.751	60	62
47.8553	48.751	65	81
47.8986	48.751	69	70
48.751	49.8831	36	53
48.751	49.8831	48	70
48.751	49.8831	55	66
48.751	49.8831	60	74
48.751	49.6986	64	74
48.751	49.8831	67	88
49.6986	50.6461	37	51
49.6986	50.6461	49	69
49.6986	50.6461	57	66
49.6986	50.6461	64	74
49.6986	50.6461	69	88
50.6461	51.6153	38	56
50.6461	51.6153	50	74
50.6461	51.6153	57	68
50.6461	51.6153	62	77
50.6461	51.481	65	91
51.1307	51.6153	64	78
51.6153	52.667	31	56
51.6153	52.667	43	62
51.6153	52.667	55	74
51.6153	52.667	59	77
51.6153	52.667	62	91
