OnsetTime	OffsetTime	MidiPitch	Velocity
0.500004	1.482	51	41
0.500004	1.482	55	56
0.500004	1.482	58	56
0.500004	1.482	63	66
1.482	2.49723	46	46
1.482	2.49723	53	55
1.482	2.49723	58	61
1.482	2.49723	62	72
2.49723	3.54344	41	43
2.49723	3.54344	53	51
2.49723	3.54344	57	57
2.49723	3.54344	60	68
3.54344	4.56299	46	45
3.54344	4.56299	53	54
3.54344	4.56299	58	59
3.54344	4.56299	62	70
4.56299	5.6092	39	45
4.56299	5.6092	51	54
4.56299	5.6092	55	68
4.56299	5.6092	58	81
5.6092	6.65998	44	46
5.6092	6.65998	51	55
5.6092	6.65998	56	69
5.6092	6.65998	60	82
6.65998	7.73429	41	50
6.65998	7.73429	46	60
6.65998	7.73429	56	70
6.65998	7.73429	62	83
7.73429	8.80859	39	50
7.73429	8.80859	46	60
7.73429	8.80859	55	76
7.73429	8.80859	63	86
8.80859	11.3906	39	39
8.90466	11.3906	46	35
9.00072	11.3906	51	35
9.09678	11.3906	55	39
9.18845	11.3906	58	35
9.28011	11.3906	63	35
9.37178	9.728	67	50
9.46216	9.64008	70	44
9.5515	9.90164	75	44
9.64008	9.81512	70	54
9.728	11.3906	67	51
9.81512	11.3906	70	52
9.90164	11.3906	75	61
9.98739	11.3906	79	57
10.0725	11.3906	82	61
10.1578	11.3906	87	67
10.2484	11.3906	91	58
10.3459	11.3906	94	53
10.4515	11.4335	99	60
11.4335	12.4621	48	41
11.4335	12.4621	55	49
11.4335	12.4621	60	69
11.4335	12.4621	63	59
12.4621	13.486	44	45
12.4621	13.486	56	54
12.4621	13.486	60	62
12.4621	13.486	63	74
13.486	14.5368	43	39
13.486	14.5368	51	54
13.486	14.5368	58	75
14.5368	15.5695	38	44
14.5368	15.5695	46	53
14.5368	15.5695	53	61
14.5368	15.5695	58	73
15.5695	16.639	39	45
15.5695	16.639	46	54
15.5695	16.639	51	66
15.5695	16.639	55	77
16.639	17.6898	40	49
16.639	17.6898	49	59
16.639	17.6898	55	68
16.639	17.6898	58	81
17.6898	18.2198	41	66
17.6898	18.7692	48	59
17.6898	18.7692	53	57
17.6898	18.7692	56	68
18.2198	18.7692	44	61
18.7692	19.82	36	50
18.7692	19.82	48	60
18.7692	19.82	51	61
18.7692	19.82	55	73
19.82	22.357	36	39
19.9161	22.357	48	35
20.0121	22.357	51	35
20.1082	22.357	55	39
20.1999	22.357	60	35
20.2915	22.357	63	35
20.3832	20.7394	67	50
20.4736	20.6515	72	44
20.5629	20.9131	75	44
20.6515	20.8265	72	54
20.7394	22.357	67	51
20.8265	22.357	72	52
20.9131	22.357	75	61
20.9988	22.357	79	57
21.084	22.357	84	61
21.1692	22.357	87	67
21.2366	22.357	91	59
21.3076	22.357	96	56
21.3829	22.357	99	55
21.463	22.445	103	63
22.445	22.9708	48	51
22.445	23.4967	51	55
22.445	23.4967	55	66
22.9708	23.4967	46	58
23.4967	24.5119	44	43
23.4967	24.5119	51	51
23.4967	24.5119	56	62
23.4967	24.5119	60	74
24.5119	25.5627	41	41
24.5119	25.5627	50	50
24.5119	25.5627	56	61
24.5119	25.5627	60	72
25.5627	26.5954	43	45
25.5627	26.5954	51	54
25.5627	26.5954	58	79
26.5954	27.6462	47	44
26.5954	27.6462	53	52
