OnsetTime	OffsetTime	MidiPitch	Velocity
0.500004	1.42568	33	43
0.500004	0.911134	69	50
0.500004	0.911134	72	56
0.774086	1.34174	45	45
0.911134	1.34174	69	54
0.911134	1.42568	72	60
1.04818	1.42568	52	48
1.34174	2.98625	45	31
1.34174	2.98625	50	35
1.34174	2.98625	65	33
1.34174	2.98625	69	33
1.34174	2.98625	74	37
2.98625	3.87791	33	40
2.98625	3.39738	69	51
2.98625	3.39738	72	57
3.26033	3.82994	45	46
3.39738	3.87791	69	53
3.39738	3.87791	72	59
3.53443	3.87791	52	49
3.82994	5.47446	45	29
3.82994	5.47446	53	33
3.82994	5.47446	62	33
3.82994	5.47446	68	33
3.82994	5.47446	71	37
5.47446	6.36528	33	42
5.47446	5.88559	66	50
5.47446	5.88559	69	56
5.74854	6.31619	45	42
5.88559	6.36528	66	48
5.88559	6.36528	69	54
6.02264	6.36528	48	42
6.31619	8.02377	45	32
6.31619	8.02377	51	36
6.31619	8.02377	60	47
6.31619	8.02377	72	52
7.15771	8.02377	66	43
7.15771	8.02377	69	48
7.99922	8.84074	40	33
7.99922	10.3552	64	39
7.99922	8.84074	68	45
8.27973	10.3552	47	30
8.56024	10.6138	52	29
8.84074	10.6138	40	28
8.84074	10.6138	59	33
8.84074	10.6138	68	33
8.84074	10.6138	71	37
10.6138	11.4543	33	42
10.6138	11.0109	69	49
10.6138	11.0109	72	55
10.8785	11.4311	45	46
11.0109	11.4543	69	52
11.0109	11.4543	72	58
11.1432	11.4543	52	50
11.4311	13.0195	45	40
11.4311	13.0195	57	46
11.4311	13.0195	64	47
11.4311	13.0195	73	47
11.4311	13.0195	76	53
13.0195	13.8446	38	48
13.0195	13.4224	74	56
13.0195	13.4224	77	63
13.2881	13.8446	50	51
13.4224	13.8446	74	60
13.4224	13.8446	77	68
13.5567	13.8446	57	54
13.8446	15.5717	51	46
13.8446	15.5717	60	51
13.8446	15.5717	69	59
13.8446	15.5717	78	59
13.8446	15.5717	81	67
15.5717	16.5005	40	49
15.5717	16.024	67	61
15.5717	17.3074	72	61
15.5717	16.024	79	69
15.8732	16.4763	52	49
16.024	16.5005	67	61
16.024	16.5005	79	69
16.1747	16.5005	55	49
16.4763	17.3317	52	40
16.4763	18.0416	60	46
16.4763	17.3317	68	61
16.4763	17.3317	76	69
17.3074	18.1399	53	39
17.3074	18.1399	69	53
17.3074	18.1399	72	59
17.723	18.1399	57	26
18.1399	18.5713	52	48
18.1399	20.7283	64	49
18.1399	19.0782	68	49
18.1399	19.0782	71	55
18.1399	20.7283	76	55
18.5713	20.7283	52	45
19.0027	20.7283	48	40
19.0027	20.7283	69	52
19.8655	20.7283	45	36
20.7283	21.1851	40	39
20.7283	23.6678	52	40
20.7283	21.6418	56	35
20.7283	21.6418	59	35
20.7283	23.6678	64	40
21.1851	21.6418	40	39
21.6418	23.5159	36	42
21.6418	23.6678	57	34
22.6549	24.5368	33	32
23.6678	24.0436	69	38
23.6678	24.0436	72	44
23.9183	24.4193	45	29
24.0436	24.5368	69	38
24.0436	24.5368	72	44
24.1688	24.5368	52	28
24.4193	25.2135	45	28
24.4193	25.2135	65	42
24.4193	25.2135	71	42
24.4193	25.2135	74	47
24.6841	25.2859	50	28
24.8164	25.2859	69	38
24.8164	25.2859	72	44
24.9488	25.2859	53	28
25.2135	26.0406	45	28
25.2135	26.0406	65	38
25.2135	26.0406	71	38
25.2135	26.0406	74	38
26.0406	26.8355	33	28
26.0406	26.4205	69	42
26.0406	26.4205	72	47
26.2939	26.8003	45	29
26.4205	26.8355	69	42
26.4205	26.8355	72	47
26.5471	26.8355	52	30
26.8003	27.6037	45	29
26.8003	27.6037	62	39
26.8003	27.6037	68	39
26.8003	27.6037	71	44
27.0681	27.6154	53	28
27.202	27.6154	65	38
27.202	27.6154	69	38
27.3359	27.6154	50	28
27.6037	28.407	45	28
27.6037	28.407	62	37
27.6037	28.407	68	37
27.6037	28.407	71	37
28.407	29.1799	33	29
28.407	28.7847	66	39
28.407	28.7847	69	45
28.6588	29.1625	45	32
28.7847	29.1799	66	40
28.7847	29.9181	69	46
28.9107	29.1799	48	34
29.1625	29.9181	45	37
29.1625	29.9181	60	46
29.1625	29.9181	72	51
29.4144	29.9811	54	35
29.5403	29.9811	68	43
29.5403	29.9811	71	48
29.6663	29.9811	51	35
29.9181	30.6737	45	33
29.9181	30.6737	60	43
29.9181	30.2959	69	43
29.9181	30.6737	72	48
30.17	30.6737	54	33
30.2959	30.6737	66	40
30.2959	30.6737	69	46
30.4218	30.6737	51	33
30.6737	33.117	40	30
30.6737	32.9243	64	39
30.6737	31.4652	68	45
30.9375	32.9243	47	32
31.2014	33.117	52	32
31.4652	33.117	59	34
31.4652	33.117	68	34
31.4652	33.117	71	38
33.117	33.8458	33	43
33.117	33.4868	69	52
33.117	33.4868	72	58
33.3635	33.8458	45	43
33.4868	33.8566	69	52
33.4868	33.8566	72	58
33.61	33.8566	52	43
33.8566	34.5961	45	43
33.8566	34.5961	64	52
33.8566	34.5961	73	52
33.8566	34.5961	76	58
34.1031	34.6177	57	43
34.2263	34.6177	65	52
34.2263	34.6177	71	52
34.2263	34.6177	74	58
34.3496	34.6177	50	43
34.5961	35.3357	45	45
34.5961	35.3357	64	52
34.5961	35.3357	73	58
34.5961	35.3357	76	58
34.8426	35.3357	57	45
34.9659	35.3357	69	55
34.9659	35.3357	79	61
35.0892	35.3357	52	46
35.3357	36.1107	38	42
35.3357	35.7055	69	52
35.3357	35.7055	74	52
35.3357	35.7055	77	58
35.5822	36.1107	50	44
35.7055	36.1107	69	52
35.7055	36.1107	74	52
35.7055	36.1107	77	58
35.8287	36.1107	57	44
36.0752	36.8148	51	47
36.0752	36.8148	72	56
36.0752	36.8148	78	56
36.0752	36.8148	81	63
36.3217	36.843	60	46
36.445	36.843	71	54
36.445	36.843	77	60
36.445	36.843	80	60
36.5683	36.843	57	46
36.8148	37.5165	51	48
36.8148	37.5165	72	58
36.8148	37.6111	78	58
36.8148	37.6111	81	66
37.0802	37.5165	60	49
37.2129	37.6111	84	67
37.3457	37.6111	57	49
37.6111	38.4706	40	50
37.6111	38.0293	67	60
37.6111	38.0293	72	60
37.6111	38.0293	79	68
37.8899	38.4475	52	46
38.0293	38.4706	67	61
38.0293	39.2416	72	61
38.0293	38.4706	79	61
38.1687	38.4706	55	47
38.4475	39.2416	52	51
38.4475	39.2416	68	60
38.4475	39.23	77	68
38.7122	39.2416	60	47
38.8445	39.2416	76	64
39.2416	40.0358	53	50
39.2416	40.0358	69	56
39.2416	39.9663	74	63
39.5063	40.0358	57	47
39.6387	40.0358	72	57
40.0358	40.4422	52	49
40.0358	42.4742	64	50
40.0358	40.8486	68	50
40.0358	40.8486	71	56
40.0358	42.4742	76	56
40.4422	42.4742	52	49
40.8486	41.255	50	48
40.8486	42.4742	69	55
41.255	41.6614	48	46
41.6614	42.0678	47	43
42.0678	42.4742	45	40
42.4742	45.3139	52	36
42.4742	43.3294	56	36
42.4742	43.3294	59	40
42.4742	45.3139	64	40
42.899	43.3294	40	39
43.3294	43.7632	38	37
43.3294	45.3139	57	40
43.7632	44.2116	36	35
44.2116	44.6766	35	33
44.6766	45.3139	33	31
45.3139	45.6202	64	29
45.3139	45.6202	68	35
45.3139	45.5937	76	45
45.4682	45.6202	88	50
45.6202	46.2048	65	23
45.6202	46.2048	69	28
45.6202	46.2048	86	51
45.7696	46.2048	74	47
45.9169	46.2048	62	28
45.9169	46.2048	77	48
46.0619	46.2048	89	50
46.2048	46.4956	64	28
46.2048	46.4956	68	33
46.2048	46.4956	88	52
46.3461	46.4956	76	48
46.4874	47.0526	65	25
46.4874	47.0526	69	30
46.4874	47.0526	74	49
46.6287	47.0526	86	54
46.77	47.0526	62	29
46.77	47.0526	84	51
46.9113	47.0526	72	51
47.0526	47.3352	64	29
47.0526	47.3352	68	35
47.0526	47.3269	71	55
47.1939	47.3352	83	56
47.3352	47.9004	65	28
47.3352	47.9004	69	33
47.3352	47.9004	86	52
47.4765	47.9004	74	54
47.6178	47.9004	62	29
47.6178	47.9004	72	51
47.7591	47.9004	84	51
47.9004	48.2001	64	29
47.9004	48.2001	68	35
47.9004	48.2001	83	56
48.0417	48.2001	74	49
48.1835	48.7567	65	32
48.1835	48.7567	69	52
48.3259	49.047	81	48
48.4689	48.7567	62	29
48.7567	49.047	59	29
48.7567	49.047	63	34
49.047	49.6352	60	24
49.047	49.6352	64	29
49.047	49.9504	69	49
49.1931	49.9504	81	44
49.3398	49.6352	57	26
49.6352	49.9504	59	24
49.6352	49.9504	63	29
49.9297	50.2197	60	23
49.9297	50.5053	64	27
49.9297	50.2125	67	53
50.0753	50.2197	79	51
50.2197	50.5053	57	25
50.2197	50.5053	78	54
50.3631	50.5053	66	50
50.5053	50.7879	59	25
50.5053	50.7879	63	30
50.5053	50.7714	71	51
50.6466	50.7879	83	54
50.7879	51.3531	60	23
50.7879	51.3531	64	28
50.7879	51.3531	81	57
50.9292	51.3531	69	52
51.0705	51.3531	57	26
51.0705	51.3531	67	52
51.2118	51.3531	79	55
51.3531	51.6357	59	27
51.3531	51.6357	63	32
51.3531	51.6357	78	59
51.4944	51.6357	66	53
51.6357	52.2009	60	24
51.6357	52.2009	64	29
51.6357	52.2009	69	54
51.777	52.2009	81	56
51.9183	52.2009	57	28
51.9183	52.2009	66	33
51.9183	52.2009	84	59
52.0596	52.2009	72	55
52.2009	52.4835	64	29
52.2009	52.4835	68	34
52.2009	52.4753	71	56
52.3422	52.4835	83	60
52.4835	53.0487	65	25
52.4835	53.0487	69	30
52.4835	53.0487	86	61
52.6248	53.0487	74	56
52.7661	53.0487	62	29
52.7661	53.0487	77	57
52.9074	53.0487	89	64
53.0487	53.3313	64	29
53.0487	53.3313	68	35
53.0487	53.3313	88	65
53.19	53.3313	76	58
53.3313	53.8965	65	27
53.3313	53.8965	69	32
53.3313	53.8965	74	58
53.4726	53.8965	86	61
53.6139	53.8965	62	29
53.6139	53.8965	89	68
53.7552	53.8965	77	60
53.8965	54.2203	64	30
53.8965	54.2203	68	36
53.8965	54.2203	76	60
54.0378	54.2203	88	65
54.1791	54.7443	65	29
54.1791	54.7443	69	35
54.1791	54.7443	86	69
54.3204	54.7443	74	61
54.4617	54.7443	62	31
54.4617	54.7443	77	63
54.603	54.7443	89	66
54.7443	55.0681	64	31
54.7443	55.0681	68	37
54.7443	55.0681	88	67
54.8856	55.0681	76	59
55.0269	55.5921	65	29
55.0269	55.5921	69	35
55.0269	55.5921	74	59
55.1682	55.5921	86	60
55.3095	55.5921	62	29
55.3095	55.5921	84	59
55.4508	55.5921	72	54
55.5921	55.8912	64	29
55.5921	55.8912	68	34
55.5921	55.8912	71	54
55.7334	55.8912	83	59
55.8747	56.4399	65	24
55.8747	56.4399	69	29
55.8747	56.4399	86	60
56.016	56.4399	74	54
56.1573	56.4399	62	25
56.1573	56.4399	72	50
56.2986	56.4399	84	51
56.4399	56.7313	64	29
56.4399	56.7313	68	35
56.4399	56.7313	83	54
56.5812	56.7313	74	46
56.723	57.2962	65	27
56.723	57.2962	69	50
56.8654	57.6291	81	46
57.0084	57.2962	62	29
57.2962	57.6291	59	29
57.2962	57.6291	63	34
57.5865	58.1747	60	24
