OnsetTime	OffsetTime	MidiPitch	Velocity
0.646882	1.09694	52	19
0.646882	1.09694	55	19
0.646882	1.09694	59	31
0.646882	1.09694	64	24
0.646882	1.09694	67	31
0.646882	1.09694	71	39
1.01726	1.15788	51	25
1.01726	1.15788	72	33
1.74109	2.20985	43	19
1.74109	2.20985	47	19
1.74109	2.20985	52	24
1.74109	2.20985	71	32
1.74109	2.20985	76	32
1.74109	2.20985	79	40
2.11609	2.25672	54	26
2.11609	2.25672	70	33
2.83992	3.30405	52	19
2.83992	3.30405	55	19
2.83992	3.30405	59	31
2.83992	3.30405	64	24
2.83992	3.30405	67	31
2.83992	3.30405	71	39
3.2103	3.35093	51	25
3.2103	3.35093	72	33
3.9603	4.42109	43	19
3.9603	4.42109	47	19
3.9603	4.42109	52	24
3.9603	4.42109	71	32
3.9603	4.42109	76	32
3.9603	4.42109	79	40
4.32615	4.46855	55	26
4.32615	4.46855	64	33
5.06303	5.52716	54	20
5.06303	5.52716	57	20
5.06303	5.52716	60	34
5.06303	5.52716	66	27
5.06303	5.52716	69	34
5.06303	5.52716	72	42
5.43341	5.57404	53	27
5.43341	5.57404	74	36
6.15724	6.62483	45	20
6.15724	6.62483	48	20
6.15724	6.62483	54	25
6.15724	6.62483	72	33
6.15724	6.62483	78	33
6.15724	6.62483	81	42
6.53224	6.67113	55	27
6.53224	6.67113	71	34
7.23229	7.69988	54	19
7.23229	7.69988	57	19
7.23229	7.69988	60	31
7.23229	7.69988	66	24
7.23229	7.69988	69	31
7.23229	7.69988	72	39
7.60729	7.74617	53	25
7.60729	7.74617	74	33
8.3306	8.79356	45	19
8.3306	8.79356	48	19
8.3306	8.79356	54	24
8.3306	8.79356	72	32
8.3306	8.79356	78	32
8.3306	8.79356	81	40
8.70097	8.83986	57	26
8.70097	8.83986	66	33
9.45595	9.86202	55	28
9.45595	9.86202	59	28
9.45595	9.86202	62	37
9.45595	9.86202	67	37
9.45595	9.86202	71	37
9.45595	9.86202	74	46
9.8089	9.9964	54	29
9.8089	9.9964	76	39
10.5589	11.0508	47	33
10.5589	11.0508	50	33
10.5589	11.0508	56	41
10.5589	11.0508	74	42
10.5589	11.0508	80	42
10.5589	11.0508	83	52
10.9485	11.1433	62	42
10.9485	11.1433	68	58
11.687	12.1838	57	35
11.687	12.1838	60	35
11.687	12.1838	64	45
11.687	12.1838	69	45
11.687	12.1838	72	45
11.687	12.1838	76	55
12.0667	12.2566	56	50
12.0667	12.2566	77	58
12.8361	13.3808	49	35
12.8361	13.3808	52	35
12.8361	13.3808	58	46
12.8361	13.3808	76	47
12.8361	13.3808	82	47
12.8361	13.3808	85	60
13.2257	13.4064	64	49
13.2257	13.4064	70	64
13.9443	14.5472	59	30
13.9443	14.5472	62	30
13.9443	14.5472	65	40
13.9443	14.5472	71	40
13.9443	14.5472	74	40
13.9443	14.5472	77	50
14.3729	14.6689	50	31
14.3729	14.6689	79	50
15.1842	15.7409	52	27
15.1842	15.7409	55	27
15.1842	15.7409	61	35
15.1842	15.8872	78	36
15.1842	15.7409	85	46
15.6128	15.8872	66	26
15.6128	15.8872	67	35
16.3445	16.9268	54	26
16.3445	16.9268	59	33
16.3445	17.0772	76	34
16.3445	16.9268	83	43
16.7731	17.0772	64	25
16.7731	17.0772	66	33
17.5681	18.4346	54	24
17.5681	18.4346	58	31
17.5681	18.3175	74	32
17.5681	18.4346	82	41
17.9211	18.3175	66	26
18.2471	18.4346	64	25
18.2471	18.4346	73	34
18.6221	19.1613	59	32
18.6221	19.1613	62	32
18.6221	19.1613	66	42
18.6221	19.1613	71	42
18.6221	19.1613	74	42
18.6221	19.1613	78	52
18.9925	19.18	50	33
18.9925	19.18	83	44
19.7164	20.2598	52	34
19.7164	20.2598	57	34
19.7164	20.2598	61	45
19.7164	20.279	81	46
19.7164	20.2598	85	46
19.7164	20.2598	88	60
20.0867	20.279	69	38
20.0867	20.279	73	48
20.8372	21.3138	54	30
20.8372	21.3138	59	30
20.8372	21.3138	62	38
20.8372	21.3929	79	39
20.8372	21.3138	83	39
20.8372	21.3138	86	50
21.2031	21.3929	67	32
21.2031	21.3929	71	40
21.9625	23.0821	54	24
21.9625	23.0821	61	24
21.9625	23.0307	64	31
21.9625	23.0821	78	32
21.9625	23.0821	82	32
21.9625	23.0821	85	40
22.3114	23.0821	66	26
22.3114	23.0307	70	33
22.6411	23.0821	76	33
23.0307	23.4719	35	37
23.0307	25.9578	64	32
23.0307	23.4719	70	32
23.4719	27.7567	47	44
23.4719	25.9578	73	39
24.2613	24.7163	52	39
24.6838	25.9578	55	43
25.4631	25.9578	54	37
25.4631	27.9035	63	36
25.9469	27.7567	57	38
25.9469	27.7567	69	39
25.9469	27.7567	72	39
28.1109	28.561	52	19
28.1109	28.561	55	19
28.1109	28.561	59	31
28.1109	28.561	64	24
28.1109	28.561	67	31
28.1109	28.561	71	39
28.4813	28.6219	51	25
28.4813	28.6219	72	33
29.2051	29.6739	43	19
29.2051	29.6739	47	19
29.2051	29.6739	52	24
29.2051	29.6739	71	32
29.2051	29.6739	76	32
29.2051	29.6739	79	40
29.5801	29.7207	54	26
29.5801	29.7207	70	33
30.2551	30.7192	52	19
30.2551	30.7192	55	19
30.2551	30.7192	59	31
30.2551	30.7192	64	24
30.2551	30.7192	67	31
30.2551	30.7192	71	39
30.6255	30.7661	51	25
30.6255	30.7661	72	33
31.3755	31.8363	43	19
31.3755	31.8363	47	19
31.3755	31.8363	52	24
31.3755	31.8363	71	32
31.3755	31.8363	76	32
31.3755	31.8363	79	40
31.7413	31.8837	55	26
31.7413	31.8837	64	33
32.4782	32.939	54	20
32.4782	32.939	57	20
32.4782	32.939	60	34
32.4782	32.939	66	27
32.4782	32.939	69	34
32.4782	32.939	72	42
32.8486	32.9841	53	27
32.8486	32.9841	74	36
33.5589	34.0265	45	20
33.5589	34.0265	48	20
33.5589	34.0265	54	25
33.5589	34.0265	72	33
33.5589	34.0265	78	33
33.5589	34.0265	81	42
33.9339	34.0728	55	27
33.9339	34.0728	71	34
34.5984	35.0659	54	19
34.5984	35.0659	57	19
34.5984	35.0659	60	31
34.5984	35.0659	66	24
34.5984	35.0659	69	31
34.5984	35.0659	72	39
34.9734	35.1122	53	25
34.9734	35.1122	74	33
35.6967	36.1596	45	19
35.6967	36.1596	48	19
35.6967	36.1596	54	24
35.6967	36.1596	72	32
35.6967	36.1596	78	32
35.6967	36.1596	81	40
36.067	36.2059	57	26
36.067	36.2059	66	33
36.7863	37.1923	55	28
36.7863	37.1923	59	28
36.7863	37.1923	62	37
36.7863	37.1923	67	37
36.7863	37.1923	71	37
36.7863	37.1923	74	46
37.1392	37.3267	54	29
37.1392	37.3267	76	39
37.8892	38.3573	47	33
37.8892	38.3573	50	33
37.8892	38.3573	56	41
37.8892	38.3573	74	42
37.8892	38.3573	80	42
37.8892	38.3573	83	52
38.2551	38.4499	62	42
38.2551	38.4499	68	58
38.9708	39.474	57	35
38.9708	39.474	60	35
38.9708	39.474	64	45
38.9708	39.474	69	45
38.9708	39.474	72	45
38.9708	39.474	76	55
39.3554	39.5477	56	50
39.3554	39.5477	77	58
40.1296	40.6744	49	35
40.1296	40.6744	52	35
40.1296	40.6744	58	46
40.1296	40.6744	76	47
40.1296	40.6744	82	47
40.1296	40.6744	85	60
40.5192	40.7	64	49
40.5192	40.7	70	64
41.2378	41.8407	59	30
41.2378	41.8407	62	30
41.2378	41.8407	65	40
41.2378	41.8407	71	40
41.2378	41.8407	74	40
41.2378	41.8407	77	50
41.6664	41.9624	50	31
41.6664	41.9624	79	50
42.4778	43.027	52	27
42.4778	43.027	55	27
42.4778	43.027	61	35
42.4778	43.165	78	36
42.4778	43.027	85	46
42.9064	43.165	66	26
42.9064	43.165	67	35
43.596	44.1783	54	26
43.596	44.1783	59	33
43.596	44.3286	76	34
43.596	44.1783	83	43
44.0246	44.3286	64	25
44.0246	44.3286	66	33
