OnsetTime	OffsetTime	MidiPitch	Velocity
0.500004	3.30754	36	86
0.500004	0.586211	48	103
0.586211	3.19962	48	77
0.672417	3.10953	55	80
0.758623	0.931036	60	77
0.844829	2.92934	64	90
0.931036	2.83924	60	77
1.01724	2.74915	67	80
1.10345	1.27586	72	78
1.18965	2.56895	76	93
1.27586	2.48275	72	79
1.36207	2.39654	79	82
1.44827	1.62069	84	80
1.53448	2.22413	88	93
1.62069	2.13792	84	80
1.70689	2.05172	91	83
1.7931	1.96551	96	81
1.8793	3.2311	100	95
1.96551	3.2311	96	80
2.05172	3.2311	91	84
2.13792	2.31034	84	80
2.22413	3.2311	88	94
2.31034	3.2311	84	80
2.39654	3.2311	79	83
2.48275	2.65905	72	79
2.56895	3.2311	76	93
2.65905	3.2311	72	79
2.74915	3.2311	67	81
2.83924	3.01943	60	78
2.92934	3.2311	64	92
3.01943	3.2311	60	76
3.10953	3.2311	55	80
3.19962	3.30754	48	77
3.30754	4.7276	29	88
3.30754	4.7276	41	104
3.39474	4.60593	48	80
3.48195	4.60593	57	80
3.56916	3.74359	60	77
3.65638	4.60593	65	91
3.74359	4.60593	60	77
3.8308	4.60593	69	80
3.91801	4.09477	72	78
4.00522	4.60593	77	93
4.09477	4.60593	72	78
4.18432	4.60593	81	82
4.27386	4.45295	84	80
4.36341	4.60593	89	94
4.45295	4.60593	84	81
4.5425	4.63206	93	83
4.63206	4.7276	96	80
4.7276	6.14485	30	85
4.7276	6.14485	42	101
4.7276	6.04849	100	96
4.8148	6.04849	96	80
4.90201	6.04849	93	84
4.98922	5.16364	84	80
5.07643	6.04849	88	95
5.16364	6.04849	84	80
5.25086	6.04849	81	83
5.33807	5.51249	72	79
5.42528	6.04849	76	93
5.51249	6.04849	72	78
5.59971	6.04849	69	81
5.68692	5.86134	60	77
5.77413	6.04849	62	92
5.86134	6.04849	60	76
5.94855	6.04849	57	80
6.03577	6.14485	48	77
6.14485	7.54911	31	85
6.14485	7.54911	43	101
6.23335	7.54911	47	80
6.32185	7.54911	55	77
6.41035	6.58735	59	80
6.49885	7.54911	62	90
6.58735	7.54911	59	77
6.67585	7.54911	67	80
6.76435	6.94516	71	78
6.85285	7.54911	30	86
6.85285	7.54911	42	102
6.85285	7.54911	74	93
6.94516	7.54911	71	79
7.03746	7.54911	79	82
7.12977	7.31641	83	80
7.22208	7.59943	28	82
7.22208	7.59943	40	97
7.22208	7.54911	86	94
7.31641	7.54911	83	80
7.41075	7.54911	91	83
7.50508	7.59943	93	79
7.59943	9.04889	26	86
7.59943	9.04889	38	102
7.59943	8.93809	98	97
7.68952	8.93809	93	80
7.77962	8.93809	90	84
7.86971	8.93809	84	80
7.95981	8.93809	86	95
8.0499	8.93809	81	80
8.14	8.93809	78	82
8.2301	8.93809	72	79
8.32019	8.93809	74	94
8.41029	8.93809	69	77
8.50038	8.93809	66	81
8.59048	8.93809	60	77
8.68057	8.93809	62	80
8.77067	8.93809	57	80
8.86076	8.95086	54	80
8.95086	9.04889	48	80
9.04889	11.8473	31	85
9.04889	11.8473	43	101
9.13585	10.4069	48	77
9.22281	10.4069	53	80
9.30977	10.4069	56	77
9.39672	10.4069	62	91
9.48368	10.4069	60	76
9.57064	10.4069	65	80
9.65759	10.4069	68	77
9.74455	10.4069	74	92
9.83151	10.4069	72	78
9.91847	10.4069	77	82
10.0054	10.4069	80	79
10.0924	10.4069	86	93
10.1793	10.4069	84	80
10.2663	10.4069	89	83
10.3533	11.7156	92	80
10.4402	11.7156	98	95
10.5272	11.7156	91	79
10.6141	11.7156	89	84
10.7011	11.7156	83	79
10.788	11.7156	86	94
10.875	11.7156	79	79
10.962	11.7156	77	83
11.0489	11.7156	71	78
11.1359	11.7156	74	93
11.2228	11.7156	67	77
11.3098	11.7156	65	81
11.3967	11.7156	59	77
11.4837	11.7156	63	95
11.5707	11.7156	55	77
11.6576	11.7446	53	80
11.7446	11.8473	47	77
11.8473	14.6241	36	85
11.8473	11.9335	48	101
11.9335	14.5285	48	76
12.0197	14.4411	55	80
12.1059	12.2783	60	76
12.1921	14.2661	64	85
12.2783	14.1787	60	76
12.3645	14.0912	67	80
12.4508	12.6232	72	78
12.537	13.9163	76	89
12.6232	13.8301	72	78
12.7094	13.7438	79	82
12.7956	12.968	84	79
12.8818	13.5714	88	90
12.968	13.4852	84	80
13.0542	13.399	91	83
13.1404	13.3128	96	80
13.2266	14.5081	100	92
13.3128	14.5081	96	80
13.399	14.5081	91	84
13.4852	13.6576	84	80
13.5714	14.5081	88	92
13.6576	14.5081	84	81
13.7438	14.5081	79	83
13.8301	14.0037	72	79
13.9163	14.5081	76	90
14.0037	14.5081	72	78
14.0912	14.5081	67	81
14.1787	14.3536	60	77
14.2661	14.5081	64	89
14.3536	14.5081	60	77
14.4411	14.5285	55	80
14.5285	14.6241	48	77
14.6241	17.4162	33	86
14.6241	17.4162	45	103
14.7108	15.9297	48	77
14.7975	15.9297	53	80
14.8842	15.0576	60	77
14.9709	15.1443	65	87
15.0576	15.9297	60	76
15.1443	15.9297	65	80
15.231	15.4044	72	77
15.3177	15.4911	77	89
15.4044	15.9297	72	77
15.4911	15.9297	77	82
15.5778	15.7512	84	79
15.6645	15.8379	89	92
15.7512	15.9297	84	80
15.8379	15.9297	89	83
15.9246	16.0988	96	80
16.0113	17.3233	100	93
16.0988	17.3233	96	80
16.1862	17.3233	90	84
16.2737	16.4486	84	79
16.3612	17.3233	88	93
16.4486	17.3233	84	80
16.5361	17.3233	78	83
16.6236	16.7985	72	79
16.711	17.3233	76	90
16.7985	17.3233	72	79
16.886	17.3233	66	81
16.9734	17.1484	60	78
17.0609	17.3233	64	89
17.1484	17.3233	60	77
17.2358	17.3233	54	80
17.3233	17.4162	48	77
17.4162	21.5713	31	81
17.4162	21.5713	43	96
17.5034	18.7091	48	73
17.5906	18.7091	55	76
17.6778	17.8522	60	74
17.765	18.7091	62	81
17.8522	18.7091	60	73
17.9395	18.7091	67	76
18.0267	18.2011	72	74
18.1139	18.7091	74	86
18.2011	18.7091	72	74
18.2883	18.7091	79	77
18.3755	18.5499	84	75
18.4627	18.7091	86	88
18.5499	18.7091	84	76
18.6372	18.7244	91	78
18.7244	18.8116	96	76
18.8116	20.1261	98	89
18.8996	20.1261	95	76
18.9875	20.1261	91	79
19.0755	19.2515	83	75
19.1635	20.1261	86	87
19.2515	20.1261	83	75
19.3394	20.1261	79	78
19.4274	19.6034	71	74
19.5154	20.1261	74	86
19.6034	20.1261	71	75
19.6913	20.1261	67	76
19.7793	19.9553	59	74
19.8673	20.1261	62	83
19.9553	20.1261	59	73
20.0432	20.1312	55	76
20.1312	21.5713	47	71
20.2283	23.0076	36	81
20.2283	22.9086	48	96
20.3148	21.5713	50	76
20.4012	21.5713	55	73
20.4877	20.6606	62	76
20.5742	21.5713	64	78
20.6606	21.5713	62	71
20.7471	21.5713	67	76
20.8335	21.0065	74	74
20.92	21.5713	76	79
21.0065	21.5713	74	74
21.0929	21.5713	79	77
21.1794	21.3523	86	75
21.2658	21.5713	88	83
21.3523	21.5713	86	76
21.4388	21.5713	91	78
21.5252	21.6117	98	76
21.6117	22.9317	100	83
21.6981	22.9317	96	73
21.7846	22.9317	91	77
21.871	22.044	84	73
21.9575	22.9317	88	84
22.044	22.9317	84	73
22.1304	22.9317	79	76
22.2169	22.3898	72	70
22.3033	22.9317	76	81
22.3898	22.9317	72	71
22.4763	22.9317	67	76
22.5627	22.7357	60	70
22.6492	22.9317	64	78
22.7357	22.9317	60	71
22.8221	22.9317	55	74
22.9086	23.0076	48	67
23.0076	25.0924	33	65
23.0076	25.0924	45	77
23.0938	24.3114	52	56
23.18	24.3114	60	61
23.2662	23.4386	64	59
23.3524	24.3114	65	66
23.4386	24.3114	64	57
23.5248	24.3114	72	61
23.611	23.7834	76	58
23.6972	24.3114	77	68
23.7834	24.3114	76	57
23.8697	24.3114	84	63
23.9559	24.1283	88	58
24.0421	24.3114	89	69
24.1283	24.3114	88	60
24.2145	24.3114	96	63
24.3007	25.7396	100	58
24.3927	25.7396	35	65
24.3927	25.7396	47	77
24.3927	25.7396	101	70
24.4802	25.7396	98	59
24.5676	25.7396	95	63
24.6551	24.83	86	59
24.7426	25.7396	89	69
24.83	25.7396	86	59
24.9175	25.7396	83	63
25.005	25.1817	74	58
25.0924	25.8124	33	65
25.0924	25.8124	45	77
25.0924	25.7396	77	68
25.1817	25.7396	74	57
25.271	25.7396	71	62
25.3603	25.5389	62	57
25.4496	25.7396	65	67
25.5389	25.7396	62	56
25.6282	25.7396	59	61
25.7175	25.8124	50	57
25.8124	27.1917	32	65
25.8124	27.1917	44	77
25.8986	27.1055	50	57
25.9848	27.1055	59	61
26.071	26.2434	62	57
26.1572	27.1055	64	71
26.2434	27.1055	62	57
26.3297	27.1055	71	61
26.4159	26.5883	74	58
26.5021	27.1055	76	72
26.5883	27.1055	74	57
26.6745	27.1055	83	63
26.7607	26.9331	86	57
26.8469	27.1055	88	72
26.9331	27.1055	86	58
27.0193	27.1055	95	63
27.1055	27.1917	98	59
27.1917	28.5566	33	64
27.1917	28.5566	45	76
27.1917	28.5566	100	72
27.2789	28.5566	96	60
27.3661	28.5566	93	63
27.4534	27.6278	84	61
27.5406	28.5566	88	74
27.6278	28.5566	84	61
27.715	28.5566	81	66
27.8022	27.9766	72	63
27.8894	28.5871	31	70
27.8894	28.5871	43	82
27.8894	28.5566	76	77
27.9766	28.5566	72	63
28.0638	28.5566	69	68
28.151	28.3255	60	63
28.2383	28.5566	64	79
28.3255	28.5566	60	64
28.4127	28.5566	57	70
28.4999	28.5871	48	65
28.5871	31.3932	29	76
28.5871	31.3932	41	90
28.6743	29.9207	48	65
28.7615	29.9207	57	72
28.8487	29.0232	60	66
28.936	29.9207	64	82
29.0232	29.9207	60	67
