OnsetTime	OffsetTime	MidiPitch	Velocity
0.504524	2.13208	78	55
2.12895	2.31645	77	48
2.31645	2.50395	78	53
2.50395	2.67434	80	57
2.67434	2.84002	78	55
2.84002	3.00306	76	52
3.00306	4.0811	75	49
3.18802	4.11108	58	33
3.18802	4.11108	64	39
3.18802	4.11108	73	47
3.37552	4.0811	54	31
3.37552	3.73769	66	40
3.46928	4.11108	70	36
3.56246	3.91761	49	34
3.56246	4.11108	68	46
3.73769	4.11108	42	31
3.73769	3.91761	66	42
3.91761	4.11108	49	33
3.91761	4.11108	66	41
4.0811	4.41751	54	33
4.0811	5.08992	75	41
4.2446	5.15208	58	36
4.2446	5.15208	64	39
4.2446	5.15208	73	47
4.41751	5.08992	54	33
4.41751	4.75567	66	44
4.50397	5.15208	70	33
4.59043	4.92776	49	33
4.59043	5.15208	68	45
4.75567	5.15208	42	33
4.75567	4.92776	66	43
4.92776	5.15208	49	33
4.92776	5.15208	66	43
5.08992	5.25209	54	33
5.08992	5.25209	75	43
5.25209	5.57249	47	39
5.25209	7.0205	64	40
5.25209	7.0205	73	48
5.41281	5.73125	54	35
5.41281	5.73125	66	52
5.57249	6.98336	47	43
5.57249	6.20381	63	59
5.57249	5.88905	71	59
5.73125	6.35726	54	38
5.73125	6.04592	66	56
5.88905	6.66777	51	44
5.88905	6.20381	71	51
5.88905	6.98336	75	60
6.04592	6.5119	59	40
6.04592	6.35726	66	56
6.20381	7.0205	63	32
6.20381	6.5119	71	45
6.20381	7.0205	77	53
6.35726	6.82495	54	33
6.35726	6.66777	66	47
6.35726	6.66777	78	56
6.5119	7.0205	59	39
6.5119	6.82495	71	52
6.5119	7.0205	80	62
6.66777	7.0205	51	33
6.66777	6.98336	66	48
6.66777	7.0205	78	57
6.82495	7.0205	54	36
6.82495	7.0205	71	46
6.82495	7.0205	76	55
6.98336	7.99098	47	33
6.98336	7.31114	66	45
6.98336	7.96665	75	53
7.14212	7.99098	58	40
7.14212	7.99098	64	48
7.14212	7.99098	73	57
7.31114	7.96665	54	37
7.31114	7.64232	66	56
7.39565	7.99098	70	43
7.48015	7.80448	49	40
7.48015	7.99098	68	55
7.64232	7.99098	42	36
7.64232	7.80448	66	52
7.80448	7.99098	49	36
7.80448	7.99098	66	52
7.96665	8.29098	54	36
7.96665	8.93965	75	52
8.12882	9.00181	58	40
8.12882	9.00181	64	49
8.12882	9.00181	73	58
8.29098	8.93965	54	34
8.29098	8.61531	66	55
8.37206	9.00181	70	41
8.45315	8.77748	49	38
8.45315	9.00181	68	52
8.61531	9.00181	42	35
8.61531	8.77748	66	51
8.77748	9.00181	49	38
8.77748	9.00181	66	51
8.93965	9.26354	54	32
8.93965	9.74608	75	51
9.10181	9.42483	47	41
9.10181	9.95126	64	51
9.10181	9.95126	73	61
9.26354	9.58568	54	37
9.26354	9.58568	66	56
9.42483	9.95126	47	45
9.42483	9.95126	63	54
9.42483	9.74608	71	64
9.58568	9.95126	54	36
9.58568	9.90605	66	59
9.74608	9.95126	51	48
9.74608	9.95126	71	56
9.74608	9.95126	75	67
9.90605	10.0656	59	39
9.90605	10.0656	66	62
10.0656	10.2247	63	48
10.0656	10.2247	71	59
10.0656	10.2247	78	70
10.2247	10.3834	54	39
10.2247	10.3834	66	66
10.3834	10.543	61	52
10.3834	10.543	71	62
10.3834	10.543	79	74
10.543	10.7025	52	48
10.543	10.7025	67	69
10.7025	10.8647	59	53
10.7025	10.8647	71	64
10.7025	10.8647	80	76
10.8647	11.1819	51	49
10.8647	11.851	68	70
11.0269	11.851	44	54
11.0269	11.1819	75	64
11.0269	11.7814	83	76
11.1819	11.851	51	47
11.1819	11.4851	75	66
11.2594	11.851	78	46
11.3369	11.6332	63	54
11.3369	11.851	76	70
11.4851	11.851	56	47
11.4851	11.851	75	66
11.6332	11.851	63	52
11.6332	11.851	71	69
11.7814	12.7272	59	35
11.7814	12.7272	80	48
11.7814	12.7272	83	57
11.9323	12.7272	51	39
11.9323	12.6815	78	54
11.9323	12.7272	82	64
12.0848	12.7272	66	44
12.0848	12.6815	75	65
12.2329	12.6815	58	49
12.2329	12.5292	70	65
12.307	12.7272	73	47
12.3811	12.7272	54	40
12.3811	12.7272	71	65
12.5292	12.7272	63	47
12.5292	12.7272	70	63
12.6815	13.7576	58	49
12.6815	13.7576	75	48
12.6815	13.7576	78	57
12.8338	13.7576	40	53
12.8338	13.072	68	60
12.8338	13.7576	71	60
12.9861	13.5018	59	38
12.9861	13.3299	64	58
13.072	13.5018	68	48
