OnsetTime	OffsetTime	MidiPitch	Velocity
1.08799	1.41007	70	49
1.41007	1.72413	39	36
1.41007	1.9322	70	48
1.51468	1.82852	55	28
1.51468	2.13752	58	37
1.61959	1.9322	46	28
1.61959	2.13752	67	37
1.72413	2.03503	39	33
1.72413	2.23973	75	52
1.82852	2.54408	55	29
1.82852	2.44297	63	39
1.9322	2.23973	46	30
1.9322	2.44297	70	40
2.03503	2.34152	39	36
2.03503	2.54408	79	56
2.13752	2.8452	58	32
2.13752	2.74515	67	41
2.23973	2.64478	46	32
2.23973	2.74515	75	44
2.34152	3.24287	39	41
2.34152	2.8452	82	63
2.44297	3.24287	63	33
2.44297	3.04344	70	49
2.54408	3.24287	55	34
2.54408	3.04344	79	50
2.64478	3.24287	46	42
2.64478	3.24287	87	68
2.74515	3.24287	67	35
2.74515	3.24287	75	52
2.8452	3.14276	58	37
2.8452	3.14276	82	55
2.94484	3.24287	51	47
2.94484	3.24287	91	71
3.04344	3.24287	70	39
3.04344	3.24287	79	54
3.14276	3.24287	58	45
3.14276	3.24287	82	57
3.24287	3.54737	51	55
3.24287	3.55121	89	75
3.34338	3.55121	71	39
3.34338	3.55121	74	58
3.44523	3.55121	59	38
3.44523	3.55121	80	56
3.54737	3.85544	51	49
3.54737	3.87738	87	72
3.64978	3.87738	72	38
3.64978	3.87738	75	56
3.75247	3.87738	60	36
3.75247	3.87738	80	55
3.85544	4.16991	51	41
3.85544	4.16991	84	68
3.95869	4.17443	68	33
3.95869	4.17443	72	51
4.06194	4.17443	62	32
4.06194	4.17443	80	49
4.16991	4.50786	51	46
4.16991	4.50786	84	70
4.27318	4.50786	67	36
4.27318	4.50786	72	51
4.37671	4.50786	63	32
4.37671	4.50786	79	46
4.48053	5.1137	58	39
4.48053	5.1137	82	62
4.5847	4.89896	67	30
4.5847	5.00437	70	43
4.68916	4.89896	63	30
4.68916	5.10921	75	43
4.79392	5.1137	51	35
4.79392	5.1137	79	60
4.89896	5.1137	63	29
4.89896	5.1137	67	43
5.00437	5.1137	55	29
5.00437	5.1137	70	41
5.10921	5.42344	41	36
5.10921	5.42344	75	53
5.2119	5.42344	60	28
5.2119	5.42344	63	38
5.3143	5.42344	53	29
