OnsetTime	OffsetTime	MidiPitch	Velocity
0.501815	1.33583	36	46
0.6442	1.33583	43	30
0.6442	1.33583	55	36
0.785499	1.33583	52	36
0.785499	1.06316	60	49
0.923861	1.33583	64	33
0.923861	1.33583	67	53
1.06316	1.33583	60	43
1.2016	1.33583	57	27
1.2016	1.33583	69	43
1.33583	2.14126	35	51
1.47249	2.14126	43	38
1.47249	2.14126	55	47
1.6079	2.14126	53	36
1.6079	1.87771	62	51
1.74129	2.14126	65	40
1.74129	2.14126	67	59
1.87771	2.14126	62	47
2.01202	2.14126	57	33
2.01202	2.14126	69	45
2.14126	2.90145	36	53
2.27398	2.90145	43	47
2.27398	2.90145	55	56
2.40424	2.90145	52	47
2.40424	2.66161	60	59
2.53215	2.90145	64	46
2.53215	2.90145	67	67
2.66161	2.90145	60	61
2.78912	2.91461	57	52
2.78912	2.91461	69	65
2.91461	3.69606	40	79
3.0424	3.69606	52	55
3.0424	3.69606	59	66
3.16819	3.69606	55	56
3.16819	3.41901	64	70
3.29241	3.69606	67	52
3.29241	3.69606	71	75
3.41901	3.69606	64	70
3.54492	3.69606	60	62
3.54492	3.69606	72	78
3.66618	4.41047	41	84
3.79118	4.41047	52	68
3.79118	4.41047	64	79
3.91465	4.41047	57	59
3.91465	4.15875	69	75
4.03661	4.41047	72	58
4.03661	4.41047	76	80
4.15875	4.41047	69	75
4.28525	4.41047	62	80
4.28525	4.41047	74	80
4.41047	5.1912	42	91
4.53826	5.1912	50	75
4.53826	5.1912	64	86
4.66465	5.1912	60	64
4.66465	4.921	69	82
4.79017	5.1912	72	61
4.79017	5.1912	76	88
4.921	5.1912	69	82
5.05472	5.2003	62	84
5.05472	5.2003	74	84
5.2003	6.0446	43	97
5.33949	6.0446	53	79
5.33949	6.0446	64	86
5.47729	6.0446	59	67
5.47729	5.75195	67	82
5.61365	6.0446	71	55
5.61365	6.0446	76	88
5.75195	6.0446	67	74
5.89693	6.0446	62	67
5.89693	6.0446	74	82
6.0446	6.83331	31	58
6.19415	6.83331	43	42
6.19415	6.83331	59	50
6.33794	6.83331	53	38
6.33794	6.62101	62	56
6.4769	6.83331	65	41
6.4769	6.83331	71	59
6.62101	6.83331	62	50
6.76987	6.91912	57	39
6.76987	6.91912	69	47
6.91912	7.72937	36	51
7.05596	7.72937	43	37
7.05596	7.72937	55	44
7.19133	7.72937	52	39
7.19133	7.4645	60	53
7.3252	7.72937	64	36
7.3252	7.72937	67	60
7.4645	7.72937	60	51
7.60034	7.72937	57	38
7.60034	7.72937	69	45
7.72937	8.52467	35	53
7.8636	8.52467	43	42
7.8636	8.52467	55	51
7.99716	8.52467	53	44
7.99716	8.2662	62	58
8.12978	8.52467	65	45
8.12978	8.52467	67	61
8.2662	8.52467	62	58
8.39889	8.52467	57	44
8.39889	8.52467	69	51
8.52467	9.30181	36	63
8.65454	9.30181	43	50
8.65454	9.30181	55	60
8.78441	9.30181	52	63
8.78441	9.04649	60	64
8.91426	9.30181	64	49
8.91426	9.30181	67	72
9.04649	9.30181	60	66
9.17567	9.30181	57	50
9.17567	9.30181	69	62
9.30181	10.092	40	79
9.43001	10.092	52	66
9.43001	10.092	59	66
9.558	10.092	55	56
9.558	9.81937	64	70
9.68703	10.092	67	52
9.68703	10.092	71	75
9.81937	10.092	64	70
9.9484	10.092	60	55
9.9484	10.092	72	69
10.0696	10.8387	41	84
10.1978	10.8387	48	69
10.1978	10.8387	61	69
10.3254	10.8387	57	60
10.3254	10.581	65	75
10.4524	10.8387	69	55
10.4524	10.8387	73	80
10.581	10.8387	65	75
10.7109	10.8387	62	58
10.7109	10.8387	74	73
10.8387	11.5672	43	89
10.9661	11.5672	48	72
10.9661	11.5672	63	72
11.0929	11.5672	58	61
11.0929	11.3473	67	78
11.2191	11.5672	72	57
11.2191	11.5672	75	82
11.3473	11.5672	67	78
11.4745	11.5995	64	61
11.4745	11.5995	76	78
11.5995	12.3875	45	91
11.7281	12.3875	53	75
11.7281	12.3875	67	75
11.8558	12.3875	60	58
11.8558	12.1088	69	80
11.9823	12.3875	72	60
11.9823	12.3875	79	86
12.1088	12.3875	69	75
