OnsetTime	OffsetTime	MidiPitch	Velocity
0.502391	1.67143	40	34
0.502391	1.67143	47	40
1.07144	1.69737	46	28
1.07144	1.69737	55	34
1.67143	2.8035	40	34
1.67143	2.8035	47	40
2.23746	2.82969	43	28
2.23746	2.82969	55	34
2.8035	3.94636	40	34
2.8035	3.94636	47	40
3.37493	4.08208	46	28
3.37493	4.08208	55	34
3.94636	5.11779	40	34
3.94636	5.11779	47	40
4.5178	5.11779	43	27
4.5178	5.11779	55	33
5.11779	6.24986	40	34
5.11779	6.24986	47	40
5.68382	6.27605	46	27
5.68382	6.27605	55	33
6.24986	7.41535	40	31
6.24986	7.41535	47	38
6.82129	7.44154	43	26
6.82129	7.44154	55	31
7.41535	8.58083	40	30
7.41535	8.58083	47	36
7.98678	8.72192	46	25
7.98678	8.72192	55	29
8.58083	9.82707	40	28
8.58083	9.82707	47	35
9.17489	9.82707	43	22
9.17489	9.82707	55	26
9.82707	11.0096	40	27
9.82707	11.0096	47	33
9.82707	14.5524	64	55
10.4096	11.0355	46	23
10.4096	11.0355	55	27
11.0096	12.1417	40	27
11.0096	12.1417	47	33
11.5756	12.1674	43	23
11.5756	12.1674	55	27
12.1417	13.3024	40	27
12.1417	13.3024	47	33
12.7024	13.4508	46	23
12.7024	13.4508	55	27
13.3024	14.5524	40	27
13.3024	14.5524	47	33
13.9274	14.5524	43	22
13.9274	14.5524	55	26
13.9535	14.564	59	41
14.5524	15.6635	38	27
14.5524	15.6635	47	33
14.564	19.0479	62	55
15.108	15.6892	46	23
15.108	15.6892	55	27
15.6635	16.8125	38	27
15.6635	16.8125	47	33
16.2243	16.8375	43	23
16.2243	16.8375	55	27
16.8125	17.9034	38	27
16.8125	17.9034	47	33
17.3579	18.0341	46	23
17.3579	18.0341	55	27
17.9034	19.0479	38	27
17.9034	19.0479	47	33
18.4538	19.0479	43	22
18.4538	19.0479	55	26
19.0479	20.2304	38	27
19.0479	20.2304	45	33
19.0479	21.3955	62	55
19.6479	20.2571	44	23
19.6479	20.2571	55	27
20.2304	21.3955	38	27
20.2304	21.3955	45	33
20.6673	21.4207	66	44
20.813	21.4207	43	23
20.813	21.4207	55	27
20.813	21.4207	64	51
21.3955	22.5174	38	27
21.3955	22.5174	45	33
21.3955	23.7496	62	53
21.9459	22.6599	44	23
21.9459	22.6599	54	27
22.5174	23.7496	38	27
22.5174	23.7496	45	33
23.1235	23.7496	42	22
23.1235	23.7496	54	26
23.1235	23.7496	57	41
23.7496	24.9786	31	27
23.7496	24.9496	43	33
23.7496	24.9496	59	52
24.3496	24.9786	52	22
24.3496	24.9786	55	26
24.9496	26.2608	43	25
24.9496	26.2608	50	29
24.9496	25.9212	59	48
25.5903	26.2873	51	19
25.5903	26.2873	55	24
25.9212	26.2608	59	44
26.2608	27.4377	43	23
26.2608	27.4377	50	27
26.2608	30.766	59	46
26.8377	27.5709	52	18
26.8377	27.5709	55	23
27.4377	28.5592	43	23
27.4377	28.5592	50	27
27.9985	28.5592	51	18
27.9985	28.5592	55	22
28.5592	29.6501	43	24
