OnsetTime	OffsetTime	MidiPitch	Velocity
1.46699	2.30399	59	55
2.30399	2.57999	71	52
2.58399	5.41098	71	62
2.58499	3.10798	55	21
2.58499	3.10899	59	25
2.58699	3.10899	64	31
3.10798	3.56698	55	18
3.10899	3.56798	59	22
3.10899	3.56798	64	27
3.56698	4.00898	55	18
3.56798	4.00898	59	22
3.56798	4.00898	64	27
4.00898	4.45298	55	18
4.00898	4.45598	59	22
4.00898	4.45699	64	27
4.45298	4.92498	55	18
4.45598	4.92599	59	22
4.45699	4.92599	64	27
4.92498	5.41498	55	18
4.92599	5.41799	59	22
4.92599	5.41898	64	27
5.41898	5.92297	55	16
5.41998	5.92297	59	19
5.42198	5.92697	64	24
5.43298	6.47597	72	58
5.92297	6.46196	55	16
5.92297	6.46196	59	19
5.92697	6.45896	64	24
6.45796	6.95596	54	21
6.45896	6.95697	57	25
6.45896	6.95897	64	31
6.47896	9.32096	71	62
6.95596	7.42095	54	18
6.95697	7.42196	57	22
6.95897	7.42196	64	27
7.42095	7.86295	54	18
7.42196	7.86196	57	22
7.42196	7.86295	64	27
7.86196	8.30296	57	22
7.86295	8.30296	54	18
7.86295	8.34496	64	27
8.30296	8.76195	54	18
8.30296	8.76195	57	22
8.30596	8.76096	63	27
8.76096	9.23395	63	27
8.76195	9.23096	54	18
8.76195	9.23296	57	22
9.23096	9.72496	54	16
9.23296	9.72696	57	19
9.23395	9.72795	63	24
9.25196	10.255	72	58
9.72496	10.2409	54	16
9.72696	10.239	57	19
9.72795	10.239	63	24
10.235	10.735	53	21
10.239	10.736	57	25
10.239	10.736	63	31
10.256	13.0839	71	62
10.735	11.1979	53	18
10.736	11.195	57	22
10.736	11.194	63	27
11.194	11.6319	63	27
11.195	11.6309	57	22
11.1979	11.6289	53	18
11.6289	12.066	53	18
11.6309	12.0629	57	22
11.6319	12.16	63	27
12.0629	12.538	57	22
12.066	12.5349	53	18
12.066	12.5349	62	27
12.5349	13.017	53	18
12.5349	13.0179	62	27
12.538	13.0839	57	22
13.017	13.5049	53	16
13.017	14.0079	72	59
13.0179	13.5069	62	24
13.021	13.5049	56	19
13.5049	14.0079	53	16
13.5049	14.0079	56	19
13.5069	14.0079	62	24
14.0039	16.8149	71	64
14.0049	14.4909	52	21
14.0079	14.4899	56	25
14.0079	14.4909	62	31
14.4899	14.9429	56	22
14.4909	14.9459	52	18
14.4909	14.9459	62	27
14.9429	15.3699	56	22
14.9459	15.3699	52	18
14.9459	15.3669	62	27
15.3669	15.8029	62	27
15.3699	15.8039	52	18
15.3699	15.8069	56	22
15.8029	16.2699	62	27
15.8039	16.2659	52	18
15.8039	16.2689	55	22
16.2659	16.7519	52	18
16.2689	16.7519	55	22
16.2699	16.8149	62	27
16.7499	17.2389	61	24
16.7519	17.2379	52	16
16.7519	17.2379	55	19
16.7549	17.7419	70	58
17.2379	17.7359	52	16
17.2379	17.7399	55	19
17.2389	17.7399	61	24
17.7359	18.2429	52	21
17.7389	18.2439	60	31
17.7399	18.2429	55	25
17.7429	20.5529	69	62
18.2429	18.6889	52	18
18.2429	18.6879	55	22
18.2439	18.6899	60	27
18.6879	19.1279	55	23
18.6889	19.1319	52	18
18.6899	19.1319	60	28
19.1279	19.5939	55	23
19.1319	19.5769	52	19
19.1319	19.5769	60	28
19.5769	20.0079	52	20
19.5769	20.0049	60	31
19.5779	20.0079	54	26
20.0049	20.4839	60	34
20.0079	20.4829	52	22
20.0079	20.4799	54	26
20.4799	20.9709	54	23
