OnsetTime	OffsetTime	MidiPitch	Velocity
1.6833	2.9728	64	52
2.32805	3.00158	40	31
2.32805	3.00158	73	58
2.81161	3.00158	74	43
2.9728	3.63069	52	28
2.9728	3.63069	62	32
2.9728	3.63069	64	34
2.9728	3.63069	68	32
2.9728	3.63069	71	38
3.63069	4.30728	52	23
3.63069	4.30728	62	22
3.63069	4.30728	64	27
3.63069	4.30728	68	22
3.63069	4.30728	71	27
4.30728	5.68737	52	19
4.30728	5.68737	62	18
4.30728	5.68737	64	24
4.30728	5.68737	68	18
4.30728	5.68737	71	21
5.71673	6.36148	74	45
5.71673	6.36148	78	45
6.36148	7.04479	45	32
6.36148	7.04479	72	44
6.36148	7.04479	75	52
6.84503	7.66745	73	43
6.84503	7.04479	76	51
7.00622	7.66745	57	30
7.00622	7.66745	64	36
7.00622	7.66745	81	44
7.66745	8.37844	57	25
7.66745	8.37844	64	30
7.66745	8.37844	73	26
7.66745	8.37844	81	31
8.37844	9.77077	57	25
8.37844	9.77077	64	30
8.37844	9.77077	73	26
8.37844	9.77077	81	31
9.8004	10.5168	64	40
9.8004	10.5168	73	48
10.5168	11.178	40	30
10.5168	11.178	61	40
10.5168	11.178	70	48
11.0127	13.9524	62	32
11.0127	11.178	71	38
11.178	11.8393	52	26
11.178	11.8393	59	31
11.178	11.8393	66	35
11.178	11.8393	74	42
11.8393	12.5437	52	19
11.8393	12.5437	59	24
11.8393	12.5437	66	27
11.8393	12.5437	74	32
12.5437	13.9231	52	18
12.5437	13.9231	59	22
12.5437	13.9231	66	23
12.5437	13.9231	74	27
13.9524	14.6851	62	31
13.9524	14.6851	68	37
14.6851	15.4714	33	30
14.6851	15.4714	62	33
14.6851	15.4714	68	39
15.2748	16.2146	61	31
15.2748	15.4714	69	37
15.4714	16.2146	52	28
15.4714	16.2146	57	28
15.4714	16.2146	64	33
15.4714	16.2146	73	33
16.2146	17.0026	52	22
16.2146	17.0026	57	22
16.2146	17.0026	61	18
16.2146	17.0026	64	27
16.2146	17.0026	73	22
17.0026	18.5458	52	15
17.0026	18.5458	57	15
17.0026	18.5458	61	15
17.0026	18.5458	64	18
17.0026	18.5458	73	18
18.5787	19.8682	64	60
19.2234	19.8871	40	33
19.2234	19.8682	68	48
19.2234	19.8871	73	57
19.707	19.8871	74	57
19.8682	20.5194	52	26
19.8682	20.5194	62	41
19.8682	20.5194	64	31
19.8682	20.5194	68	41
19.8682	20.5194	71	49
20.5194	21.196	52	25
20.5194	21.196	62	31
20.5194	21.196	64	29
20.5194	21.196	68	31
20.5194	21.196	71	37
21.196	22.7548	52	23
21.196	22.7548	62	27
21.196	22.7548	64	27
21.196	22.7548	68	27
21.196	22.7548	71	32
22.7879	23.4327	74	48
22.7879	23.4327	78	57
23.4327	24.0906	45	39
23.4327	24.081	72	54
23.4327	24.081	75	64
23.9261	25.6285	73	48
23.9261	25.6285	76	57
24.0906	24.7966	57	35
24.0906	24.7966	64	35
24.0906	24.7966	69	42
24.0906	24.7966	81	54
24.0906	24.7966	85	64
24.7966	25.6285	57	37
24.7966	25.6285	64	37
24.7966	25.6285	69	44
24.7966	25.6285	81	57
24.7966	25.6285	85	68
25.6285	27.7328	54	32
25.6285	27.7328	61	32
25.6285	27.7328	64	32
25.6285	27.7328	66	38
25.6285	27.7328	70	44
25.6285	27.7328	73	44
25.6285	27.7328	76	44
25.6285	27.7328	82	44
25.6285	27.7328	85	52
27.7775	28.4421	70	38
27.7775	28.4421	73	45
28.4421	29.1067	35	28
28.4421	29.097	70	40
28.4421	29.097	73	48
28.9406	30.4076	71	34
28.9406	29.1067	74	40
29.1067	29.7818	54	35
29.1067	29.7818	62	42
29.1067	29.7818	78	37
29.7818	30.4787	54	26
29.7818	30.4787	59	26
29.7818	30.4787	62	31
29.7818	30.4787	69	28
29.7818	30.4787	78	33
30.4787	31.964	52	18
30.4787	31.964	59	18
30.4787	31.964	62	22
30.4787	31.964	68	23
30.4787	31.964	78	28
31.9976	32.8035	62	33
31.9976	32.8035	68	39
32.8035	37.0892	33	21
32.8035	33.4893	62	36
32.8035	33.4893	71	43
33.4398	37.0892	61	31
33.4398	33.6519	69	37
33.6519	37.4456	69	43
33.9266	37.0892	52	28
33.9266	34.7012	57	28
33.9266	34.7012	64	34
33.9266	34.7012	73	27
33.9266	34.7012	81	32
34.7012	35.616	57	26
34.7012	35.616	64	31
34.7012	35.616	73	27
34.7012	35.616	81	32
35.616	37.4456	57	23
35.616	37.4456	64	28
35.616	37.4456	73	26
35.616	37.4456	81	31
