OnsetTime	OffsetTime	MidiPitch	Velocity
0.504122	1.29185	71	94
0.504122	1.29185	74	94
0.504122	1.29185	77	94
0.504122	1.29185	79	94
0.504122	1.29185	83	103
0.741779	0.841986	68	73
0.837493	0.936507	67	73
0.924491	1.02371	65	79
1.01919	1.11866	62	72
1.10809	1.20777	63	72
1.19796	1.29791	62	71
1.2873	1.38747	59	79
1.38291	1.48334	55	72
1.4742	1.57485	56	72
1.56491	1.66583	55	70
1.6513	1.75242	53	79
1.74935	1.85077	50	71
1.84	1.94161	51	71
1.93082	2.0327	50	68
2.02186	2.12403	47	79
2.11242	2.21459	43	71
2.20608	2.30824	44	71
2.30128	2.40345	43	69
2.39183	3.09473	41	79
2.48472	2.6728	38	71
2.58456	3.09473	39	71
2.6728	3.09473	38	68
2.76336	2.95416	36	76
2.85831	3.0532	31	69
2.95416	3.09473	36	70
3.0532	3.28001	31	68
3.15183	3.40713	36	74
3.15183	3.79979	68	93
3.15183	3.79979	75	93
3.15183	3.71427	77	93
3.15183	3.79979	80	102
3.28001	3.53475	31	71
3.40713	3.79979	36	75
3.5332	3.79979	67	87
3.5332	3.71427	79	95
3.53475	3.79979	31	74
3.71069	3.82329	35	79
3.71427	4.48175	74	96
3.71427	4.48175	77	96
3.71427	4.48175	79	96
3.71427	4.48175	86	106
3.94133	4.04013	68	71
4.02891	4.12792	67	70
4.11816	4.21737	65	79
4.20608	4.30554	62	72
4.30101	4.4007	63	72
4.39315	4.49311	62	70
4.48401	4.58419	59	79
4.57279	4.67323	55	71
4.66255	4.76319	56	71
4.7586	4.85952	55	68
4.84882	4.94997	53	79
4.94306	5.04447	50	72
5.03525	5.13686	51	72
5.12375	5.22563	50	70
5.21325	5.31542	47	79
5.30922	5.4114	43	71
5.39979	5.50197	44	71
5.49809	5.60027	43	70
5.58556	6.27606	41	79
5.68309	5.87446	38	71
5.77688	6.27606	39	71
5.87446	6.27606	38	69
5.97123	6.15995	36	79
6.06479	6.2551	31	72
6.15995	6.28736	36	73
6.2551	6.48679	31	73
6.35316	6.60488	36	76
6.35488	6.95893	68	92
6.35488	6.95893	75	92
6.35488	6.91014	77	92
6.35488	6.95893	80	101
6.48679	6.73679	31	76
6.60488	6.95893	36	79
6.73679	6.95893	31	76
6.73785	6.95893	67	88
6.73785	6.91014	79	95
6.90622	7.00943	35	79
6.91014	7.1156	77	96
6.91014	7.1156	79	96
6.91014	7.1156	86	96
6.91014	7.1156	89	106
7.1171	7.2159	80	79
