OnsetTime	OffsetTime	MidiPitch	Velocity
0.500004	1.74117	69	77
0.843864	1.13805	50	59
0.843864	1.13805	66	68
0.990956	1.74117	73	70
1.13805	1.42569	50	52
1.13805	1.42569	57	52
1.13805	1.42569	62	52
1.13805	1.42569	66	60
1.13805	1.74117	74	71
1.28187	1.74117	76	71
1.42569	1.74117	50	52
1.42569	1.74117	57	52
1.42569	1.74117	62	52
1.42569	1.74117	66	61
1.42569	1.65773	78	72
1.57428	1.69945	79	73
1.65773	1.74117	78	70
1.69945	1.74117	79	68
1.74117	2.62973	45	59
1.74117	2.62973	78	76
2.04367	2.3367	52	54
2.04367	2.3367	57	54
2.04367	2.3367	61	54
2.04367	2.3367	67	62
2.04367	2.62973	76	74
2.19019	2.62973	74	74
2.3367	2.62973	52	54
2.3367	2.62973	57	54
2.3367	2.62973	61	54
2.3367	2.62973	67	62
2.3367	2.62973	73	73
2.48322	2.62973	71	72
2.62973	3.53059	38	59
2.62973	3.53059	69	74
2.77355	2.91737	74	70
2.91737	3.22721	50	54
2.91737	3.22721	57	54
2.91737	3.22721	62	54
2.91737	3.22721	66	62
2.91737	3.12393	74	74
3.02065	3.53059	76	70
3.12393	3.53059	74	70
3.22721	3.53059	50	54
3.22721	3.53059	57	54
3.22721	3.53059	62	54
3.22721	3.53059	66	59
3.22721	3.53059	73	70
3.3789	3.53059	71	70
3.53059	4.54542	45	59
3.53059	4.54542	73	73
3.84718	4.17907	57	43
3.84718	4.17907	64	44
3.84718	4.17907	69	53
4.17907	4.54542	57	56
4.17907	4.54542	64	56
4.17907	4.54542	67	57
4.17907	4.54542	69	68
4.54542	5.12725	50	59
4.54542	5.43543	69	74
4.69251	5.43543	73	70
4.83961	5.12725	57	52
4.83961	5.12725	62	52
4.83961	5.12725	66	60
4.83961	5.43543	74	71
4.98343	5.43543	76	71
5.12725	5.43543	50	52
5.12725	5.43543	57	52
5.12725	5.43543	62	52
5.12725	5.43543	66	61
5.12725	5.35564	78	72
5.27584	5.39554	79	73
5.35564	5.43543	78	70
5.39554	5.43543	79	68
5.43543	6.324	43	59
5.43543	6.324	78	76
5.73793	6.03096	59	54
5.73793	6.03096	64	54
5.73793	6.03096	67	62
5.73793	6.324	76	74
5.88445	6.324	74	74
6.03096	6.324	52	54
6.03096	6.324	59	54
6.03096	6.324	64	54
6.03096	6.324	67	62
6.03096	6.324	73	73
6.17748	6.324	71	72
6.324	7.22486	45	59
6.324	7.07316	69	74
6.46782	6.61164	73	70
6.61164	6.92147	57	54
6.61164	6.92147	64	54
6.61164	6.92147	67	62
6.61164	6.81819	73	74
6.71491	7.22486	74	70
6.81819	7.22486	73	70
6.92147	7.22486	57	54
6.92147	7.22486	64	54
6.92147	7.22486	67	59
6.92147	7.22486	71	70
7.07316	7.22486	69	70
7.22486	8.23734	38	59
7.22486	8.23734	74	73
7.53803	7.85546	50	36
7.53803	7.85546	57	36
7.53803	7.85546	62	43
7.53803	7.85546	66	53
7.85546	8.50957	50	39
7.85546	8.50957	57	39
7.85546	8.50957	62	39
7.85546	8.50957	66	47
8.20848	9.1239	69	40
8.35903	9.1239	73	39
8.50957	8.80397	50	23
8.50957	8.80397	57	23
8.50957	8.80397	62	23
8.50957	8.80397	66	33
8.50957	9.1239	74	39
8.65677	9.1239	76	39
8.80397	9.1239	50	23
8.80397	9.1239	57	23
8.80397	9.1239	62	23
8.80397	9.1239	66	33
8.80397	9.03998	78	40
8.95605	9.08194	79	40
9.03998	9.1239	78	39
9.08194	9.1239	79	37
9.1239	10.0334	45	27
