OnsetTime	OffsetTime	MidiPitch	Velocity
0.519987	5.13999	37	76
0.520993	5.13999	49	90
3.14599	3.598	28	76
3.147	3.60099	40	90
3.598	6.77897	28	76
3.60099	6.77897	40	90
5.18298	6.77797	49	76
5.18298	6.77897	61	90
5.18399	6.77897	56	76
6.77797	6.96097	49	72
6.96097	10.08	49	65
7.14997	13.072	51	79
7.34497	13.072	57	81
7.55596	13.073	29	85
7.55596	13.075	41	85
7.55796	10.08	61	85
10.079	13.075	48	64
10.08	13.075	60	64
13.079	13.573	34	44
13.079	13.573	46	52
13.202	13.593	53	29
13.32	13.593	49	22
13.324	13.593	61	26
13.325	13.593	58	22
13.453	13.593	41	33
13.573	14.069	34	25
13.573	14.073	46	29
13.702	14.073	53	29
13.82	14.073	49	23
13.821	14.073	61	27
13.824	14.073	58	23
13.95	14.073	41	35
14.069	14.564	34	27
14.073	14.564	46	33
14.192	14.573	53	30
14.318	14.573	49	24
14.321	14.573	58	24
14.321	14.573	61	29
14.443	14.573	41	35
14.564	15.053	34	28
14.564	15.053	46	34
14.685	15.053	53	35
14.808	15.053	49	26
14.808	15.053	61	31
14.811	15.053	58	26
14.931	15.053	41	39
15.053	15.546	34	30
15.053	15.547	46	38
15.175	15.592	53	35
15.294	15.592	49	28
15.298	15.592	58	28
15.298	15.592	61	34
15.42	15.592	41	39
15.546	16.032	34	29
15.547	16.033	46	35
15.669	16.033	53	34
15.788	16.033	49	25
15.791	16.033	58	25
15.791	16.033	61	30
15.914	16.033	41	36
16.032	16.526	34	27
16.033	16.527	46	33
16.155	16.547	53	30
16.281	16.547	49	24
16.282	16.547	61	29
16.285	16.547	58	24
16.407	16.547	41	35
16.526	17.027	34	25
16.527	17.026	46	29
16.653	16.901	53	29
16.775	17.027	49	24
16.778	17.027	61	28
16.779	17.027	58	24
16.901	17.027	53	33
17.024	17.506	73	54
17.026	17.506	46	35
17.15	17.398	53	34
17.15	17.506	70	51
17.275	17.506	61	30
17.276	17.506	58	30
17.397	17.517	72	51
17.398	17.517	53	31
17.518	18.018	73	54
17.52	18.019	46	35
17.648	18.027	70	51
17.65	17.892	53	33
17.765	18.027	61	31
17.768	18.027	58	31
17.892	18.027	53	31
18.018	18.512	73	54
18.019	18.514	46	35
18.141	18.567	70	51
18.143	18.386	53	34
18.262	18.567	58	31
18.262	18.567	61	31
18.385	18.567	72	51
18.386	18.567	53	31
18.512	19.005	73	54
18.514	19.007	46	35
18.634	19.008	70	51
18.635	18.885	53	33
18.756	19.008	58	31
18.756	19.008	61	31
18.885	19.008	53	31
19.005	19.499	73	54
19.007	19.501	46	35
19.128	19.519	70	51
19.13	19.378	53	33
19.249	19.519	61	31
19.25	19.519	58	31
19.376	19.519	72	61
19.378	19.519	53	33
19.499	20.006	73	66
19.501	20.006	46	37
19.621	20.006	82	64
19.623	19.877	53	35
19.746	20.006	61	34
19.75	20.006	58	34
19.877	20.006	53	34
20.002	20.478	81	61
20.006	20.478	48	35
20.125	20.478	72	57
20.128	20.373	54	34
20.247	20.478	57	30
20.247	20.478	63	30
20.37	20.495	73	49
20.373	20.499	54	31
20.499	20.992	75	52
20.5	20.989	48	35
20.621	20.992	72	49
20.622	20.87	54	33
20.74	20.992	63	31
20.744	20.992	57	31
20.87	20.992	54	31
20.989	21.472	48	35
20.989	21.472	78	55
21.112	21.472	72	49
21.115	21.364	51	34
21.238	21.472	63	30
21.241	21.472	57	30
21.363	21.489	73	49
21.364	21.489	51	31
21.489	21.986	75	52
21.49	21.983	48	35
21.612	21.986	72	49
21.615	21.857	54	33
21.734	21.986	63	31
21.735	21.986	57	31
21.857	21.986	54	31
21.983	22.466	48	35
21.983	22.466	78	55
22.106	22.466	72	49
22.109	22.358	51	34
22.232	22.466	63	30
22.235	22.466	57	30
22.357	22.473	73	49
22.358	22.476	51	31
22.476	22.977	75	52
22.48	22.977	48	35
22.603	22.977	72	49
22.606	22.848	54	33
22.725	22.977	63	31
22.726	22.977	57	31
22.848	22.977	54	31
22.974	23.456	78	58
22.977	23.456	48	35
23.099	23.345	51	35
23.099	23.456	72	51
23.219	23.456	57	34
23.219	23.456	63	34
23.344	23.4699	73	65
23.345	23.471	51	35
23.471	23.9709	75	71
23.472	23.9709	48	39
23.5919	23.9679	84	64
23.5929	23.8419	54	37
23.712	23.9709	63	37
23.7149	23.9709	57	37
23.8419	23.9709	54	38
23.9679	24.472	49	35
23.9679	24.472	84	61
24.0929	24.472	73	57
24.0969	24.343	53	34
24.216	24.472	65	30
24.2199	24.472	57	30
24.3419	24.472	75	49
24.343	24.472	53	31
24.4679	24.9689	82	52
24.4709	24.9689	77	52
24.472	24.9689	49	35
24.5909	24.8389	53	33
24.5909	24.9679	73	49
24.7129	24.9689	58	31
24.7129	24.9689	65	31
24.8389	24.9689	53	31
24.9659	25.5	85	82
24.9679	25.3459	52	56
24.9679	25.3429	73	69
25.0979	25.5	61	53
25.0979	25.5	79	63
25.0979	25.5	84	75
25.2139	25.5	67	50
25.3429	25.5	73	61
25.3439	25.5	82	72
25.3459	25.5	52	51
25.4749	25.974	81	78
25.4759	25.974	77	64
25.4789	25.8439	53	56
25.5959	25.974	72	57
25.5979	25.974	84	68
25.5989	25.974	60	52
25.714	25.974	69	58
25.8439	25.974	53	51
25.9699	26.3469	66	46
25.9729	26.5009	78	55
25.974	26.3509	45	33
26.1029	26.5009	72	42
26.1029	26.5009	77	50
26.1039	26.5009	54	30
26.2179	26.5009	63	29
26.3469	26.5009	66	40
26.3479	26.5009	75	49
26.3509	26.5009	45	29
26.4809	26.8479	46	33
26.4809	26.9779	70	44
26.4809	26.9739	73	52
26.5989	26.9779	65	40
26.5999	26.9779	77	49
26.6029	26.9779	53	30
26.7189	26.9779	61	29
26.8479	26.9779	46	29
26.9739	27.3519	73	69
26.9769	27.3549	52	56
26.9769	27.5089	85	82
27.1059	27.5089	84	75
27.1069	27.5089	61	53
27.1069	27.5089	79	63
27.2219	27.5089	67	50
27.3519	27.5089	73	61
27.3529	27.5089	82	72
27.3549	27.5089	52	51
27.4839	27.9819	77	64
27.4849	27.8519	53	56
27.4849	27.9819	81	78
27.6039	27.9819	72	57
27.6039	27.9819	84	68
27.6049	27.9819	60	52
27.7229	27.9819	69	58
27.8519	27.9819	53	51
27.9779	28.3569	66	46
27.9789	28.5169	78	55
27.9819	28.3599	45	33
28.1109	28.5169	77	50
28.1119	28.5169	54	30
28.1119	28.5169	72	42
28.2269	28.5169	63	29
28.3569	28.5169	66	40
28.3579	28.5169	75	49
28.3599	28.5169	45	29
28.4859	29.0229	74	52
28.4889	28.8739	46	33
28.4889	29.0229	70	44
28.6149	29.0219	77	49
28.6159	29.0229	65	40
28.6159	29.0229	73	40
28.6189	29.0229	53	30
28.7309	29.0229	61	29
28.8739	29.0229	46	29
29.0179	29.5739	82	75
29.0219	29.5459	43	56
29.0219	29.5739	77	75
29.0219	29.5739	89	89
29.1549	29.5739	88	83
29.1559	29.5429	76	70
29.1579	29.5739	48	53
29.2769	29.5739	49	50
29.4139	29.5739	73	62
29.4139	29.5739	85	72
29.4149	29.5739	58	49
29.5429	30.0539	76	68
29.5439	30.0539	72	68
29.5439	30.0539	84	80
29.5459	30.0539	43	52
29.6789	30.0509	82	75
29.6799	30.0539	48	49
29.6799	30.0509	70	62
29.7959	30.0539	49	49
29.9239	30.0539	58	49
30.0509	30.5819	70	68
30.0509	30.5819	82	80
30.0539	30.5819	43	47
30.1829	30.5819	76	61
30.1829	30.5819	80	73
30.1839	30.5819	48	45
30.3059	30.5819	49	42
30.4289	30.5819	67	57
30.4309	30.5819	79	68
30.4319	30.5819	58	44
30.5589	31.0599	75	59
30.5609	31.0599	45	49
30.5609	31.0599	78	69
30.6809	31.0599	66	55
30.6819	31.0599	72	64
30.6839	31.0599	50	44
30.7989	31.0599	51	46
30.9259	31.0599	60	44
31.0579	31.5869	68	57
31.0589	31.5869	47	47
31.0589	31.5869	80	68
31.1879	31.5869	74	52
31.1889	31.5869	52	45
31.1889	31.5869	79	62
31.3039	31.5869	53	42
31.4339	31.5869	65	51
31.4359	31.5869	77	61
31.4369	31.5869	62	44
31.5629	32.06	72	53
31.5659	32.064	48	49
31.5659	32.0629	75	63
31.6849	31.9339	63	44
31.6859	32.064	67	52
31.6879	32.064	54	39
31.804	32.064	55	40
31.9339	32.064	63	39
32.06	32.5539	72	57
32.0629	32.5529	75	67
32.064	32.5849	46	52
32.1779	32.5849	66	59
32.1789	32.5849	53	45
32.1789	32.4229	63	49
32.2979	32.5849	54	41
32.4229	32.5849	63	42
32.5529	33.0859	75	62
32.5539	33.0859	72	53
32.5569	33.0859	45	52
32.6829	32.942	63	46
32.6849	33.0859	65	56
32.6859	33.0859	52	41
32.8009	33.0859	53	42
32.942	33.0859	63	41
33.0819	33.5859	73	68
33.0849	33.5859	46	51
33.2109	33.5859	61	40
33.2109	33.5859	65	40
33.2149	33.5859	53	44
33.2149	33.5859	70	59
33.341	33.5859	58	47
33.4699	33.5989	72	67
33.4729	33.5999	41	48
33.5999	34.1099	73	68
33.6009	34.1099	46	51
33.7289	34.1239	61	40
33.7299	34.1239	53	43
33.7299	34.1239	65	40
33.7299	34.1239	70	60
