OnsetTime	OffsetTime	MidiPitch	Velocity
0.500004	0.563144	64	34
0.500004	0.563144	67	40
0.500004	0.563144	71	34
0.500004	0.563144	76	40
0.752575	0.815714	64	29
0.752575	0.815714	67	35
0.752575	0.815714	71	31
0.752575	0.815714	76	37
1.00515	1.0715	60	25
1.00515	1.0715	67	30
1.00515	1.0715	72	31
1.00515	1.0715	76	37
1.27056	1.33484	64	29
1.27056	1.33484	67	35
1.27056	1.33484	71	34
1.27056	1.33484	76	40
1.52767	1.59195	64	26
1.52767	1.59195	67	31
1.52767	1.59195	71	30
1.52767	1.59195	76	36
1.78477	2.03513	67	40
1.90995	2.04014	69	35
2.03513	2.2761	64	29
2.03513	2.2761	67	35
2.03513	2.2761	71	40
2.15561	2.52911	72	36
2.2761	2.51707	64	27
2.2761	2.52911	67	32
2.2761	2.52911	71	40
2.39658	2.52911	78	45
2.51707	2.57731	64	28
2.51707	2.57731	69	33
2.51707	2.76254	76	43
2.63755	2.76254	74	40
2.75839	3.40511	64	29
2.75839	3.40511	67	35
2.75839	3.40511	71	39
2.88256	3.40511	76	41
3.0051	3.40511	79	43
3.12628	3.40511	82	45
3.24588	3.40511	83	48
3.507	3.57014	71	40
3.507	3.57014	74	34
3.507	3.57014	78	34
3.507	3.57014	83	40
3.75957	3.82271	71	35
3.75957	3.82271	74	31
3.75957	3.82271	78	31
3.75957	3.82271	83	37
4.01214	4.0785	67	30
4.01214	4.0785	74	31
4.01214	4.0785	79	31
4.01214	4.0785	83	37
4.27756	4.34184	71	35
4.27756	4.34184	74	34
4.27756	4.34184	78	34
4.27756	4.34184	83	40
4.53467	4.59895	71	31
4.53467	4.59895	74	30
4.53467	4.59895	78	30
4.53467	4.59895	83	36
4.79177	5.04718	71	40
4.91695	5.04718	73	35
5.04213	5.54174	66	35
5.04213	5.28505	74	40
5.16359	5.40653	78	36
5.28505	5.55389	62	32
5.28505	5.55389	71	40
5.28505	5.55389	74	40
5.40653	5.55389	64	39
5.40653	5.55389	78	45
5.54174	5.60248	66	56
5.54174	5.78916	70	53
5.54174	5.78916	73	63
5.66322	5.78916	78	60
5.78506	6.54591	66	66
5.78506	6.02846	71	52
5.78506	6.02846	75	62
5.90746	6.14812	78	57
6.02846	6.26648	71	53
6.02846	6.26648	75	63
6.14812	6.38396	78	59
6.26648	6.54591	59	60
6.26648	6.54591	71	54
6.26648	6.54591	75	64
6.38396	6.54591	78	57
6.54591	6.60905	64	34
6.54591	6.60905	67	40
6.54591	6.60905	71	34
6.54591	6.60905	76	40
6.79848	6.86162	64	29
6.79848	6.86162	67	35
6.79848	6.86162	71	31
6.79848	6.86162	76	37
7.05105	7.11741	60	25
7.05105	7.11741	67	30
7.05105	7.11741	72	31
7.05105	7.11741	76	37
7.31647	7.38075	64	29
7.31647	7.38075	67	35
7.31647	7.38075	71	34
7.31647	7.38075	76	40
7.57357	7.63879	64	26
7.57357	7.63879	67	31
7.57357	7.63879	71	30
7.57357	7.63879	76	36
7.83444	8.0848	67	40
7.95962	8.0898	69	35
8.0848	8.3248	64	29
8.0848	8.3248	67	35
8.0848	8.3248	71	40
8.2048	8.57681	72	36
8.3248	8.56481	64	27
8.3248	8.57681	67	32
8.3248	8.57681	71	40
8.44481	8.57681	78	45
8.56481	8.62481	64	28
8.56481	8.62481	69	33
8.56481	8.80936	76	43
8.68481	8.80936	74	40
8.8052	9.45174	64	29
8.8052	9.45174	67	35
8.8052	9.45174	71	39
8.92937	9.45174	76	41
9.05191	9.45174	79	43
9.17309	9.45174	82	45
9.29269	9.45174	83	48
9.55315	9.61629	71	40
9.55315	9.61629	74	34
