OnsetTime	OffsetTime	MidiPitch	Velocity
0.500648	0.578365	39	45
0.655438	0.733155	46	41
0.810873	0.88859	39	41
0.966307	1.04402	34	41
1.12174	1.19847	39	45
1.27519	1.35191	46	41
1.42864	1.50536	39	41
1.58209	1.66021	34	41
1.58209	1.66021	63	45
1.66021	1.7381	65	45
1.7381	1.81562	39	45
1.7381	1.81562	66	49
1.7381	1.81562	70	49
1.81562	1.89313	65	45
1.89313	1.97065	46	42
1.89313	1.97065	63	45
1.97065	2.04816	65	45
2.04816	2.12431	39	42
2.04816	2.12431	66	47
2.04816	2.12431	70	47
2.12431	2.20046	65	45
2.20046	2.27879	34	42
2.20046	2.27879	63	45
2.27879	2.35713	65	45
2.35713	2.43464	39	45
2.35713	2.43464	66	49
2.35713	2.43464	70	49
2.51216	2.58967	46	42
2.51216	2.58967	63	45
2.51216	2.58967	66	45
2.66719	2.74656	39	42
2.66719	2.74656	63	46
2.66719	2.74656	66	46
2.82592	2.90404	34	42
2.82592	2.90404	66	45
2.82592	2.90404	70	45
2.98216	3.05948	39	45
2.98216	3.05948	65	50
2.98216	3.05948	69	50
3.13679	3.21411	46	42
3.13679	3.21411	60	45
3.13679	3.21411	65	45
3.29142	3.37057	39	42
3.29142	3.37057	60	46
3.29142	3.37057	65	46
3.44973	3.52764	34	42
3.44973	3.52764	65	45
3.44973	3.52764	69	45
3.60556	3.6821	39	45
3.60556	4.06478	65	54
3.60556	4.06478	69	54
3.75864	3.83517	46	41
3.91171	3.98825	39	41
4.06478	4.14352	34	41
4.06478	4.14352	68	46
4.14352	4.2218	70	49
4.2218	4.29932	39	49
4.2218	4.29932	71	54
4.2218	4.29932	75	54
4.29932	4.37683	70	51
4.37683	4.45435	46	45
4.37683	4.45435	68	51
4.45435	4.53186	70	51
4.53186	4.6082	39	45
4.53186	4.6082	71	54
4.53186	4.6082	75	54
4.6082	4.68453	70	50
4.68453	4.76307	34	45
4.68453	4.76307	68	50
4.76307	4.84161	70	50
4.84161	4.91932	39	49
4.84161	4.91932	71	54
4.84161	4.91932	75	54
4.99704	5.07476	46	45
4.99704	5.07476	68	50
4.99704	5.07476	71	50
5.15247	5.23226	39	45
5.15247	5.23226	68	50
5.15247	5.23226	71	50
5.31204	5.39037	34	45
5.31204	5.39037	71	50
5.31204	5.39037	75	50
5.46871	5.54622	39	49
5.46871	5.54622	70	54
5.46871	5.54622	74	54
5.62374	5.70125	46	45
5.62374	5.70125	65	50
5.62374	5.70125	70	50
5.77877	5.85814	39	45
5.77877	5.85814	65	50
5.77877	5.85814	70	50
5.9375	6.01562	34	45
5.9375	6.01562	70	50
5.9375	6.01562	74	50
6.09374	6.16969	39	49
6.09374	6.32158	70	58
6.09374	6.32158	74	58
6.24564	6.32158	46	45
6.39753	6.47484	39	45
6.55216	6.63131	78	74
6.63131	6.71046	80	74
6.71046	7.17493	66	67
6.71046	7.17493	73	67
6.71046	6.787	82	86
6.71046	6.787	85	86
6.787	6.86354	80	73
6.86354	6.94007	78	73
6.94007	7.01661	80	73
7.01661	7.16173	82	79
7.01661	7.16173	85	79
7.17493	7.25388	73	73
7.25388	7.33283	75	73
7.33283	7.79762	61	67
7.33283	7.79762	68	67
7.33283	7.40955	77	85
7.33283	7.40955	80	85
7.40955	7.48628	75	73
7.48628	7.563	73	71
7.563	7.63973	75	71
7.63973	7.78446	77	80
7.63973	7.78446	80	80
7.79762	7.87615	71	73
7.87615	7.95469	73	73
7.95469	8.41947	59	67
7.95469	8.41947	66	67
7.95469	8.03141	75	86
7.95469	8.03141	78	86
8.03141	8.10814	73	71
8.10814	8.18486	71	71
8.18486	8.26158	73	71
8.26158	8.40632	75	80
8.26158	8.40632	78	80
8.41947	8.49801	66	74
8.49801	8.57654	68	74
8.57654	9.0369	54	67
8.57654	9.0369	61	67
8.57654	8.65327	70	89
8.57654	8.65327	73	89
8.65327	8.72999	68	71
8.72999	8.80672	66	71
8.80672	8.88344	68	71
