OnsetTime	OffsetTime	MidiPitch	Velocity
0.500004	1.78433	45	36
0.928581	1.35111	52	24
0.928581	1.35111	60	28
1.35111	2.2129	52	24
1.35111	2.2129	60	29
1.78433	3.05741	45	36
2.2129	2.63219	52	24
2.2129	2.63219	60	28
2.63219	3.05741	52	24
2.63219	3.05741	60	29
3.05741	3.63208	45	36
3.05741	3.63208	64	50
3.49032	3.9027	52	24
3.49032	3.9027	60	29
3.49032	3.63208	66	49
3.6965	3.74805	68	49
3.9027	4.32346	52	24
3.9027	4.32346	60	29
3.9027	4.11308	69	53
4.32346	4.86039	45	36
4.32346	4.86039	69	56
4.7502	5.15396	52	24
4.7502	5.15396	62	28
4.7502	4.86039	71	58
4.95209	5.00255	68	50
5.15396	5.58407	52	24
5.15396	5.58407	62	29
5.15396	5.26149	66	48
5.5303	5.58407	69	39
5.58407	6.02202	45	36
5.58407	5.80304	66	50
6.02202	6.44307	52	21
6.02202	6.44307	60	26
6.02202	8.14848	64	47
6.44307	7.30176	52	21
6.44307	7.30176	60	26
6.87318	8.14848	45	36
7.30176	7.71526	52	21
7.30176	7.71526	60	25
7.71526	8.14848	52	21
7.71526	8.14848	60	26
8.14848	8.66954	45	36
8.35738	8.66954	64	43
8.56643	8.97882	52	24
8.56643	8.97882	60	29
8.56643	8.66954	66	46
8.77263	8.82418	68	49
8.97882	9.40586	52	24
8.97882	9.40586	60	29
8.97882	9.19234	68	54
9.19234	9.40586	69	51
9.40586	9.91395	45	36
9.60842	9.91395	69	51
9.81531	10.2173	52	24
9.81531	10.2173	62	28
9.81531	9.91395	71	56
10.0167	10.0668	68	50
10.2173	10.6474	52	24
10.2173	10.6474	62	29
10.2173	10.4323	68	48
10.4323	10.5398	66	50
10.5936	10.6474	69	39
10.6474	11.0853	45	36
10.6474	10.8663	66	50
11.0853	11.5032	52	21
11.0853	11.5032	60	26
11.0853	13.151	64	47
11.5032	12.3618	52	21
11.5032	12.3618	60	26
11.9333	13.151	45	36
12.3618	12.7739	52	21
12.3618	12.7739	60	25
12.7739	13.1999	52	21
12.7739	13.1999	60	26
13.1999	13.5225	60	28
13.1999	13.5225	64	33
13.1999	13.5225	67	37
13.1999	13.5225	76	44
13.63	13.948	60	30
13.63	13.948	65	36
13.63	13.948	68	40
13.63	13.948	76	48
14.054	14.3698	60	33
14.054	14.3698	66	39
14.054	14.3698	69	44
14.054	14.3698	76	52
14.4751	15.7531	55	38
14.4751	15.7531	62	38
14.4751	15.7531	67	45
14.4751	15.7531	71	45
14.4751	14.9016	76	54
14.6135	14.8903	74	44
14.7519	14.9016	72	44
14.8903	15.7531	74	48
15.7531	16.0754	57	28
15.7531	16.0754	60	33
15.7531	16.0754	64	37
15.7531	16.0754	72	44
16.1816	16.5005	57	30
16.1816	16.5005	62	36
16.1816	16.5005	65	40
16.1816	16.5005	72	48
16.6057	16.9223	57	33
16.6057	16.9223	63	39
16.6057	16.9223	66	44
16.6057	16.9223	72	52
17.0267	18.3064	52	38
17.0267	18.3064	59	38
17.0267	18.3064	64	45
17.0267	18.3064	67	45
17.0267	17.4532	72	54
17.1651	17.4419	71	44
17.3035	17.4532	69	44
17.4419	18.3064	71	48
18.3064	19.5493	53	38
18.3064	19.5493	60	45
18.3064	19.5493	65	45
18.3064	18.7272	71	54
18.4429	18.7159	69	44
18.5794	18.7272	67	44
18.7159	19.5493	69	48
