OnsetTime	OffsetTime	MidiPitch	Velocity
0.500004	3.70955	59	42
0.500004	3.70955	62	60
0.500004	1.05046	71	60
1.05046	1.84041	57	47
1.05046	1.84041	69	64
1.84041	2.09465	55	36
1.84041	2.09465	67	51
2.09465	2.66608	54	43
2.09465	2.66608	66	49
2.66608	3.70955	54	42
2.66608	3.70955	66	53
3.70955	6.91045	59	42
3.70955	6.91045	62	60
3.70955	4.04662	71	60
4.04662	4.15941	69	52
4.15941	4.2722	71	52
4.2722	5.05111	57	47
4.2722	5.05111	69	62
5.05111	5.29904	55	36
5.05111	5.29904	67	51
5.29904	5.87596	54	43
5.29904	5.87596	66	55
5.87596	6.91045	54	42
5.87596	6.91045	66	53
6.91045	7.47594	47	40
6.91045	7.47594	62	49
7.17593	7.47594	49	44
7.17593	7.47594	64	52
7.47594	9.11631	50	47
7.47594	9.11631	59	55
7.47594	9.07935	66	55
8.52889	10.7134	42	61
9.07935	9.86197	52	43
9.07935	9.86197	58	53
9.07935	9.86197	66	53
9.86197	10.1347	54	41
9.86197	10.1347	61	51
9.86197	10.1347	70	51
10.1347	10.6931	55	43
10.1347	10.6931	64	54
10.1347	10.6931	73	54
10.4074	10.7134	66	56
10.4074	10.7134	74	56
10.6931	13.2707	47	42
10.6931	11.2742	55	42
10.6931	11.2742	64	52
10.6931	11.2742	73	52
11.2337	13.2707	54	39
11.2337	13.2707	62	45
11.2337	13.2707	71	45
11.8101	13.2707	42	36
12.4842	13.2707	35	33
13.8325	17.0089	62	42
13.8325	17.0089	66	60
13.8325	14.3498	74	60
14.3498	15.1397	61	53
14.3498	15.1397	73	71
15.1397	15.394	59	36
15.1397	15.394	71	55
15.394	15.9654	57	43
15.394	15.9654	69	57
15.9654	17.0089	57	42
15.9654	17.0089	69	59
17.0089	20.2098	62	42
17.0089	20.2098	66	60
17.0089	17.346	74	60
17.346	17.4587	73	59
17.4587	17.5715	74	62
17.5715	18.3504	61	47
17.5715	18.3504	73	67
18.3504	18.5984	59	36
18.3504	18.5984	71	56
18.5984	19.1753	57	43
18.5984	19.1753	69	61
19.1753	20.2098	57	42
19.1753	20.2098	69	58
20.2098	20.7753	50	40
20.2098	20.7753	66	49
20.4753	20.7753	52	44
20.4753	20.7753	67	55
20.7753	22.4156	54	47
20.7753	22.4156	62	60
20.7753	22.3787	69	60
21.8282	24.0127	45	61
22.3787	23.1613	55	51
22.3787	23.1613	61	59
22.3787	23.1613	69	59
23.1613	23.434	57	41
23.1613	23.434	64	54
23.1613	23.434	73	54
23.434	23.9925	59	43
23.434	23.9925	67	57
23.434	23.9925	76	57
23.7067	24.0127	69	60
23.7067	24.0127	78	60
23.9925	26.7651	50	42
23.9925	24.5735	59	42
23.9925	24.5735	67	56
23.9925	24.5735	76	56
24.533	26.7651	57	39
24.533	26.7651	66	48
24.533	26.7651	74	48
25.1094	26.7651	45	35
25.7836	26.7651	38	31
27.0467	27.5777	66	49
27.0467	27.5777	78	63
27.5777	28.3741	64	49
27.5777	29.1744	67	40
27.5777	29.1744	70	46
27.5777	28.3741	76	66
28.3741	28.6328	62	45
28.3741	28.6328	74	58
28.6328	29.1744	61	49
28.6328	29.1744	73	63
29.1744	30.234	62	57
29.1744	30.8029	65	40
29.1744	30.8029	68	45
29.1744	30.234	74	67
29.9709	30.8029	59	46
29.9709	30.8029	71	58
30.234	30.8029	62	49
30.234	30.8029	74	60
30.7913	33.7581	61	44
30.7913	33.7581	66	56
30.7913	33.7581	70	56
30.7913	33.7581	73	58
31.9024	33.7581	49	42
32.5209	33.7581	42	42
33.7581	34.289	66	49
33.7581	34.289	78	63
34.289	35.0855	65	49
34.289	35.8857	67	40
34.289	35.8857	70	45
34.289	35.0855	77	67
35.0855	35.3441	64	45
35.0855	35.3441	76	58
35.3441	35.6027	62	49
35.3441	35.6027	74	63
35.6027	35.8857	61	49
35.6027	35.8857	73	63
35.8857	37.5142	64	57
35.8857	37.5142	65	40
35.8857	37.5142	68	40
35.8857	37.5142	76	67
36.6822	37.2085	62	46
36.6822	37.2085	74	58
36.9453	37.5142	59	49
36.9453	37.5142	71	60
37.2085	37.5142	62	49
37.2085	37.5142	74	60
37.5026	40.3644	61	44
37.5026	40.3644	66	56
37.5026	40.3644	70	56
37.5026	40.3644	73	56
38.6137	40.3644	49	42
39.2323	40.3644	42	42
40.3644	43.8146	61	44
40.3644	40.9199	66	45
40.3644	40.9199	71	45
40.3644	40.6421	75	53
40.6421	40.9199	77	53
40.9199	43.8146	54	44
40.9199	43.8146	66	47
40.9199	43.8146	70	47
40.9199	43.8146	73	56
42.031	43.8146	49	42
42.6496	43.8146	42	42
43.8146	45.4083	61	44
43.8146	44.3601	66	45
43.8146	44.3601	71	45
43.8146	44.0874	75	53
44.0874	44.3601	77	53
44.3601	45.4361	54	44
44.3601	45.4083	66	47
44.3601	45.4361	70	47
44.3601	45.4361	73	56
44.8911	45.4361	78	56
45.4083	47.0166	61	44
45.4083	45.9639	66	45
45.4083	45.9639	71	45
45.4083	45.6861	75	53
45.6861	45.9639	77	53
45.9639	47.0444	54	44
45.9639	47.0166	66	47
45.9639	47.0444	70	47
45.9639	47.0444	73	56
46.4948	47.0444	78	56
47.0166	49.7864	61	44
47.0166	47.5721	66	45
47.0166	47.5721	71	45
47.0166	47.2944	75	53
47.2944	47.5721	77	53
47.5721	48.6686	54	46
47.5721	48.6686	66	49
47.5721	48.6686	70	49
47.5721	48.6686	73	58
48.1079	49.1996	78	60
48.6686	49.7603	47	56
48.6686	49.7864	54	56
48.6686	49.7864	66	60
48.6686	49.7864	70	60
48.6686	49.7864	73	71
49.1996	49.7603	78	73
49.7603	53.4963	40	59
49.7603	53.4963	47	59
49.7603	53.4963	71	64
49.7603	50.8376	75	64
49.7603	50.2821	78	81
50.2821	53.4963	83	82
50.8376	53.4963	69	62
50.8376	53.4963	73	71
50.8376	53.4963	75	55
50.8376	53.4963	81	86
51.6341	53.4963	67	56
51.6341	53.4963	79	72
51.8927	52.4343	66	65
51.8927	52.4343	78	77
52.4343	53.4963	66	66
52.4343	53.4963	78	79
53.4963	55.6485	67	63
53.4963	55.6485	71	63
53.4963	54.0518	79	63
54.0518	55.6792	66	51
54.0518	54.9345	78	70
54.8483	55.6792	64	32
54.8483	55.0207	76	48
54.9345	55.6792	78	48
55.0207	55.6792	76	48
55.1069	55.6485	62	40
55.1069	55.6485	74	59
55.6485	56.873	55	34
55.6485	56.8679	62	40
55.6485	56.873	67	42
55.6485	56.873	71	42
55.6485	56.873	74	50
56.873	57.4385	47	39
56.873	57.4385	62	44
57.1385	57.4385	49	42
57.1385	57.4385	64	47
57.4385	59.0789	50	45
57.4385	59.0789	59	51
57.4385	59.0419	66	51
58.4915	60.676	42	54
59.0419	59.8245	52	45
59.0419	59.8245	58	53
59.0419	59.8245	66	53
59.8245	60.0973	54	36
59.8245	60.0973	61	48
59.8245	60.0973	70	48
60.0973	60.6557	55	38
60.0973	60.6557	64	51
60.0973	60.6557	73	51
60.37	60.676	66	54
60.37	60.676	74	54
60.6557	63.3887	47	37
60.6557	61.2368	55	37
60.6557	61.2368	64	50
60.6557	61.2368	73	50
61.1962	63.3887	54	35
61.1962	63.3887	62	43
61.1962	63.3887	71	43
61.7726	63.3887	42	31
62.4468	63.3887	35	28
63.6589	64.1899	66	49
63.6589	64.1899	78	63
64.1899	64.9863	64	49
64.1899	65.7866	67	40
64.1899	65.7866	70	46
64.1899	64.9863	76	66
64.9863	65.245	62	45
64.9863	65.245	74	58
65.245	65.7866	61	49
65.245	65.7866	73	63
65.7866	66.8462	62	57
65.7866	67.4035	65	40
65.7866	67.4035	68	45
65.7866	66.8462	74	67
66.5831	67.4035	59	46
66.5831	67.4035	71	58
66.8462	67.4035	62	49
66.8462	67.4035	74	60
67.4035	70.3146	61	44
67.4035	70.3146	66	56
67.4035	70.3146	70	56
67.4035	70.3146	73	58
68.5146	70.3146	49	42
69.1146	70.3146	42	42
70.3146	70.8456	66	49
70.3146	70.8456	78	63
70.8456	71.642	65	49
70.8456	72.4423	67	40
70.8456	72.4423	70	45
70.8456	71.642	77	67
71.642	71.9006	64	45
71.642	71.9006	76	58
71.9006	72.1592	62	49
71.9006	72.1592	74	63
72.1592	72.4423	61	49
72.1592	72.4423	73	63
72.4423	74.0591	64	57
72.4423	74.0591	65	40
72.4423	74.0591	68	40
72.4423	74.0591	76	67
73.2387	73.765	62	46
73.2387	73.765	74	58
73.5019	74.0591	59	49
73.5019	74.0591	71	60
73.765	74.0591	62	49
73.765	74.0591	74	60
74.0591	76.9653	61	44
74.0591	76.9653	66	56
74.0591	76.9653	70	56
74.0591	76.9653	73	56
75.1702	76.9653	49	42
75.7888	76.9653	42	42
76.9653	80.3934	61	44
76.9653	77.5208	66	45
76.9653	77.5208	71	45
76.9653	77.2431	75	53
77.2431	77.5208	77	53
77.5208	80.3934	54	44
77.5208	80.3934	66	47
77.5208	80.3934	70	47
77.5208	80.3934	73	56
78.6319	80.3934	49	42
79.2505	80.3934	42	42
80.3934	81.9826	61	44
80.3934	80.9388	66	45
80.3934	80.9388	71	45
80.3934	80.6661	75	53
80.6661	80.9388	77	53
80.9388	82.0097	54	44
80.9388	81.9826	66	47
80.9388	82.0097	70	47
80.9388	82.0097	73	56
81.4698	82.0097	78	56
81.9826	83.567	61	44
81.9826	82.5232	66	45
81.9826	82.5232	71	45
81.9826	82.2529	75	53
82.2529	82.5232	77	53
82.5232	83.5943	54	44
82.5232	83.567	66	47
82.5232	83.5943	70	47
82.5232	83.5943	73	56
83.0542	83.5943	78	56
83.567	86.3267	61	44
83.567	84.1124	66	45
83.567	84.1124	71	45
83.567	83.8397	75	53
83.8397	84.1124	77	53
84.1124	85.2089	54	46
84.1124	85.2089	66	49
84.1124	85.2089	70	49
84.1124	85.2089	73	58
84.6482	85.7399	78	60
85.2089	86.3006	47	56
85.2089	86.3267	54	56
85.2089	86.3267	66	60
85.2089	86.3267	70	60
85.2089	86.3267	73	71
85.7399	86.3006	78	73
86.3006	90.0366	40	59
86.3006	90.0366	47	59
86.3006	90.0366	71	64
86.3006	87.3779	75	64
86.3006	86.8223	78	80
86.8223	90.0366	83	82
87.3779	90.0366	73	45
87.3779	90.0366	75	55
87.3779	90.0366	81	86
87.3934	90.0366	69	62
88.1744	90.0366	67	56
88.1744	90.0366	79	72
88.433	88.9746	66	65
88.433	88.9746	78	77
88.9746	90.0366	66	66
88.9746	90.0366	78	79
90.0366	92.1888	67	63
90.0366	92.1888	71	63
90.0366	90.5921	79	63
90.5921	92.2195	66	51
90.5921	91.4748	78	70
91.3886	92.2195	64	27
91.3886	91.561	76	41
91.4748	92.2195	78	41
91.561	92.2195	76	40
91.6472	92.1888	62	33
91.6472	92.1888	74	48
92.1888	93.4133	55	25
92.1888	93.4082	62	29
92.1888	93.4133	67	31
92.1888	93.4133	71	31
92.1888	93.4133	74	37
93.4133	93.9788	47	35
93.4133	93.9788	62	39
93.6788	93.9788	49	37
93.6788	93.9788	64	42
93.9788	95.698	50	40
93.9788	95.698	59	45
93.9788	95.6583	66	45
95.0701	97.4778	42	48
95.6583	96.4995	52	40
95.6583	96.4995	58	47
95.6583	96.4995	66	47
96.4995	96.8087	54	32
96.4995	96.8087	61	43
96.4995	96.8087	70	43
96.8087	97.4551	55	34
96.8087	97.4551	64	45
96.8087	97.4551	73	45
97.118	97.4778	66	48
97.118	97.4778	74	48
97.4551	100.846	47	37
97.4551	98.1066	55	37
97.4551	98.1066	64	50
97.4551	98.1066	73	50
98.0611	100.846	54	34
98.0611	100.846	62	43
98.0611	100.846	71	43
98.7171	100.846	42	30
99.5504	100.846	35	27
