OnsetTime	OffsetTime	MidiPitch	Velocity
2.825	2.90778	63	79
2.92435	5.98726	63	83
6.00382	6.08661	60	63
6.00382	6.08661	63	64
6.00382	6.08661	66	63
6.00382	6.08661	68	74
6.10317	9.16608	60	66
6.10317	9.16608	63	66
6.10317	9.16608	66	66
6.10317	9.16608	68	79
9.18264	9.26543	59	63
9.18264	9.26543	63	63
9.18264	9.26543	66	63
9.18264	9.26543	69	74
9.28199	10.0799	59	65
9.28199	10.0799	63	65
9.28199	10.0799	66	65
9.28199	10.0799	69	78
10.1331	10.9664	59	67
10.1331	10.9664	63	69
10.1331	10.9664	66	67
10.1331	10.9664	69	80
11.022	11.8807	53	60
11.022	11.8807	62	60
11.022	11.8807	65	71
11.022	11.8807	69	83
11.938	12.5884	53	60
11.938	12.5884	60	72
11.938	12.5884	63	71
11.938	12.5884	69	83
12.6136	18.3065	46	73
12.6905	18.3065	53	65
12.77	18.3065	58	65
12.8518	15.6794	62	70
12.9367	15.6794	65	70
13.0243	15.5506	70	80
15.5506	15.8077	70	41
15.5506	15.8077	74	46
15.6794	18.3065	62	41
15.6794	15.9346	65	41
15.8077	15.9346	70	41
15.8077	16.0605	74	41
15.8077	16.0605	77	46
15.9346	18.3065	65	41
15.9346	16.1855	70	41
16.0605	16.1855	74	41
16.0605	16.3073	77	41
16.0605	16.3073	82	46
16.1855	18.3065	70	41
16.1855	16.4112	74	41
16.3073	16.4112	77	41
16.3073	16.5102	82	41
16.3073	16.5102	86	46
16.4112	18.3065	74	41
16.4112	16.6046	77	41
16.5102	16.6046	82	41
16.5102	16.6903	86	41
16.5102	16.6903	89	46
16.6046	18.3065	77	41
16.6046	16.7679	82	41
16.6903	16.7679	86	42
16.6903	16.841	89	42
16.6903	16.841	94	48
16.7679	18.3065	82	44
16.7679	16.9103	86	44
16.841	16.9103	89	46
16.841	16.983	94	46
16.841	16.983	98	51
16.9103	18.3065	86	48
16.9103	18.3065	89	54
16.983	18.7477	94	49
16.983	18.7477	98	55
16.983	18.7477	101	49
18.7477	19.0703	88	41
18.7477	19.0703	94	41
18.7477	19.0703	97	46
19.0703	19.3442	91	37
19.0703	19.3442	99	42
19.3442	19.5551	89	39
19.3442	19.5551	98	43
19.5852	19.8178	85	41
19.5852	19.8178	89	41
19.5852	19.8178	93	46
19.8178	19.9917	87	37
19.8178	19.9917	96	42
19.9917	20.1375	86	37
19.9917	20.1375	94	42
20.1583	20.3196	82	41
20.1583	20.3196	85	41
20.1583	20.3196	88	46
20.3196	20.4557	86	39
20.3196	20.4557	91	43
20.4557	20.5686	82	39
20.4557	20.5686	89	43
20.5847	20.7172	76	41
20.5847	20.7172	82	41
20.5847	20.7172	85	46
20.7172	20.8422	79	37
20.7172	20.8422	87	42
20.8422	20.9451	77	39
20.8422	20.9451	86	43
20.9598	21.0679	73	41
20.9598	21.0679	77	41
20.9598	21.0679	81	46
21.0679	21.1695	75	37
21.0679	21.1695	84	42
21.1695	21.2583	74	39
21.1695	21.2583	82	43
21.271	21.3752	70	42
21.271	21.3752	73	42
21.271	21.3752	76	48
21.3752	21.4708	74	41
21.3752	21.4708	79	46
21.4708	21.5546	70	41
21.4708	21.5546	77	47
21.5665	21.6651	64	44
21.5665	21.6651	70	44
21.5665	21.6651	73	50
21.6651	21.759	67	41
21.6651	21.759	75	47
21.759	21.8413	65	41
21.759	21.8413	74	46
21.8534	21.95	61	47
21.8534	21.95	65	47
21.8534	21.95	69	52
21.95	22.0418	63	43
21.95	22.0418	72	49
22.0418	22.122	62	44
22.0418	22.122	70	50
22.1335	22.2265	58	49
22.1335	22.2265	61	49
22.1335	22.2265	64	55
22.2265	22.3146	62	46
22.2265	22.3146	67	51
22.3146	22.3917	58	46
22.3146	22.3917	65	51
22.4027	22.4936	52	55
22.4027	22.4936	58	55
22.4027	22.4936	61	62
22.4936	22.5806	55	51
22.4936	22.5806	63	58
22.5806	22.6567	53	51
22.5806	22.6567	62	58
22.6675	22.925	49	58
22.6675	22.925	53	58
22.6675	22.925	57	65
22.7606	22.925	51	54
22.7606	22.925	60	60
22.8483	22.925	50	54
22.8483	22.925	58	60
22.936	23.1201	46	62
22.936	23.1857	49	62
22.936	23.1857	52	70
23.0312	23.1857	50	59
23.0312	23.1857	55	66
23.1201	23.1979	46	59
23.1201	23.1979	53	66
23.209	23.4912	40	69
23.209	23.4912	46	69
23.209	23.4912	49	77
23.3047	23.4912	43	62
23.3047	23.4912	51	70
23.4027	23.4925	41	62
23.4027	23.4925	50	70
23.5053	24.1239	34	92
24.1239	24.2049	36	74
24.2049	24.2851	34	67
24.2851	24.3641	36	74
24.3641	24.4418	34	72
24.4418	24.5184	36	80
24.5184	24.5938	34	75
24.5938	24.668	36	85
24.668	24.7412	34	79
24.7412	24.8133	36	89
24.8133	24.8847	34	85
24.8847	24.9442	36	93
24.9442	25.0083	34	89
25.0083	25.0772	33	97
25.0772	25.1486	34	85
25.1486	25.3338	46	86
25.7041	26.2623	62	60
25.7362	26.2623	70	60
25.7683	26.2623	77	60
25.8003	26.2623	80	59
25.8324	26.2623	86	64
25.8644	26.2623	89	67
25.8965	26.2623	94	72
26.6282	29.8861	58	74
29.8861	29.9531	81	46
29.9618	30.0294	82	41
30.0381	30.1053	87	43
30.1137	30.1787	84	41
30.187	30.2521	82	41
30.2604	30.3255	80	40
30.3338	30.3988	79	37
30.4072	30.4722	77	42
30.4805	30.5456	75	42
30.5539	30.6189	74	41
30.6273	30.6856	72	41
30.694	30.888	70	46
31.2112	31.4176	39	31
31.2112	31.4176	46	31
31.2112	31.4176	55	31
31.2112	31.4176	58	31
31.2112	31.4176	63	34
31.7617	31.97	39	31
31.7617	31.97	46	31
31.7617	31.97	56	32
31.7617	31.97	58	32
31.7617	31.97	65	36
32.3172	32.5357	39	31
32.3172	32.5357	46	31
32.3172	32.5357	57	31
32.3172	32.5357	58	31
32.3172	32.5357	66	35
32.8998	34.2042	39	33
32.8998	34.2042	46	33
32.8998	33.5955	58	33
32.8998	33.5955	67	37
33.552	33.8781	55	31
33.552	33.8781	63	34
34.2042	34.2556	81	46
34.2645	34.3159	82	41
34.3247	34.3762	91	41
34.3849	34.4346	89	41
34.4431	34.4928	87	41
34.5013	34.551	86	41
34.5596	34.6092	84	41
34.6178	34.6674	82	41
34.676	34.7257	80	40
34.7342	34.7839	79	37
34.7924	34.8421	77	42
34.8506	34.9003	75	42
34.9089	34.9585	74	41
34.9671	35.0236	72	41
35.0321	35.2348	70	46
35.5727	35.785	39	31
35.5727	35.785	46	31
35.5727	35.785	55	29
35.5727	35.785	58	29
35.5727	35.785	63	29
36.1387	36.3731	39	33
36.1387	36.3731	46	33
36.1387	36.3731	56	32
36.1387	36.3731	62	32
36.1387	36.3731	65	36
36.7637	37.0284	39	31
36.7637	37.0284	46	31
36.7637	37.0284	58	31
36.7637	37.0284	67	34
37.4696	39.0893	39	31
37.4696	39.0893	46	31
37.4696	39.0893	55	31
37.4696	39.0893	63	34
39.1597	39.2183	93	46
39.2222	39.2808	94	41
39.2847	39.3316	99	43
39.3355	39.3824	96	41
39.3863	39.4332	94	41
39.4371	39.4839	92	40
39.4878	39.5347	91	37
39.5386	39.5855	89	42
39.5894	39.6362	87	42
39.6402	39.687	86	41
39.6909	39.7378	84	41
39.7417	39.7886	82	41
39.7925	39.8393	80	41
39.8432	39.8901	79	41
39.894	39.9409	77	41
39.9448	39.9917	75	41
39.9956	40.0424	74	41
40.0503	40.0971	72	41
40.0971	40.2962	70	46
40.6319	40.8403	39	33
40.6319	40.8403	46	33
40.6319	40.8403	55	33
40.6319	40.8403	58	33
40.6319	40.8403	63	37
41.1875	41.4038	39	36
41.1875	41.4038	46	36
41.1875	41.4038	56	35
41.1875	41.4038	58	35
41.1875	41.4038	65	40
41.7644	42.0013	39	34
41.7644	42.0013	46	34
41.7644	42.0013	57	34
41.7644	42.0013	58	34
41.7644	42.0013	66	39
42.396	43.9387	39	36
42.396	43.9387	46	36
42.396	43.1394	58	36
42.396	43.1394	67	41
43.0937	43.5162	55	33
43.0937	43.5162	63	37
43.9387	44.012	93	46
44.017	44.0903	94	41
44.0953	44.1458	103	41
44.1509	44.2014	101	41
44.2064	44.2569	99	41
44.262	44.3125	98	41
44.3176	44.3681	96	41
44.3731	44.4236	94	41
44.4287	44.4792	92	40
44.4843	44.5348	91	37
44.5398	44.5903	89	42
44.5954	44.6459	87	42
44.6509	44.7014	86	41
44.7065	44.757	84	41
44.7621	44.8126	82	41
44.8176	44.8681	80	41
44.8732	44.9237	79	41
44.9287	44.9793	77	41
44.9843	45.0348	75	41
45.0399	45.0904	74	41
45.0954	45.1459	72	41
45.151	45.3537	70	46
45.6915	45.91	39	35
45.6915	45.91	46	35
45.6915	45.91	55	36
45.6915	45.91	58	36
45.6915	45.91	63	41
46.2741	46.506	39	36
46.2741	46.506	47	36
46.2741	46.506	56	37
46.2741	46.506	62	37
46.2741	46.506	65	42
46.8926	47.1811	39	35
46.8926	47.1811	46	35
46.8926	47.1811	56	36
46.8926	47.1811	62	36
46.8926	47.1811	67	41
47.6619	49.2591	39	33
47.6619	49.2591	46	33
47.6619	49.2591	51	33
47.6619	49.2591	55	34
47.6619	49.2591	63	39
49.3285	49.697	46	59
49.3935	49.697	45	59
49.4584	49.697	44	59
49.5233	49.697	43	59
49.5883	49.697	42	59
49.6532	49.7165	41	59
49.7181	50.1125	40	62
49.7831	50.1125	39	64
49.848	50.1125	38	66
49.913	50.1125	37	69
49.9779	50.1125	36	71
50.0428	50.1125	35	73
50.1078	50.2493	34	89
50.6738	50.8783	46	46
50.6738	50.8783	53	46
50.6738	50.8783	58	50
50.6738	50.8783	62	56
51.2193	51.4315	46	51
51.2193	51.4315	54	51
51.2193	51.4315	58	56
51.2193	51.4315	60	56
51.2193	51.4315	63	63
51.7853	52.0103	46	48
51.7853	52.0103	55	48
51.7853	52.0103	58	51
51.7853	52.0103	61	51
51.7853	52.0103	64	57
52.3853	54.152	46	50
52.3853	53.0375	58	50
52.3853	53.0375	62	51
52.3853	53.0766	65	58
53.0375	53.3989	53	49
53.0375	53.3989	58	49
53.0375	53.3989	62	55
53.7604	54.152	34	62
53.825	54.152	36	63
53.8897	54.152	38	64
53.9544	54.152	39	66
54.0191	54.152	41	67
54.0838	54.152	43	69
54.1485	54.5033	45	70
54.2131	54.5033	46	71
54.2778	54.5033	48	72
54.3425	54.5033	50	73
54.4072	54.5033	51	75
54.4719	54.5348	52	77
54.5365	54.5977	55	78
54.5995	57.7763	53	70
55.182	55.3943	41	46
55.182	55.3943	46	46
55.182	55.3943	58	49
55.182	55.3943	62	55
55.748	55.9708	41	49
55.748	55.9708	48	49
55.748	55.9708	57	52
55.748	55.9708	63	59
56.3494	56.594	41	48
56.3494	56.594	50	48
56.3494	56.594	57	50
56.3494	56.594	65	56
57.0016	58.4831	46	49
57.0016	58.4213	58	51
57.0016	58.4213	62	57
57.7423	58.1127	34	54
58.4831	58.5397	70	65
58.5412	58.5979	69	65
58.5993	58.656	68	65
58.6575	58.7142	67	65
58.7156	58.7723	66	65
58.7737	58.8304	65	65
58.8319	58.8886	64	67
58.89	58.9467	63	70
58.9482	59.0048	62	72
59.0063	59.063	61	75
59.0644	59.1211	60	78
59.1226	59.1793	59	80
59.1807	59.3057	58	97
59.6807	59.8853	46	49
59.6807	59.8853	53	49
59.6807	59.8853	58	49
59.6807	59.8853	62	52
59.6807	59.8853	70	52
59.6807	59.8853	74	59
60.2262	60.4345	46	54
60.2262	60.4345	54	54
60.2262	60.4345	60	54
60.2262	60.4345	63	57
60.2262	60.4345	70	57
60.2262	60.4345	75	64
60.7817	61.0067	46	51
60.7817	61.0067	55	51
60.7817	61.0067	61	54
60.7817	61.0067	64	54
60.7817	61.0067	70	54
60.7817	61.0067	76	60
61.3817	62.7482	46	52
61.3817	62.7482	53	52
61.3817	62.1023	62	59
61.3817	62.6886	65	51
61.3817	62.6886	70	51
61.3817	62.1023	77	62
62.0339	62.391	58	58
62.0339	62.391	74	58
62.7482	62.8163	46	55
62.8182	62.8864	48	56
62.8883	62.9565	50	57
62.9584	63.0266	51	59
63.0285	63.0966	53	60
63.0985	63.1667	55	62
63.1686	63.2368	57	62
63.2387	63.3069	58	63
63.3087	63.3769	60	64
63.3788	63.447	62	65
63.4489	63.5171	63	67
63.519	63.5871	64	69
63.589	63.6553	67	70
63.6572	65.3186	65	62
64.3801	65.086	53	39
64.3801	65.086	59	39
64.3801	65.086	68	41
64.3801	65.086	74	47
65.086	65.798	53	41
65.086	65.798	60	41
65.086	65.798	69	46
65.086	65.798	75	51
65.3186	65.5511	65	48
65.5511	65.798	67	42
65.798	66.5017	53	36
65.798	66.7734	57	36
65.798	66.0647	63	48
65.798	66.6647	65	41
65.798	66.7734	72	41
65.798	66.7734	77	46
66.0647	66.3387	60	44
66.3387	66.4474	62	43
66.4474	68.3275	46	36
66.5017	68.3275	53	36
66.556	68.3275	62	41
66.6104	68.3275	58	41
66.6647	68.3275	65	41
66.7191	68.3275	70	41
66.7734	68.3275	74	43
68.3742	68.8394	73	52
68.3742	68.8394	77	52
68.3742	68.8394	82	52
68.5733	68.8394	81	43
68.6397	68.8394	72	43
68.6397	68.8394	80	43
68.729	68.8394	71	44
68.729	68.8394	74	44
68.729	68.8394	79	44
68.8178	69.0796	70	46
68.8178	69.3469	78	46
68.9058	69.3469	69	47
68.9058	69.3346	72	47
68.9058	69.3469	77	47
68.9931	69.2503	68	48
68.9931	69.3469	76	48
69.0796	69.3346	67	49
69.0796	69.3469	70	49
69.0796	69.3469	75	49
69.1653	69.3469	66	51
69.1653	69.3469	74	51
69.2503	69.3469	65	52
69.2503	69.3469	68	52
69.2503	69.3469	73	52
69.3346	69.4576	64	54
69.3346	69.4576	67	54
69.3346	69.4576	72	54
69.8264	69.904	48	57
69.8264	70.0004	55	42
69.8264	70.0004	58	42
69.8264	70.0004	64	48
69.904	69.9812	49	59
69.9812	70.0581	48	60
70.0581	70.1344	47	63
70.1344	70.2105	46	64
70.2105	70.286	45	65
70.286	70.4816	44	67
70.286	70.4816	56	46
70.286	70.4816	61	46
70.286	70.4816	65	51
70.8077	70.877	41	58
70.8077	70.9935	59	42
70.8077	70.9935	62	42
70.8077	70.9935	68	48
70.877	70.9473	42	57
70.9473	71.019	41	56
71.019	71.0919	40	56
71.0919	71.1661	39	55
71.1661	71.2459	38	54
71.2459	71.34	37	52
71.34	71.9483	36	46
71.34	71.9483	64	42
71.34	71.9483	67	48
71.9225	72.1545	52	40
71.9225	72.1545	55	36
71.9225	72.1545	60	41
72.5411	73.0009	85	56
72.5411	73.0009	89	56
72.5411	73.0009	94	56
72.7402	73.0009	93	46
72.8066	73.0009	84	47
72.8066	73.0009	92	47
72.8925	73.0009	83	48
72.8925	73.0009	86	48
72.8925	73.0009	91	48
72.9782	73.2326	82	49
72.9782	73.4831	90	49
73.0634	73.4831	81	50
73.0634	73.4831	84	50
73.0634	73.4831	89	50
73.1481	73.4	80	51
73.1481	73.4831	88	51
73.2326	73.4831	79	52
73.2326	73.4831	82	52
73.2326	73.4831	87	52
73.3166	73.4831	78	55
73.3166	73.4831	86	55
73.4	73.4831	77	56
73.4	73.4831	80	56
73.4	73.4831	85	56
73.4831	73.606	76	57
73.4831	73.606	79	57
73.4831	73.606	84	57
73.9749	74.4344	48	57
73.9749	74.0524	60	57
73.9749	74.1489	64	42
73.9749	74.1489	67	42
73.9749	74.1489	70	42
73.9749	74.1489	76	48
74.0524	74.1296	61	59
74.1296	74.2066	60	60
74.2066	74.2829	59	63
74.2829	74.3589	58	64
74.3589	74.4344	57	65
74.4344	74.6235	44	67
74.4344	74.6235	56	67
74.4344	74.6235	65	47
74.4344	74.6235	68	47
74.4344	74.6235	73	47
