OnsetTime	OffsetTime	MidiPitch	Velocity
1.78572	1.99644	80	44
1.78572	1.99644	83	49
2.0	2.21072	78	40
2.0	2.21072	81	46
2.21429	2.60715	76	47
2.21429	2.60715	80	52
2.64286	2.84773	76	38
2.64286	2.84773	80	42
2.8512	3.05607	71	36
2.8512	3.05607	78	40
3.05954	3.45241	68	39
3.05954	3.45241	76	45
3.48812	3.69157	80	42
3.48812	3.69157	83	48
3.69501	3.89846	78	39
3.69501	3.89846	81	45
3.90191	4.29477	76	45
3.90191	4.29477	80	50
4.33048	4.53535	76	38
4.33048	4.53535	80	42
4.53882	4.74369	71	36
4.53882	4.74369	78	40
4.74716	5.14003	68	41
4.74716	5.14003	76	47
5.17574	5.37779	68	41
5.17574	5.37779	76	47
5.38121	5.58326	71	38
5.38121	5.58326	78	42
5.58668	5.96599	76	45
5.58668	5.96599	80	50
6.00047	6.19455	71	44
6.00047	6.19455	78	49
6.19784	6.39717	76	39
6.19784	6.39717	80	45
6.40055	6.7747	78	53
6.40055	6.7747	81	53
6.80871	7.0028	71	45
6.80871	7.0028	78	50
7.00608	7.20541	78	42
7.00608	7.20541	81	48
7.20879	7.57546	80	49
7.20879	7.57546	83	56
7.6088	7.80161	78	39
7.6088	7.80161	81	44
7.80488	8.01264	76	37
7.80488	8.01264	80	41
8.01616	8.39032	71	44
8.01616	8.39032	78	49
8.42433	8.61841	80	44
8.42433	8.61841	83	49
8.6217	8.81837	78	40
8.6217	8.81837	81	46
8.82171	9.19587	76	49
8.82171	9.19587	80	55
9.22988	9.42655	76	39
9.22988	9.42655	80	45
9.42989	9.62656	71	37
9.42989	9.62656	78	41
9.6299	10.0041	68	44
9.6299	10.0041	76	49
10.0381	10.2284	80	48
10.0381	10.2284	83	53
10.2316	10.4244	78	44
10.2316	10.4244	81	49
10.4277	10.7944	76	52
10.4277	10.7944	80	59
10.8277	11.0193	76	39
10.8277	11.0193	80	44
11.0225	11.2179	71	36
11.0225	11.2179	78	40
11.2212	11.5879	68	49
11.2212	11.5879	76	49
11.6212	11.8205	68	45
11.6212	11.8205	76	50
11.8239	12.0288	71	40
11.8239	12.0288	78	46
12.0322	12.409	76	44
12.0322	12.409	80	49
12.4432	12.6495	78	39
12.4432	12.6495	81	44
12.653	12.8593	76	35
12.653	12.8593	80	39
12.8628	13.2395	71	37
12.8628	13.2395	78	41
13.2738	13.486	76	36
13.2738	13.486	80	40
13.4896	13.7237	71	31
13.4896	13.7237	78	36
13.7277	14.6039	68	34
13.7277	14.6039	76	38
15.0039	15.0928	56	67
15.0039	15.0928	64	74
15.1879	15.2809	64	63
15.1879	15.2809	68	71
15.3802	15.7374	59	73
15.3802	15.7374	66	82
15.7698	15.8572	64	67
15.7698	15.8572	68	74
15.9506	16.0406	66	63
15.9506	16.0406	69	71
16.1369	16.485	68	71
16.1369	16.485	71	80
16.5167	16.6035	69	66
16.5167	16.6035	73	73
16.6974	16.7916	68	62
16.6974	16.7916	71	70
16.8922	17.2448	66	70
16.8922	17.2448	69	79
17.2768	17.3658	64	70
17.2768	17.3658	68	79
17.4609	17.5538	66	67
17.4609	17.5538	69	74
17.6532	18.0351	59	74
17.6532	18.0351	66	83
18.0699	18.1594	56	67
18.0699	18.1594	64	74
18.255	18.3474	64	64
18.255	18.3474	68	72
18.4461	18.7987	59	73
18.4461	18.7987	66	82
18.8308	18.9151	64	67
18.8308	18.9151	68	74
19.0052	19.0964	66	63
19.0052	19.0964	69	71
19.1939	19.5232	68	71
19.1939	19.5232	71	80
19.5531	19.6415	69	66
19.5531	19.6415	73	73
19.7361	19.8302	68	63
19.7361	19.8302	71	71
19.9309	20.2975	66	69
19.9309	20.2975	69	77
20.3309	20.4316	64	70
20.3309	20.4316	68	79
20.5392	20.6534	66	67
20.5392	20.6534	69	74
20.7754	21.1216	59	67
20.7754	21.1216	66	74
21.237	21.4363	80	48
21.237	21.4363	83	53
21.4397	21.6403	78	46
21.4397	21.6403	81	51
21.6438	22.0205	76	52
21.6438	22.0205	80	59
22.0547	22.2501	76	39
22.0547	22.2501	80	44
22.2534	22.4554	71	37
22.2534	22.4554	78	41
22.4589	22.8462	68	44
22.4589	22.8462	76	49
22.8814	22.9704	68	67
22.8814	22.9704	71	74
23.0655	23.1567	66	61
23.0655	23.1567	69	69
23.2541	23.6208	64	72
23.2541	23.6208	68	81
23.6541	23.7448	64	66
23.6541	23.7448	68	73
23.8416	23.9377	59	61
23.8416	23.9377	66	69
24.0403	24.3528	56	71
24.0403	24.3528	64	80
24.457	24.6563	68	45
24.457	24.6563	76	50
24.6597	24.8646	71	40
24.6597	24.8646	78	46
24.868	25.2448	76	44
24.868	25.2448	80	49
25.279	25.4853	78	39
25.279	25.4853	81	44
25.4888	25.6951	76	35
25.4888	25.6951	80	39
25.6986	26.0753	71	37
25.6986	26.0753	78	41
26.1096	26.3365	76	36
26.1096	26.3365	80	40
26.3403	26.6295	71	31
26.3403	26.6295	78	36
26.6344	27.6601	68	34
26.6344	27.6601	76	38
28.1578	28.3303	92	42
28.1578	28.3303	95	48
28.3332	28.5058	90	39
28.3332	28.5058	93	44
28.5087	29.5783	52	42
28.5087	29.3986	59	42
28.5087	28.8701	88	47
28.5087	28.8701	92	52
28.6894	29.219	64	39
28.8701	29.219	71	36
28.8701	29.219	88	38
28.8701	29.8124	92	42
29.0446	29.5783	83	35
29.0446	29.8124	90	39
29.219	29.8124	64	42
29.219	30.2844	71	42
29.219	29.5783	80	40
29.219	29.8124	88	46
29.3986	29.8124	59	40
29.5783	29.9106	52	39
29.5783	29.8124	80	41
29.5783	29.8124	83	47
29.7517	29.9222	78	37
29.7517	29.9222	81	41
29.9251	30.9884	52	36
29.9251	30.8098	59	40
29.9251	30.2844	76	45
29.9251	30.2844	80	50
30.1047	30.6312	64	39
30.2844	30.4578	71	39
30.2844	30.6312	76	38
30.2844	31.1579	80	42
30.4578	30.6312	71	35
30.4578	31.1579	78	39
30.6312	31.1579	64	41
30.6312	30.9884	68	47
30.6312	31.1579	71	41
30.6312	30.9884	76	47
30.8098	31.1579	59	39
30.9884	31.3248	52	39
30.9884	31.1579	68	41
30.9884	31.1579	76	47
31.1579	31.695	71	38
31.1579	31.337	78	42
31.34	32.5772	52	40
31.34	32.2207	59	40
31.34	31.8645	76	45
31.34	31.8645	80	50
31.5175	32.5772	64	37
31.695	32.0442	71	42
31.695	32.0442	78	48
31.8645	32.5772	76	38
31.8645	32.5772	80	42
32.0442	32.5772	63	36
32.0442	32.3972	71	40
32.0442	32.3972	78	48
32.0442	32.5667	81	53
32.2207	32.5772	59	37
32.3972	32.5772	71	45
32.3972	32.5667	78	50
32.5667	32.7434	78	41
32.5667	32.7434	81	47
32.7463	33.3292	52	35
32.7463	33.3292	59	39
32.7463	33.2678	80	49
32.7463	33.3292	83	56
32.9228	33.3292	64	37
33.0993	33.3292	78	39
33.0993	33.3292	81	44
33.2678	33.4403	76	36
33.2678	33.4403	80	40
33.4433	33.7835	63	35
33.4433	33.7835	66	39
33.4433	33.7835	71	44
33.4433	33.7835	78	49
33.6208	33.7953	59	36
33.7983	33.9708	92	42
33.7983	33.9708	95	48
33.9737	34.1462	90	39
33.9737	34.1462	93	44
34.1492	35.2188	52	38
34.1492	35.0391	59	42
34.1492	34.5106	88	47
34.1492	34.5106	92	52
34.3299	34.8595	64	39
34.5106	34.8595	71	36
34.5106	34.8595	88	38
34.5106	35.4529	92	42
34.685	35.2188	83	35
34.685	35.4529	90	39
34.8595	35.4529	64	42
34.8595	35.9227	71	42
34.8595	35.2188	80	40
34.8595	35.4529	88	46
35.0391	35.4529	59	39
35.2188	35.5511	52	39
35.2188	35.4529	80	41
35.2188	35.4529	83	47
35.3922	35.5627	78	38
35.3922	35.5627	81	42
35.5656	36.6137	52	36
35.5656	36.4372	59	40
35.5656	35.9227	76	45
35.5656	35.9227	80	50
35.7442	36.2608	64	39
35.9227	36.0913	71	39
35.9227	36.2608	76	38
35.9227	36.7822	80	42
36.0913	36.2608	71	35
36.0913	36.7822	78	39
36.2608	36.7822	64	41
36.2608	36.6137	68	41
36.2608	36.7822	71	41
36.2608	36.6137	76	47
36.4372	36.7822	59	39
36.6137	36.9385	52	39
36.6137	36.7822	68	41
36.6137	36.7822	76	47
36.7822	37.6577	71	38
36.7822	36.9499	78	42
36.9527	38.1912	52	40
36.9527	37.8291	59	40
36.9527	37.478	76	45
36.9527	37.478	80	50
37.1292	38.1912	64	37
37.3056	37.6577	78	44
37.3056	38.1912	81	49
37.478	38.0006	76	39
37.478	38.0006	80	44
37.6577	38.1912	63	40
37.6577	38.1912	69	40
37.6577	38.1802	71	40
37.6577	38.1802	78	46
37.8291	38.1912	59	37
38.0006	38.1912	76	45
38.0006	38.1912	80	50
38.1802	38.3646	71	38
38.1802	38.3646	78	42
38.3677	39.3495	52	44
38.3677	38.7338	68	39
38.3677	39.3495	76	44
38.5552	39.3495	59	36
38.7338	39.3495	68	38
38.9167	39.3495	64	36
39.0981	39.4402	71	44
39.4551	39.5375	56	67
39.4551	39.5375	64	74
39.6255	39.7134	64	62
39.6255	39.7134	68	70
39.8074	40.1328	59	73
39.8074	40.1328	66	82
40.1624	40.2421	64	67
40.1624	40.2421	68	74
40.3272	40.4096	66	64
40.3272	40.4096	69	72
40.4977	40.8193	68	71
40.4977	40.8193	71	80
40.8486	40.9269	69	69
40.8486	40.9269	73	77
41.0107	41.0931	68	64
41.0107	41.0931	71	72
41.1812	41.5085	66	74
41.1812	41.5085	69	83
41.5383	41.6158	64	68
41.5383	41.6158	68	75
41.6987	41.7811	66	64
41.6987	41.7811	69	72
41.8692	42.1966	59	74
41.8692	42.1966	66	83
42.2245	42.3074	56	67
42.2245	42.3074	64	74
42.3959	42.4817	64	63
42.3959	42.4817	68	71
42.5734	42.9048	59	73
42.5734	42.9048	66	82
42.9349	43.0124	64	67
42.9349	43.0124	68	74
43.0953	43.1801	66	63
43.0953	43.1801	69	71
43.2708	43.5869	68	71
43.2708	43.5869	71	80
43.6156	43.6966	69	71
43.6156	43.6966	73	80
43.7832	43.87	68	69
43.7832	43.87	71	77
43.9628	44.3614	66	74
43.9628	44.3614	69	83
44.3976	44.5271	64	67
44.3976	44.5271	68	74
44.6655	44.8091	66	63
44.6655	44.8091	69	71
44.9625	45.6768	59	64
44.9625	45.6768	66	72
45.9149	46.0874	92	42
45.9149	46.0874	95	48
46.0903	46.2629	90	40
46.0903	46.2629	93	46
46.2658	47.3354	52	38
46.2658	47.1557	59	42
46.2658	46.6272	88	47
46.2658	46.6272	92	52
46.4465	46.9761	64	38
46.6272	46.9761	71	36
46.6272	46.9761	88	38
46.6272	47.5695	92	42
46.8017	47.3354	83	35
46.8017	47.5695	90	39
46.9761	47.5695	64	42
46.9761	48.0415	71	42
46.9761	47.3354	80	40
46.9761	47.5695	88	46
47.1557	47.5695	59	38
47.3354	47.6678	52	39
47.3354	47.5695	80	41
47.3354	47.5695	83	47
47.5088	47.6793	78	38
47.5088	47.6793	81	42
47.6822	48.7455	52	36
47.6822	48.5669	59	40
47.6822	48.0415	76	45
47.6822	48.0415	80	50
47.8619	48.3883	64	39
48.0415	48.2149	71	39
48.0415	48.3883	76	38
48.0415	48.933	80	42
48.2149	48.3883	71	36
48.2149	48.933	78	40
48.3883	48.7455	64	41
48.3883	48.933	68	41
48.3883	49.1205	71	41
48.3883	48.933	76	47
48.5669	48.933	59	39
48.7455	49.1048	52	39
48.7455	48.933	56	41
48.7455	48.933	64	47
48.933	49.0236	59	37
48.933	49.0236	66	41
49.1205	49.4988	64	45
49.1205	49.4988	68	50
49.5152	49.6218	66	41
49.5152	49.6218	69	47
49.7358	49.8424	64	37
49.7358	49.8424	68	41
49.9569	50.386	59	37
49.9569	50.386	66	41
50.4047	50.5353	64	40
50.4047	50.5353	68	46
50.6749	50.826	59	35
50.6749	50.826	66	39
50.9812	52.0821	56	36
50.9812	52.0821	64	40
52.4173	52.6359	59	66
