OnsetTime	OffsetTime	MidiPitch	Velocity
0.969083	1.23567	45	38
0.995462	1.24551	52	42
1.02184	1.14709	57	46
1.04822	1.24551	60	49
1.06802	1.24551	64	49
1.08781	1.24551	69	54
1.10761	1.24551	72	59
1.1274	1.24551	81	68
1.54828	1.63422	69	54
1.64204	1.76015	69	64
1.76015	1.87826	72	60
1.87826	1.99105	71	64
1.99105	2.10383	69	60
2.10383	2.3431	52	40
2.12567	2.35294	59	43
2.1475	2.25452	64	47
2.16933	2.35294	68	50
2.18571	2.35294	71	51
2.20208	2.35294	76	55
2.21846	2.35294	80	59
2.23483	2.35294	88	66
2.65654	2.74248	64	54
2.7503	2.86841	64	64
2.86841	2.98652	68	60
2.98652	3.09931	66	64
3.09931	3.21209	64	60
3.21209	3.45108	45	37
3.23389	3.46092	52	40
3.25568	3.3625	57	44
3.27747	3.46092	60	47
3.29381	3.46092	64	49
3.31014	3.46092	69	53
3.32648	3.46092	72	57
3.34281	3.46092	81	66
3.76624	3.85218	69	54
3.86	3.97811	69	64
3.97811	4.09622	72	60
4.09622	4.21433	71	64
4.21433	4.33244	69	60
4.33244	4.5771	52	43
4.35363	4.58779	59	41
4.37482	4.48094	64	46
4.39601	4.58779	68	50
4.4119	4.58779	71	54
4.42779	4.58779	80	57
4.44369	4.58779	88	61
4.45958	4.9724	76	71
4.9724	5.10061	64	69
5.48523	5.72683	45	33
5.50702	5.73691	52	36
5.52881	5.6361	57	37
5.55061	5.73691	60	40
5.56694	5.73691	64	41
5.58328	5.73691	69	45
5.59961	5.73691	72	47
5.61595	5.73691	81	51
6.04568	6.13161	69	40
6.13943	6.25754	69	48
6.25754	6.37566	72	45
6.37566	6.48844	71	48
6.48844	6.60123	69	45
6.60123	6.84021	52	32
6.62302	6.85006	59	35
6.64482	6.75163	64	37
6.66661	6.85006	68	40
6.68294	6.85006	71	40
6.69928	6.85006	76	44
6.71561	6.85006	80	46
6.73195	6.85006	88	49
7.15626	7.2422	64	40
7.25002	7.36813	64	48
7.36813	7.48624	68	45
7.48624	7.59987	66	48
7.59987	7.7135	64	45
7.7135	7.95222	45	32
7.73524	7.96206	52	35
7.75698	7.86364	57	37
7.77872	7.96206	60	40
7.79503	7.96206	64	40
7.81134	7.96206	69	44
7.82764	7.96206	72	46
7.84395	7.96206	81	49
8.26826	8.3542	69	40
8.36202	8.48013	69	48
8.48013	8.59824	72	45
8.59824	8.71635	71	48
8.71635	8.83446	69	45
8.83446	9.07696	52	32
8.85529	9.08765	59	35
8.87612	8.98081	64	37
8.89695	9.08765	68	40
8.91257	9.08765	71	40
8.92819	9.08765	80	46
8.94382	9.08765	88	48
8.95944	9.47227	76	59
9.47227	9.60048	64	59
9.98509	10.2174	45	38
10.0068	10.2267	52	41
10.0286	10.1341	57	45
10.0503	10.2267	61	48
10.0666	10.2267	76	52
10.0829	10.2267	81	56
10.0992	10.2267	85	59
10.1155	10.2267	93	68
10.5208	10.6067	81	54
10.6146	10.7327	81	64
10.7327	10.8463	82	60
10.8463	10.9599	81	64
10.9599	11.0736	79	60
11.0736	11.3084	50	40
11.0948	11.3183	57	42
11.1159	11.2198	62	45
11.1371	11.3183	65	48
11.1529	11.3183	69	51
11.1686	11.3183	77	55
11.1844	11.3183	81	58
11.2002	11.3183	89	68
11.6245	11.7104	74	54
11.7182	11.8319	74	64
11.8319	11.9455	77	60
11.9455	12.0591	76	64
12.0591	12.1728	74	60
12.1728	12.4117	43	39
12.1946	12.4216	50	42
12.2163	12.3232	55	46
12.2381	12.4216	59	50
12.2545	12.4216	74	50
12.2708	12.4216	79	54
12.2871	12.4216	83	58
12.3035	12.4216	91	68
12.7227	12.8087	79	54
12.8165	12.9293	79	64
12.9293	13.0421	81	60
13.0421	13.1548	79	64
13.1548	13.2676	77	60
13.2676	13.5014	48	44
13.2886	13.5113	55	44
13.3095	13.4129	60	47
13.3304	13.5113	64	50
13.3461	13.5113	67	50
13.3618	13.5113	76	54
13.3775	13.5113	79	58
13.3932	13.5113	88	68
13.8178	13.9037	72	54
13.9115	14.0296	72	57
14.0296	14.1477	76	54
14.1477	14.2597	74	56
14.2597	14.3716	72	53
14.3716	14.6104	50	37
14.3934	14.6202	53	39
14.4151	14.5218	59	42
14.4369	14.6202	65	44
14.4532	14.6202	71	44
14.4695	14.6202	77	47
14.4858	14.6202	83	50
14.5021	14.6202	89	59
14.927	15.0129	71	45
15.0207	15.1379	71	53
15.1379	15.2551	74	50
15.2551	15.3723	72	53
15.3723	15.4895	71	49
15.4895	15.7291	48	36
15.5332	15.6405	60	40
15.5551	15.7389	64	43
15.5715	15.7389	69	41
15.588	15.7389	76	44
15.6044	15.7389	81	47
15.6208	15.7389	88	54
16.0469	16.1329	69	45
16.1407	16.2588	69	54
16.2588	16.3769	72	50
16.3769	16.495	71	54
16.495	16.6399	69	50
16.6399	17.1527	53	49
16.6399	17.1527	65	58
17.0188	17.1527	57	40
17.0188	17.1527	63	40
17.0188	17.1527	75	45
17.1527	17.7274	52	45
17.1527	17.7274	64	52
17.2866	17.4205	76	45
17.4205	17.551	74	52
17.551	17.7274	56	37
17.551	17.7274	62	37
17.551	17.7274	71	45
17.7274	18.2608	57	45
17.7274	18.2608	60	45
17.7274	18.2608	64	51
17.7274	18.2608	69	51
18.2608	18.3941	64	37
18.2608	18.3941	69	37
18.2608	18.3941	72	45
18.2608	18.3941	81	45
18.7941	19.2374	45	33
18.8239	19.2374	52	36
18.8536	19.2374	57	37
18.8834	19.2374	61	40
18.9057	19.2374	76	41
18.928	19.2374	81	45
18.9503	19.2374	85	47
18.9726	19.2374	93	51
19.4026	19.4669	81	40
19.4727	19.8593	61	30
19.4727	19.8593	64	30
19.4727	19.8593	69	36
19.4727	19.7137	81	48
19.5932	19.8593	82	45
19.7137	19.8593	81	48
19.8342	19.9547	79	45
19.9547	20.379	50	33
19.9993	20.379	57	36
20.0439	20.379	65	40
20.0663	20.379	69	41
20.0886	20.379	77	45
20.1109	20.379	81	47
20.1332	20.379	89	51
20.5604	20.6247	74	40
20.6305	21.0472	62	30
20.6305	21.0472	65	30
20.6305	21.0472	69	36
20.6305	20.9877	74	48
20.7496	21.0472	77	45
20.8686	21.0472	76	48
20.9877	21.1067	74	45
21.1067	21.5586	43	33
21.1514	21.5586	50	36
21.196	21.5586	59	40
21.2183	21.5586	74	41
21.2406	21.5586	79	45
21.263	21.5586	83	47
21.2853	21.5586	91	51
21.717	21.7844	79	40
21.7905	22.1855	59	30
21.7905	22.1855	62	30
21.7905	22.1855	67	36
21.7905	22.0305	79	48
21.9105	22.1855	81	45
22.0305	22.1855	79	48
22.1505	22.2705	77	45
22.2705	22.7012	48	33
22.3152	22.7012	55	36
22.3598	22.7012	64	40
22.3821	22.7012	67	41
22.4045	22.7012	76	45
22.4268	22.7012	79	47
22.4491	22.7012	88	51
22.8762	22.9384	72	40
22.9441	23.3014	64	33
22.9441	23.3014	67	39
22.9441	23.2984	72	52
23.0622	23.3014	76	49
23.1803	23.3014	74	52
23.2984	23.4165	72	49
23.4165	23.867	50	36
23.4612	23.867	58	40
23.5058	23.867	65	44
23.5504	23.867	70	45
23.5728	23.867	77	49
23.5951	23.867	89	56
24.0169	24.0732	70	44
24.0783	24.4366	62	33
24.0783	24.4366	65	39
24.0783	24.4327	70	52
24.1965	24.4366	74	49
24.3146	24.4366	72	52
24.4327	24.5508	70	49
24.5508	24.9689	48	36
24.5954	24.9689	60	40
24.6401	24.9689	64	44
24.6847	24.9689	69	45
24.707	24.9689	76	49
24.7293	24.9689	88	56
25.1813	25.2672	69	42
25.275	25.7919	60	32
25.275	25.7919	64	38
25.275	25.647	69	51
25.399	25.7919	72	47
25.523	25.7919	71	51
25.647	25.7919	69	47
25.7919	26.3254	53	42
25.7919	26.3254	65	50
26.1811	26.3254	57	38
26.1811	26.3254	63	38
26.1811	26.3254	75	42
26.3254	26.9417	52	42
26.3254	26.9417	64	49
26.4696	26.6138	76	42
26.6138	26.7443	74	49
