OnsetTime	OffsetTime	MidiPitch	Velocity
0.500004	0.592313	65	42
0.57693	0.669238	66	42
0.653856	0.746097	65	42
0.730782	0.822621	67	43
0.807319	0.899144	68	43
0.883842	0.975668	69	43
0.960366	1.05219	68	44
1.03689	1.12834	70	44
1.1131	1.20449	71	44
1.18925	1.28063	72	46
1.2654	1.35678	71	46
1.34155	1.4326	73	46
1.41744	1.50835	74	47
1.4932	1.58411	75	47
1.56896	1.65987	74	47
1.64472	1.73536	76	48
1.72029	1.81073	77	48
1.79566	1.8861	78	48
1.87103	1.96147	77	49
1.90871	3.79871	53	37
1.9464	2.62008	59	42
1.9464	2.03664	79	49
1.98408	2.62008	62	46
2.02165	2.91711	68	57
2.02165	2.11164	80	49
2.09664	2.18663	81	50
2.17164	2.26163	80	50
2.24663	2.33649	82	50
2.32156	2.41112	83	51
2.39619	2.48575	84	51
2.47083	2.56038	83	51
2.54546	2.63492	86	52
2.58277	3.50692	60	33
2.62008	3.21319	63	46
2.62008	2.70918	84	52
2.69433	2.78344	85	52
2.76859	2.85769	84	54
2.84285	2.93195	86	54
2.91711	3.21319	67	49
2.91711	3.00621	87	54
2.99136	3.08018	89	55
3.0654	3.15408	87	55
3.1393	3.22791	90	55
3.21319	3.79871	63	54
3.21319	3.36026	91	56
3.28673	3.79871	92	56
3.36026	3.79871	91	56
3.43375	3.79871	95	57
3.50692	3.79871	60	49
3.50692	3.65306	96	57
3.58009	3.79871	97	57
3.65306	3.79871	96	58
3.72589	3.81327	98	58
3.79871	3.94434	99	60
3.87152	4.97568	98	60
3.94434	4.97568	99	59
4.01716	4.97568	97	59
4.08998	4.23593	96	58
4.1628	4.97568	95	58
4.23593	4.97568	96	57
4.30911	4.97568	94	57
4.38228	4.52862	93	56
4.45545	4.97568	92	56
4.52862	4.97568	93	55
4.60195	4.97568	91	55
4.67548	4.82255	90	54
4.74902	4.97568	89	54
4.82255	4.97568	90	52
4.89608	4.97568	88	51
4.96961	5.11524	87	49
5.04242	5.53522	86	49
5.11524	5.53522	87	49
5.18833	5.53522	85	48
5.26151	5.40852	84	48
5.33498	5.53522	83	48
5.40852	7.29816	53	35
5.40852	5.53522	84	47
5.44532	6.15414	57	37
5.48226	6.15414	60	41
5.48226	5.55616	82	47
5.51921	6.15414	63	43
5.55616	6.77502	66	46
5.55616	5.70457	81	46
5.63031	6.15414	80	46
5.70457	6.15414	81	46
5.7791	6.15414	79	44
5.85374	6.00355	78	44
5.92856	6.15414	77	43
6.00355	6.15414	78	43
6.07877	6.15414	75	42
6.11646	7.09501	58	36
6.15414	6.77502	62	48
6.15414	6.30639	74	42
6.22977	6.47019	73	42
6.30639	6.47019	74	41
6.38361	6.47019	72	41
6.46112	6.77502	65	35
6.46112	6.61728	70	40
6.53906	6.75253	69	40
6.61728	6.75253	70	40
6.69594	6.77502	68	39
6.77502	7.42141	61	46
6.77502	6.93424	67	39
6.85442	7.42141	66	37
6.93424	7.25735	67	37
7.01445	7.33915	65	37
7.09501	7.3802	58	34
7.09501	7.42141	73	36
7.17603	7.42141	70	36
7.25735	7.42141	67	35
7.29816	7.79408	53	34
7.33915	7.79408	55	34
7.33915	7.42141	65	35
7.3802	7.79408	58	34
7.42141	7.79408	61	34
7.42141	7.79408	64	43
8.09589	8.47595	88	34
8.09589	8.39973	91	34
8.09589	8.7185	97	48
8.17165	8.7185	94	48
8.24744	8.62902	81	29
8.24744	8.55248	84	29
8.24744	8.7185	90	47
8.32358	8.7185	87	46
8.39973	8.7185	82	29
8.39973	8.70568	85	29
8.39973	8.7185	91	46
8.47595	8.7185	88	44
8.55248	8.7185	75	29
8.55248	8.7185	78	29
8.55248	8.7185	84	44
8.62902	8.7185	81	43
8.70568	9.09031	76	34
8.70568	9.01338	79	34
8.70568	9.30185	85	42
8.7826	9.30185	82	41
8.85953	9.24416	69	29
8.85953	9.16723	72	29
8.85953	9.30185	78	41
8.93646	9.30185	75	40
9.01338	9.30185	70	29
9.01338	9.30185	73	29
9.01338	9.30185	79	39
9.09031	9.30185	76	39
9.16723	9.30185	63	29
9.16723	9.30185	66	29
9.16723	9.30185	72	37
9.24416	9.32108	69	36
9.32108	9.56958	64	34
9.32108	9.6477	67	34
9.32108	9.6477	73	36
9.39884	9.6477	70	35
9.48141	9.6477	57	31
9.48141	9.6477	60	31
9.48141	9.6477	66	35
9.56958	9.65031	64	34
9.65031	9.80879	58	34
9.65031	9.80879	61	34
9.65031	9.80879	64	34
9.65031	9.80879	67	34
10.0235	10.1209	41	41
10.2184	10.3012	53	21
10.2184	10.3012	58	21
10.2184	10.3012	61	21
10.2184	10.3012	67	26
10.2184	10.3012	73	37
10.2184	10.3012	76	37
10.2184	10.3012	85	44
10.3841	10.467	53	21
10.3841	10.467	58	21
10.3841	10.467	61	21
10.3841	10.467	67	26
10.3841	10.467	73	32
10.3841	10.467	76	32
10.3841	10.467	84	39
10.5498	10.6327	53	21
10.5498	10.6327	58	21
10.5498	10.6327	61	21
10.5498	10.6327	67	26
10.5498	10.6327	73	35
10.5498	10.6327	76	35
10.5498	10.6327	83	42
10.7156	10.8059	53	23
10.7156	10.8059	58	23
10.7156	10.8059	61	23
10.7156	10.8059	67	27
10.7156	10.8059	73	32
10.7156	10.8059	76	32
10.7156	10.8059	82	37
10.8963	10.9796	53	25
10.8963	10.9796	58	25
10.8963	10.9796	61	25
10.8963	10.9796	67	31
10.8963	10.9796	73	36
10.8963	10.9796	76	36
10.8963	10.9796	85	43
11.063	11.4058	53	20
11.063	11.4058	58	20
11.063	11.4058	61	20
11.063	11.4058	67	25
11.063	11.2344	73	39
