OnsetTime	OffsetTime	MidiPitch	Velocity
0.500004	5.21984	37	35
0.500004	5.21984	49	35
0.500004	1.71239	56	33
0.904133	2.11026	61	26
1.30826	2.50304	64	26
1.71239	2.89087	56	33
2.11026	3.27387	61	26
2.50304	3.65686	64	26
2.89087	4.03985	56	32
3.27387	4.42284	61	26
3.65686	4.80584	64	26
4.03985	5.21984	56	35
4.42284	5.21984	61	26
4.80584	5.21984	64	26
5.21984	9.88797	35	35
5.21984	9.88797	47	35
5.21984	6.39886	56	33
5.61283	6.78518	61	26
6.00585	7.16881	64	23
6.39886	7.54977	56	30
6.78518	7.94192	61	26
7.16881	8.31928	64	23
7.54977	8.69664	56	33
7.94192	9.08498	61	26
8.31928	9.46234	64	23
8.69664	9.88797	56	32
9.08498	9.88797	61	26
9.46234	9.88797	64	23
9.88797	12.3143	33	41
9.88797	12.3143	45	41
9.88797	11.0801	57	45
10.2905	11.467	61	38
10.6879	11.8538	64	38
11.0801	12.2992	57	35
11.467	12.3143	61	32
11.8538	12.3143	64	32
12.2992	14.6926	30	38
12.2992	14.6926	42	38
12.2992	13.496	57	41
12.7022	13.8828	62	33
13.1032	14.2697	66	28
13.496	14.6926	57	38
13.8828	14.6926	62	33
14.2697	14.6926	66	30
14.6926	17.1366	32	41
14.6926	17.1366	44	41
14.6926	15.8128	56	38
15.0999	15.8128	60	31
15.5073	15.9146	66	31
15.9146	17.1366	56	35
16.3219	17.1809	61	30
16.7293	17.1809	64	30
17.1366	19.7553	32	35
17.1366	19.7553	44	35
17.1366	18.4361	56	35
17.5536	18.4361	61	27
17.9706	18.4361	63	25
18.3877	19.7553	54	35
18.8435	19.7553	60	30
19.2994	19.7553	63	30
19.7553	25.0649	37	35
19.7553	25.0649	44	35
19.7553	25.0649	49	35
19.7553	25.0649	52	32
20.181	21.0048	56	26
20.5929	21.4079	61	26
21.0048	22.2141	56	32
21.4079	22.6349	61	26
21.811	23.0558	64	26
22.2141	23.4767	56	31
22.6349	23.9767	61	25
23.0558	24.4767	64	25
23.4767	25.0649	56	31
23.4767	24.6238	68	56
23.9767	25.0649	61	25
24.4767	25.0649	64	22
24.6238	25.0649	68	50
25.0649	30.2153	36	38
25.0649	30.2153	44	38
25.0649	30.2153	48	38
25.0649	26.3248	56	31
25.0649	28.6712	68	50
25.4998	26.7209	63	26
25.9192	27.1038	66	23
26.3248	27.4868	56	31
26.7209	27.8816	63	26
27.1038	28.2764	66	25
27.4868	28.6712	56	31
27.8816	29.1531	63	26
28.2764	29.6351	66	25
28.6712	30.2153	56	31
28.6712	29.7801	68	56
29.1531	30.2153	63	25
29.6351	30.2153	66	23
29.7801	30.2153	68	53
30.2153	32.7681	37	35
30.2153	32.7681	49	35
30.2153	31.4559	56	31
30.2153	32.7681	68	53
30.6362	31.8467	61	26
31.0571	32.2259	64	25
31.4559	32.7681	56	31
