OnsetTime	OffsetTime	MidiPitch	Velocity
0.500004	1.56988	61	64
0.566376	1.56195	64	64
0.632747	1.56988	45	59
0.632747	1.56988	57	70
0.632747	1.56988	69	76
1.56195	2.04846	40	53
1.56195	2.04846	52	63
1.56195	2.04846	64	70
2.03813	2.52662	49	48
2.03813	2.52662	61	57
2.03813	2.52662	73	72
2.28606	2.52662	74	74
2.40234	2.52662	71	70
2.51861	2.77261	45	45
2.51861	2.77261	57	53
2.51861	2.77261	69	70
3.47861	3.97062	73	50
3.71862	3.97062	74	52
3.83862	3.97062	71	46
3.95862	4.83141	69	49
4.45073	4.83141	57	40
4.45073	4.83141	66	40
4.45073	4.83141	85	57
4.93284	5.40529	59	40
4.93284	5.40529	69	40
4.93284	5.40529	75	50
5.40529	6.35017	64	40
5.40529	6.35017	68	40
5.40529	6.35017	76	52
6.11395	6.35017	77	51
6.35017	6.58274	80	57
6.58274	6.81896	78	56
6.81896	7.04972	76	54
7.04972	7.28409	74	53
7.28409	7.51486	73	52
7.51486	7.76076	71	51
7.76076	8.23889	52	39
7.76076	8.23889	69	51
7.99698	8.23889	62	33
7.99698	8.23889	68	46
8.23321	8.69125	59	33
8.23321	8.70109	76	53
8.46048	8.70109	62	28
8.46048	8.70109	74	51
8.69125	9.17256	59	31
8.92747	9.17256	62	29
9.16369	9.64276	52	40
9.16369	9.64276	71	57
9.39991	9.64276	61	34
9.39991	9.64276	69	53
9.63614	10.096	57	34
9.63614	10.1047	78	57
9.8634	10.1047	61	30
9.8634	10.1047	76	56
10.096	10.5706	57	32
10.3285	10.5706	61	28
10.5647	11.0331	50	42
10.5647	11.0331	76	63
10.7991	11.0331	59	36
10.7991	11.0331	74	59
11.0264	11.4898	54	36
11.0264	11.4956	79	62
11.2554	11.4956	59	34
11.2554	11.4956	78	59
11.4898	11.9634	54	36
11.7241	11.9634	59	34
11.9585	12.467	50	39
11.9585	12.467	66	51
12.4273	12.6545	76	53
12.6545	12.8853	74	51
12.8853	13.1143	73	51
13.1143	13.3524	71	49
13.3524	13.8301	52	33
13.3524	13.8301	62	39
13.3524	13.8212	69	51
13.5868	13.8301	68	48
13.8212	14.3112	57	33
13.8212	14.3112	61	39
13.8212	14.3112	69	51
14.595	14.6545	71	68
14.6545	14.714	76	71
14.714	14.7735	80	74
14.7735	15.7178	52	60
14.7735	16.1798	83	77
15.0079	15.4766	56	52
15.2423	15.7178	59	56
15.4766	15.7178	56	52
15.711	15.9454	54	56
15.9454	16.1798	52	51
16.1798	16.6509	51	60
16.1798	16.6509	83	73
16.2952	16.6509	81	72
16.4105	16.6509	52	50
16.4105	16.6509	80	71
16.5259	16.6413	78	70
16.6413	17.1126	54	50
16.6413	17.1126	78	72
16.7567	17.1126	76	71
16.8721	17.1126	47	51
16.8721	17.1126	75	69
16.9875	17.1126	73	68
17.1029	17.6296	49	54
17.1029	17.6296	71	70
17.2201	17.4563	69	67
