OnsetTime	OffsetTime	MidiPitch	Velocity
0.516996	0.60099	76	42
0.517989	0.604999	79	50
0.845983	0.92999	76	36
0.845983	0.92999	79	43
1.175	1.41599	72	40
1.178	1.41699	76	48
1.182	1.25899	57	30
1.182	1.25899	60	36
1.48998	1.58099	57	28
1.48998	1.57798	60	34
1.826	1.90299	74	42
1.826	1.90299	77	50
1.82899	1.98297	57	29
1.83298	1.98398	53	24
2.14098	2.22198	74	37
2.14098	2.22499	77	44
2.45898	2.69698	71	41
2.46298	2.53997	55	34
2.46298	2.70097	74	49
2.46397	2.53997	59	40
2.78098	2.86199	55	28
2.78098	2.86199	59	33
3.103	3.278	72	54
3.10699	3.25999	52	32
3.10699	3.26099	55	38
3.26398	3.43598	74	49
3.41799	3.58597	76	53
3.57598	3.74398	72	49
3.72597	3.90098	69	55
3.72697	4.65397	53	42
3.88398	4.05498	71	57
4.04097	4.20599	72	60
4.19197	4.35999	73	63
4.34597	4.51397	74	66
4.49999	4.67098	76	59
4.65496	4.82897	77	66
4.65696	4.96897	50	38
4.81197	4.97896	74	60
4.96996	5.27697	55	44
4.96996	5.13698	72	64
5.12297	5.29097	71	59
5.27797	5.45598	69	53
5.43797	5.59897	67	48
5.60298	5.68296	76	59
5.60298	5.68397	79	59
5.92797	6.00496	76	48
5.92897	6.00796	79	48
6.24997	6.48096	72	59
6.25097	6.48496	76	59
6.25297	6.32696	60	36
6.25396	6.32797	57	30
6.56497	6.64496	60	34
6.56597	6.64896	57	28
6.88695	6.97095	77	63
6.89095	6.97195	81	63
6.89395	7.04794	53	29
6.89494	7.04794	50	24
7.20894	7.28893	77	55
7.20994	7.29293	81	55
7.52693	7.76593	71	63
7.53092	7.76593	74	63
7.53193	7.61092	55	39
7.53193	7.61191	59	46
7.84591	7.92992	55	31
7.84691	7.93092	59	37
8.17793	8.34692	81	70
8.17892	8.33592	48	37
8.17892	8.33592	52	44
8.33691	8.50691	79	68
8.49293	8.66494	77	65
8.64793	8.80492	76	63
8.80593	9.7489	57	42
8.80593	8.97292	73	60
8.80792	9.7489	53	35
8.96192	9.12992	74	62
9.11893	9.28791	76	66
9.26992	9.4279	77	58
9.4279	9.7489	69	60
9.58291	9.7489	72	52
9.7429	10.0659	71	58
9.74391	10.0659	65	43
9.74591	10.0659	55	36
9.89791	10.0659	74	50
10.0619	10.3909	72	56
10.0649	10.3909	60	43
10.0649	10.3909	64	51
10.3939	10.5689	48	47
10.7509	10.8309	76	42
10.7519	10.8319	79	50
11.0729	11.1639	76	36
11.0759	11.1649	79	43
11.4049	11.6439	72	40
11.4059	11.6439	76	48
11.4099	11.4869	57	30
11.4099	11.4859	60	36
11.7239	11.8079	60	34
11.7249	11.8089	57	28
12.0559	12.1299	74	42
12.0569	12.2109	57	29
12.0569	12.1309	77	50
12.0599	12.2139	53	24
12.3669	12.4519	74	37
12.3679	12.4529	77	44
12.6929	12.9249	71	41
12.6939	12.9279	74	49
12.6979	12.7699	55	34
12.6979	12.7709	59	40
13.0089	13.0889	55	28
13.0089	13.0899	59	33
13.3309	13.5089	72	55
13.3339	13.4949	52	32
13.3379	13.4979	55	38
13.4989	13.6709	74	49
13.6529	13.8279	76	54
13.8099	13.9749	72	49
13.9669	14.1349	69	51
13.9679	14.8949	53	42
14.1139	14.2889	71	55
14.2719	14.4469	72	59
14.4289	14.5969	73	62
14.5869	14.7549	74	66
14.7439	14.9129	76	60
14.8949	15.0629	77	65
14.8959	15.2029	50	38
15.0519	15.2209	74	63
15.2029	15.3739	72	60
15.2039	15.5149	55	44
15.3569	15.5359	71	57
15.5179	15.6889	69	54
15.6719	15.8369	67	49
15.8369	15.9159	76	56
15.8379	15.9169	79	56
16.1589	16.2379	76	49
16.1619	16.2419	79	49
16.4879	16.7219	72	55
16.4879	16.7219	76	55
16.4889	16.5679	57	30
16.4889	16.5639	60	36
16.7989	16.8799	57	28
16.7989	16.8799	60	34
17.1249	17.2039	77	66
17.1249	17.2079	81	66
17.1259	17.2849	53	29
17.1279	17.2859	50	24
17.4429	17.5239	77	57
17.4429	17.5239	81	57
17.7619	18.0059	71	63
17.7619	18.0059	74	63
17.7649	17.8459	55	39
17.7649	17.8459	59	46
18.0839	18.1639	55	31
18.0839	18.1639	59	37
18.4129	18.5659	48	37
18.4129	18.5869	81	68
18.4139	18.5709	52	44
18.5729	18.7449	79	65
18.7309	18.9059	77	63
18.8879	19.0459	76	61
19.0459	19.2169	73	56
19.0469	19.9979	57	42
19.0499	19.9979	53	35
19.2029	19.3749	74	58
19.3579	19.5319	76	59
19.5149	19.6729	77	56
19.6729	19.9979	69	60
19.8309	19.9979	72	52
19.9889	20.3129	71	58
19.9909	20.3129	55	36
19.9909	20.3129	65	43
20.1489	20.3129	74	50
20.3099	20.6349	72	56
20.3109	20.6389	60	43
20.3109	20.6389	64	51
20.6399	20.8029	48	47
20.9679	21.1429	60	40
20.9679	21.1419	76	61
21.1249	21.2929	78	56
21.1259	21.2939	67	36
21.2759	21.3489	79	53
21.2769	21.4469	64	36
21.4329	21.6009	67	36
21.4329	21.5129	79	53
21.6009	21.7689	81	62
21.6019	21.7699	59	40
21.7519	21.9269	67	35
21.7519	21.9229	79	58
21.9089	22.0759	78	56
21.9099	22.0769	62	35
22.0629	22.2309	76	55
22.0669	22.2309	67	35
22.2339	22.3079	74	61
22.2349	22.3979	54	40
22.3849	22.5529	62	36
22.3849	22.4579	74	54
22.5389	22.6159	74	54
22.5419	22.7069	57	36
22.6929	22.8499	62	36
22.6929	22.7729	74	54
22.8539	23.0289	76	66
22.8569	23.0289	55	40
23.0119	23.1859	62	36
23.0119	23.1829	74	59
23.1649	23.3409	72	58
23.1659	23.3439	59	36
23.3229	23.4919	62	36
23.3229	23.4909	71	57
23.4939	23.6589	88	74
23.4949	23.6589	47	44
23.6449	23.8169	55	38
