OnsetTime	OffsetTime	MidiPitch	Velocity
0.500004	0.730889	58	37
0.500004	0.730889	62	45
0.500004	0.730889	82	64
0.615447	0.730889	65	30
0.730889	0.955041	58	29
0.730889	0.955041	62	35
0.730889	0.961774	81	56
0.846331	0.961774	65	29
0.961774	1.19267	58	29
0.961774	1.19932	62	35
0.961774	1.19932	82	56
1.07723	1.19932	65	30
1.19267	1.42081	58	34
1.19267	1.42081	63	40
1.19267	1.434	79	60
1.30673	1.434	67	30
1.42081	1.64712	58	29
1.42081	1.64712	63	35
1.42081	1.90685	81	55
1.53396	1.76028	67	29
1.53396	1.87344	82	56
1.64712	1.87344	58	29
1.64712	1.90685	63	35
1.64712	1.90685	84	58
1.76028	1.90685	67	29
1.76028	1.90685	86	59
1.87344	2.10252	58	40
1.87344	2.10252	62	48
1.87344	2.10252	82	63
1.98797	2.10252	65	30
2.10252	2.32883	58	29
2.10252	2.32883	62	35
2.10252	2.55515	84	64
2.21567	2.44199	65	29
2.21567	2.55515	82	56
2.32883	2.55515	58	29
2.32883	2.55515	62	35
2.32883	2.55515	81	60
2.44199	2.55515	65	29
2.44199	2.55515	79	56
2.55515	2.67108	57	35
2.55515	2.67108	63	41
2.55515	2.61312	77	66
2.67108	2.78702	65	30
2.78702	2.90294	57	29
2.78702	2.90294	63	35
2.78702	2.84498	77	60
2.90294	3.01888	65	31
3.01888	3.13754	57	29
3.01888	3.13754	63	35
3.01888	3.07821	77	59
3.13754	3.25619	65	30
3.25619	3.48804	57	37
3.25619	3.48804	63	44
3.25619	3.71602	78	72
3.37212	3.60397	66	30
3.48804	3.71602	57	29
3.48804	3.71602	63	35
3.48804	3.71988	90	68
3.60397	3.71988	66	30
3.71988	3.83808	57	29
3.71988	3.83808	63	35
3.71988	3.77898	90	68
3.83808	3.95627	66	30
3.95627	4.0722	58	35
3.95627	4.0722	63	41
3.95627	4.39291	91	77
4.0722	4.30404	67	30
4.18811	4.39291	58	29
4.18811	4.39291	63	35
4.18811	4.41996	79	60
4.30404	4.41996	67	30
4.41996	4.53589	58	29
4.41996	4.53589	63	35
4.41996	4.47792	79	60
4.53589	4.65181	67	30
4.65181	4.76774	60	35
4.65181	4.76774	63	41
4.65181	4.70977	81	63
4.76774	4.99682	65	30
4.85468	5.33907	94	55
4.88366	5.10999	60	29
4.88366	5.10999	63	35
4.88366	5.10999	93	62
4.99682	5.22453	65	30
4.99682	5.33907	91	60
5.10999	5.33907	60	29
5.10999	5.33907	63	35
5.10999	5.33907	93	62
5.22453	5.33907	65	30
5.33907	5.45361	58	35
5.33907	5.45361	62	41
5.33907	5.39634	94	64
5.45361	5.68131	65	30
5.53952	6.03657	84	53
5.56815	5.79447	58	29
5.56815	5.79447	62	35
5.56815	5.79447	82	60
5.68131	5.91552	65	30
5.68131	6.03657	81	56
5.79447	6.03657	58	29
5.79447	6.03657	62	35
5.79447	6.03657	82	60
5.91552	6.03657	65	30
6.03657	6.26931	58	57
6.03657	6.15294	70	40
6.03657	6.15294	74	48
6.15294	6.26931	77	42
6.26931	6.50204	57	48
6.26931	6.38567	70	41
6.26931	6.38567	74	49
6.38567	6.50204	77	41
6.50204	6.73478	58	48
6.50204	6.61841	70	41
6.50204	6.61841	74	49
6.61841	6.73478	77	42
6.73478	6.96293	55	57
6.73478	6.84885	70	42
6.73478	6.84885	74	50
6.84885	6.96293	79	42
6.96293	7.07609	57	46
6.96293	7.07609	70	41
6.96293	7.07609	74	49
7.07609	7.18925	58	46
7.07609	7.18925	79	41
7.18925	7.30241	60	48
7.18925	7.30241	70	41
7.18925	7.30241	74	49
7.30241	7.41558	62	48
7.30241	7.41558	79	41
7.41558	7.64466	58	55
7.41558	7.53012	70	44
7.41558	7.53012	74	52
7.53012	7.64466	77	42
7.64466	7.75783	60	52
7.64466	7.75783	70	41
7.64466	7.75783	74	49
7.75783	7.87099	58	48
7.75783	7.87099	77	41
7.87099	7.98415	57	52
7.87099	7.98415	70	41
7.87099	7.98415	74	49
7.98415	8.09731	55	48
7.98415	8.09731	77	41
8.09731	8.15528	53	56
8.09731	8.21324	69	47
8.09731	8.21324	75	56
8.21324	8.32918	77	42
8.32918	8.38714	53	48
8.32918	8.4451	69	41
8.32918	8.4451	75	49
8.4451	8.56104	77	44
8.56104	8.62014	53	48
8.56104	8.67925	69	41
8.56104	8.67925	75	49
8.67925	8.79744	77	42
8.79744	9.02929	54	61
8.79744	8.91336	69	45
8.79744	8.91336	75	53
8.91336	9.02929	81	42
9.02929	9.26114	66	46
9.02929	9.14521	69	41
9.02929	9.14521	75	49
9.14521	9.26114	81	42
9.26114	9.32047	66	49
9.26114	9.3798	69	41
9.26114	9.3798	75	49
9.3798	9.49845	81	42
9.49845	9.7303	67	61
9.49845	9.61437	70	44
9.49845	9.61437	75	52
9.61437	9.7303	82	42
9.7303	9.96215	55	53
9.7303	9.84622	70	41
9.7303	9.84622	75	49
9.84622	9.96215	81	42
9.96215	10.0201	55	55
9.96215	10.0781	70	41
9.96215	10.0781	75	49
10.0781	10.194	79	42
10.194	10.252	58	60
10.194	10.3099	68	41
10.194	10.3099	74	49
10.3099	10.4258	77	42
10.3679	10.4447	48	47
10.4258	10.5579	46	55
10.4258	10.539	68	41
10.4258	10.539	74	49
10.539	10.6726	45	50
10.539	10.6521	77	42
10.6521	10.8981	46	53
10.6521	10.7751	68	41
10.6521	10.7751	74	49
10.7751	10.8981	77	42
10.8981	10.9558	51	50
10.8981	11.0135	67	41
10.8981	11.0135	75	49
11.0135	11.129	79	42
11.0712	11.1478	41	44
11.129	11.261	39	50
11.129	11.2421	67	41
11.129	11.2421	75	49
11.2421	11.3756	38	47
11.2421	11.3553	79	42
11.3553	11.4771	39	50
11.3553	11.4771	67	41
11.3553	11.4771	75	49
11.5989	11.7803	63	35
11.5989	11.7803	67	41
11.5989	11.7803	82	66
11.7219	11.9581	70	33
11.7834	12.0932	80	59
11.8449	12.0713	63	31
11.8449	12.0713	67	38
11.8449	12.0713	79	67
11.9581	12.0932	70	33
11.9581	12.0932	77	62
12.0713	12.3154	63	31
12.0713	12.3154	67	38
12.0713	12.3154	79	66
12.1858	12.3154	70	33
12.3003	12.4852	62	31
12.3003	12.4852	65	38
12.3003	12.4852	82	66
12.4209	12.6547	70	33
12.4812	12.8087	79	58
12.5414	12.8087	62	31
12.5414	12.7678	65	38
12.5414	12.7678	77	67
12.6547	12.8087	70	33
12.6547	12.8087	76	62
12.7678	13.0165	61	31
12.7678	13.0014	65	38
12.7678	13.0165	77	66
12.8846	13.0165	70	33
13.0014	13.2425	60	31
13.0014	13.2425	65	38
13.0014	13.2803	84	69
13.1219	13.2803	68	33
