OnsetTime	OffsetTime	MidiPitch	Velocity
0.500004	2.77849	31	60
0.500004	2.77849	43	70
0.500004	2.77849	67	84
0.500004	2.77849	79	95
2.77849	3.19225	71	44
3.19225	3.33017	72	38
3.33017	3.72638	74	51
3.8945	4.27809	74	42
4.44086	4.82413	74	42
4.98677	5.40052	72	46
5.40052	5.53844	74	47
5.53844	6.36596	75	53
6.36596	6.6418	74	44
6.6418	7.19347	72	39
7.19347	7.60078	74	49
7.60078	7.74319	72	42
7.74319	8.29487	71	46
8.29487	8.70863	69	44
8.70863	8.84655	71	36
8.84655	9.41488	72	48
9.41488	9.83419	74	43
9.83419	9.98224	75	44
9.98224	11.7588	74	51
11.7588	12.0346	55	35
11.7588	12.0358	62	37
11.7588	12.0358	67	37
11.7588	12.0358	71	44
12.1725	12.2415	55	33
12.1725	12.2415	63	35
12.1725	12.2415	67	35
12.1725	12.2415	72	42
12.3105	12.5812	55	40
12.3105	12.5823	65	43
12.3105	12.5823	67	43
12.3105	12.5823	74	51
12.8519	13.1263	55	33
12.8519	13.1274	65	35
12.8519	13.1274	67	35
12.8519	13.1274	74	42
13.4007	13.6737	55	33
13.4007	13.6748	65	35
13.4007	13.6748	67	35
13.4007	13.6748	74	42
13.9466	14.2225	55	46
13.9466	14.2236	63	39
13.9466	14.2236	67	39
13.9466	14.2236	72	39
14.3604	14.4293	55	47
14.3604	14.4293	65	39
14.3604	14.4293	67	39
14.3604	14.4293	74	47
14.4983	14.6362	55	53
14.4983	15.4437	67	45
14.4983	15.4437	75	53
15.0328	15.1697	57	53
15.4437	15.5122	59	43
15.4437	15.5122	65	37
15.4437	15.5122	67	37
15.4437	15.5122	74	44
15.5807	15.8547	60	49
15.5807	15.8547	63	33
15.5807	15.8547	67	33
15.5807	15.8547	72	39
16.1286	16.4002	53	45
16.1286	16.4013	65	41
16.1286	16.4013	68	41
16.1286	16.4013	74	49
16.536	16.6071	53	36
16.536	16.6071	63	35
16.536	16.6071	68	42
16.536	16.6071	72	42
16.6783	17.6438	55	44
16.6783	16.9542	62	39
16.6783	16.9542	67	39
16.6783	16.9542	71	46
17.23	17.507	60	37
17.23	17.507	67	37
17.23	17.507	69	44
17.6438	17.7127	53	30
17.6438	17.7127	55	36
17.6438	17.7127	62	30
17.6438	17.7127	67	30
17.6438	17.7127	71	36
17.7817	18.0635	51	40
17.7817	18.0635	55	48
17.7817	18.0635	63	40
17.7817	18.0635	67	40
17.7817	18.0635	72	48
18.365	18.648	43	45
18.365	18.648	55	53
18.365	18.6492	67	45
18.365	18.6492	75	53
18.7895	18.8635	43	37
