OnsetTime	OffsetTime	MidiPitch	Velocity
0.500004	2.34531	42	29
0.500004	2.34531	49	35
0.500004	2.34531	70	44
0.662184	1.2943	58	26
0.822741	1.13873	61	26
0.981555	1.90079	66	29
1.13873	1.44822	61	25
1.2943	1.6006	58	22
1.44822	1.75147	61	30
1.6006	2.19716	58	25
1.75147	2.04901	61	25
1.90079	2.78647	66	29
2.04901	2.63942	61	26
2.19716	2.49236	58	23
2.34531	3.22874	42	29
2.34531	3.22874	49	35
2.34531	3.22874	70	41
2.49236	3.08167	58	27
2.63942	2.93407	61	29
2.78647	3.67605	66	31
2.93407	3.52477	61	26
3.08167	3.37607	58	29
3.22874	4.16927	42	29
3.22874	4.16927	49	35
3.22874	4.16417	70	44
3.37607	4.00124	58	28
3.52477	3.83865	61	30
3.67605	4.16927	66	35
3.83865	4.16927	61	31
4.00124	4.16927	58	33
4.16417	7.84421	39	29
4.16417	7.84421	51	35
4.16417	7.84421	70	49
4.32603	4.95828	58	27
4.48627	4.8024	63	27
4.64508	5.5681	66	34
4.8024	5.1128	63	29
4.95828	5.26592	58	26
5.1128	5.41765	63	37
5.26592	5.86667	58	29
5.41765	5.71741	63	29
5.5681	6.01592	66	36
5.71741	6.45707	63	29
5.86667	6.31002	58	25
6.01592	7.84421	66	49
6.16297	6.75118	54	30
6.31002	6.60413	58	30
6.45707	7.35642	63	36
6.60413	6.89865	58	30
6.75118	7.04967	54	30
6.89865	7.20227	58	37
7.04967	7.68161	54	30
7.20227	7.51901	58	30
7.35642	7.84421	63	35
7.51901	7.84421	58	30
7.68161	7.84421	54	27
7.84421	9.6581	35	29
7.84421	9.6581	47	35
7.84421	9.6581	68	49
8.00171	8.61546	56	29
8.15719	8.46401	59	29
8.31126	9.20804	63	37
8.46401	8.76549	59	29
8.61546	8.91426	56	29
8.76549	9.0618	59	37
8.91426	9.49896	56	29
9.0618	9.3535	59	29
9.20804	9.6581	63	36
9.3535	9.6581	59	29
9.49896	9.6581	56	29
9.64441	11.4578	37	29
9.64441	10.9859	49	35
9.64441	11.4528	66	46
9.7904	10.2304	56	29
9.93638	10.3795	59	29
10.0824	11.4578	65	45
10.2304	10.6817	56	28
10.3795	10.8338	59	28
10.5296	11.4578	63	44
10.6817	11.2972	56	29
10.8338	11.4578	59	30
10.9859	11.4578	47	20
10.9859	11.4528	49	26
10.9859	11.4578	61	40
11.1415	11.4578	53	29
11.2972	11.4578	56	30
11.4528	12.4037	46	29
11.4528	12.4037	49	35
11.4528	12.4037	66	49
11.6138	12.2426	54	32
11.7732	12.0877	58	33
11.9313	12.4037	61	35
12.0877	12.4037	58	36
12.2426	12.4037	54	38
12.396	13.3015	42	29
12.396	13.3015	51	35
12.396	13.3015	70	48
12.548	13.1441	60	38
12.6986	12.996	63	36
12.8478	13.3015	66	35
12.996	13.3015	63	33
13.1441	13.3015	60	32
13.1812	15.1196	37	29
13.2923	15.1196	53	35
