OnsetTime	OffsetTime	MidiPitch	Velocity
0.500004	1.11538	71	49
0.807694	1.11538	64	35
0.807694	1.11538	67	35
1.11538	1.41539	63	29
1.11538	1.41539	66	29
1.11538	1.56539	71	49
1.41539	1.71539	62	35
1.41539	1.71539	65	34
1.56539	1.71539	71	40
1.71539	2.61278	61	33
1.71539	2.61278	64	33
1.71539	2.0154	71	49
2.0154	2.32152	70	46
2.32152	2.61278	76	48
2.61278	2.90835	60	33
2.61278	2.90835	63	33
2.61278	3.20835	69	33
2.61278	2.90835	75	47
2.90835	3.52414	59	41
2.90835	3.52414	62	41
2.90835	3.20835	74	49
3.20835	3.52414	67	42
3.52414	3.97885	57	39
3.52414	3.97885	62	39
3.52414	3.82593	66	34
3.52414	3.97885	72	47
3.82593	4.13314	67	39
3.97885	4.13314	55	34
3.97885	4.13314	62	34
3.97885	4.13314	71	45
4.13314	4.44402	55	38
4.13314	4.7549	62	38
4.13314	4.7549	67	46
4.13314	4.7549	71	46
4.44402	4.7549	59	39
4.7549	5.37667	62	40
4.7549	5.37667	66	45
4.7549	5.37667	69	45
5.06578	6.59192	50	38
5.37667	5.98891	62	61
5.68279	5.98891	71	46
5.68279	5.98891	74	46
5.68279	5.98891	79	46
5.98891	6.44117	62	60
5.98891	6.29041	69	48
5.98891	6.29041	74	48
5.98891	6.29041	78	48
6.29041	6.59192	67	50
6.29041	6.59192	73	50
6.29041	6.59192	76	50
6.44117	6.59192	62	56
6.59192	6.89193	62	60
6.59192	8.08276	66	56
6.59192	8.08276	69	56
6.59192	8.08276	74	56
6.89193	7.19962	60	56
7.19962	7.48669	64	58
7.48669	7.78226	62	55
7.78226	8.08276	60	57
8.08276	8.39203	59	51
8.08276	8.39203	62	51
8.08276	8.39203	67	45
8.08276	8.39203	74	45
8.39203	8.86324	57	55
8.39203	8.86324	62	55
8.39203	8.70617	66	42
8.39203	8.86324	72	42
8.70617	9.02808	67	41
8.86324	9.02808	55	45
8.86324	9.02808	62	45
8.86324	9.02808	71	41
9.02808	9.37895	55	50
9.02808	9.69981	62	50
9.02808	9.69981	67	44
9.02808	9.69981	71	44
9.37895	9.69981	59	35
9.69981	10.4041	62	38
9.69981	10.4041	66	40
9.69981	10.4041	69	40
10.0427	10.4041	50	33
10.4041	11.0195	71	49
10.7118	11.0195	64	35
10.7118	11.0195	67	35
11.0195	11.3195	63	29
11.0195	11.3195	66	29
11.0195	11.4695	71	49
11.3195	11.6195	62	35
11.3195	11.6195	65	34
11.4695	11.6195	71	40
11.6195	12.5169	61	33
11.6195	12.5169	64	33
11.6195	11.9195	71	49
11.9195	12.2256	70	46
12.2256	12.5169	76	48
12.5169	12.8125	60	33
12.5169	12.8125	63	33
12.5169	13.1125	69	33
