OnsetTime	OffsetTime	MidiPitch	Velocity
0.521985	1.05699	64	68
0.521985	1.05699	67	68
0.639989	0.919998	79	57
0.642993	0.922989	72	57
0.778981	1.56398	55	61
0.923995	1.04999	72	57
0.923995	1.046	79	57
1.04999	1.30099	72	70
1.053	1.30499	81	70
1.05399	1.306	63	51
1.05399	1.30799	66	51
1.30799	1.82998	64	70
1.309	1.83398	67	70
1.42298	1.70397	79	57
1.42798	1.70798	72	57
1.56697	2.34797	55	59
1.70798	1.83398	79	57
1.70897	1.83398	72	57
1.83797	2.08897	67	51
1.83797	2.08897	72	68
1.83797	2.08597	76	68
1.83997	2.09297	60	51
2.09297	2.62096	67	69
2.09398	2.62096	62	69
2.20798	2.48797	77	54
2.21097	2.48897	72	54
2.35196	3.13497	55	58
2.48897	2.62197	72	54
2.49097	2.62496	77	54
2.62496	2.87596	74	65
2.62796	2.87996	59	47
2.62796	2.87697	79	65
2.62896	2.88096	67	47
2.88096	3.41495	60	69
2.88296	3.41596	67	69
2.99897	3.27895	72	51
2.99897	3.27596	76	51
3.13996	3.93394	55	57
3.27995	3.41895	72	51
3.28296	3.41895	76	51
3.41895	3.67095	67	60
3.42294	3.67495	60	46
3.42294	3.67495	64	46
3.42294	3.67095	72	60
3.67795	4.21094	64	66
3.79295	4.07294	67	45
3.79395	4.07394	72	45
3.93394	4.71694	55	46
4.07394	4.20595	67	45
4.07794	4.20694	72	45
4.20994	4.45494	72	55
4.21094	4.45594	65	39
4.21094	4.45594	69	55
4.45895	4.99094	64	66
4.57794	4.85794	67	45
4.57794	4.85693	72	45
4.71794	5.50793	55	44
4.85794	4.99094	72	46
4.86093	4.99393	67	46
4.99393	5.24593	72	54
4.99493	5.24693	60	39
4.99493	5.24593	64	54
5.24993	5.77792	62	59
5.36794	5.64493	65	43
5.36894	5.64493	67	43
5.50893	6.30592	55	44
5.64592	5.78093	67	43
5.64892	5.78192	65	43
5.78192	6.03992	67	58
5.78493	6.04092	64	38
6.04392	6.58691	60	57
6.16992	6.44691	64	34
6.16992	6.44592	67	34
6.30691	6.8419	55	44
6.44991	6.58691	67	34
6.4509	6.58991	64	34
6.58991	6.84291	64	45
6.5909	6.8459	60	35
6.5909	6.84291	67	45
6.8459	7.3769	67	73
6.84691	7.37789	64	73
6.96491	7.24489	72	57
6.96491	7.24489	79	57
7.1039	7.88889	55	61
7.2459	7.3699	72	57
7.2459	7.3709	79	57
7.37389	7.62489	72	70
7.3749	7.6259	63	51
7.3749	7.6259	81	70
7.37589	7.62889	66	51
7.6299	8.15489	64	73
7.6299	8.15489	67	73
7.7479	8.02589	72	57
7.7479	8.02489	79	57
7.88889	8.66889	55	59
8.02788	8.15589	72	57
8.02889	8.15789	79	57
8.15789	8.40988	72	68
8.15888	8.41089	76	68
8.16189	8.41089	60	51
8.16189	8.41089	67	51
8.41289	8.94288	62	70
8.41389	8.94488	67	70
8.53289	8.80889	72	54
8.53289	8.80889	77	54
8.66988	9.45988	55	58
8.80988	8.94588	72	54
8.81289	8.94588	77	54
8.94588	9.19788	74	67
8.94988	9.20088	59	47
8.94988	9.20088	79	67
8.95188	9.20187	67	47
9.20488	9.73287	60	71
9.20488	9.73386	67	71
9.31988	9.59987	72	51
9.32088	9.60087	76	51
9.45988	10.2539	55	57
9.60087	9.73386	72	51
9.60288	9.73588	76	51
9.73687	9.99187	67	63
9.73687	9.99487	72	63
9.73987	9.99586	60	46
9.73987	9.99887	64	46
9.99987	10.5349	64	66
10.1149	10.3949	67	45
10.1149	10.3949	72	45
10.2549	11.0389	55	46
10.3979	10.5279	67	45
10.3979	10.5309	72	45
10.5309	10.7759	72	56
10.5319	10.7799	69	56
10.5349	10.7799	65	39
10.7809	11.3109	64	66
10.8979	11.1789	67	45
10.8989	11.1789	72	45
11.0399	11.8299	55	44
11.1819	11.3118	67	46
11.1819	11.3118	72	46
11.3149	11.5668	72	55
11.3158	11.5679	60	39
11.3158	11.5679	64	55
11.5699	12.1028	62	59
11.6899	11.9668	65	43
11.6899	11.9658	67	43
11.8299	12.6268	55	44
11.9688	12.1028	67	43
11.9698	12.1038	65	43
12.1058	12.3648	64	38
12.1058	12.3618	67	54
12.3658	12.9068	60	57
12.4878	12.7678	67	34
12.4908	12.7708	64	34
12.6308	13.1738	55	44
12.7708	12.9108	67	34
12.7718	12.9118	64	34
12.9118	13.1778	67	46
12.9138	13.1778	64	46
12.9148	13.1778	60	35
13.1808	13.7018	58	60
13.2958	13.5758	67	46
13.2968	13.5768	64	46
13.2988	13.5768	72	46
13.4358	14.2198	60	58
13.5788	13.7018	72	46
13.5798	13.7058	64	46
13.5798	13.7058	67	46
13.7088	13.9578	69	55
13.7088	13.9608	72	55
13.7098	13.9618	57	56
13.7098	13.9608	64	55
13.9648	14.4928	55	64
14.0798	14.3598	64	47
14.0798	14.3598	70	47
14.0838	14.3608	72	47
14.2208	15.0038	60	60
14.3638	14.4938	64	47
14.3638	14.4938	72	47
14.3648	14.4958	70	47
14.4968	14.7418	70	57
14.4998	14.7448	72	57
14.5008	14.7458	53	58
14.5008	14.7448	65	57
14.7458	15.2768	52	70
14.8638	15.1438	70	54
14.8648	15.1448	67	54
14.8668	15.1448	72	54
15.0038	15.2778	60	68
15.1468	15.2778	72	54
15.1478	15.2808	67	54
15.1478	15.2808	70	54
15.2818	15.5318	70	67
15.2838	15.5328	67	67
15.2838	15.5328	73	67
15.2848	15.5358	51	68
15.2848	15.7908	61	68
15.5368	16.0648	50	78
15.6518	15.9318	70	57
15.6548	15.9348	67	57
15.6548	15.9348	74	57
15.7958	16.0648	62	73
15.9358	16.0688	67	57
15.9358	16.0688	74	57
15.9388	16.0718	70	57
16.0718	16.3128	70	73
16.0718	16.3168	76	73
16.0758	16.3198	49	73
16.0758	16.3198	64	73
16.0758	16.3178	67	73
16.3208	16.8478	50	86
16.4418	16.7228	77	59
16.4428	16.7228	69	59
16.4428	16.7238	74	59
16.5828	16.8488	62	81
16.7268	16.8518	69	59
16.7268	16.8488	74	59
16.7278	16.8528	77	59
16.8548	17.0967	70	82
16.8558	17.1007	67	82
16.8558	17.1007	76	82
16.8588	17.1037	55	77
16.8598	17.1048	43	77
17.1048	17.6327	45	95
17.2268	17.5057	65	63
17.2268	17.5027	69	63
17.2277	17.5067	74	63
17.3667	17.6327	57	92
17.5097	17.6337	69	63
17.5107	17.6357	65	63
17.5107	17.6357	74	63
17.6397	17.8917	64	83
17.6397	17.8877	69	83
17.6397	17.8877	73	83
17.6407	17.8917	45	90
17.6427	17.8927	33	90
17.8947	18.4227	38	102
18.0107	18.2907	65	68
18.0107	18.2867	69	68
18.0107	18.2907	74	68
18.1497	18.4237	50	95
18.2937	18.4267	65	69
18.2937	18.4237	69	69
18.2947	18.4277	74	69
18.4277	18.6727	66	87
18.4287	18.6727	72	87
18.4307	18.6767	32	92
18.4307	18.6757	44	92
18.4307	18.6757	63	87
18.6767	18.9307	31	105
18.6797	18.9347	43	105
18.8007	19.0787	62	75
18.8007	19.0777	65	75
18.8017	19.0807	72	75
18.9347	19.2077	55	100
19.0817	19.2077	65	75
19.0847	19.2087	62	75
19.0857	19.2087	72	75
19.2107	19.4627	65	89
19.2107	19.4637	71	89
19.2117	19.4637	62	89
19.2147	19.4667	31	95
19.2147	19.4637	43	95
19.4677	19.7287	36	108
19.5887	19.8687	67	73
19.5887	19.8687	72	73
19.7297	19.9957	52	90
19.8727	19.9957	67	73
19.8727	19.9977	72	73
19.9987	20.2467	69	91
19.9987	20.2437	72	91
20.0027	20.2467	53	86
20.2467	20.7757	52	108
20.3657	20.6527	67	76
20.3667	20.6537	72	76
20.5127	21.0267	36	90
20.6557	20.7767	72	76
20.6567	20.7767	67	76
20.7767	21.0307	67	91
20.7787	21.0317	64	91
20.7787	21.0317	72	91
20.7797	21.0337	48	87
21.0347	21.5557	50	110
21.1497	21.4337	67	81
21.1497	21.4297	72	81
21.1507	21.4347	65	81
21.2897	21.8077	36	92
21.4347	21.5557	72	81
21.4357	21.5597	65	81
21.4357	21.5597	67	81
21.5597	21.8077	72	96
21.5627	21.8117	52	87
21.5627	21.8087	67	96
21.8117	22.3467	48	109
21.9267	22.2067	72	84
21.9297	22.2067	67	84
21.9307	22.2097	64	84
22.0667	22.5947	36	93
22.2107	22.3477	67	84
22.2107	22.3477	72	84
22.2147	22.3497	64	84
22.3507	22.5997	67	99
22.3507	22.5987	72	99
22.3537	22.5997	60	99
22.3547	22.6017	43	91
22.6027	23.1307	43	91
22.6027	23.1307	52	108
22.7247	23.0047	64	76
22.7247	23.0057	72	76
22.7257	23.0057	67	76
22.8617	23.3797	36	86
23.0077	23.1317	64	76
23.0087	23.1347	67	76
23.0087	23.1347	72	76
23.1347	23.3827	65	92
23.1377	23.3837	67	92
23.1377	23.3827	72	92
23.1387	23.3837	45	79
23.1387	23.3867	53	94
23.3867	23.9077	43	91
23.3897	23.9087	52	108
23.5017	23.7817	64	76
23.5017	23.7817	67	76
23.5017	23.7827	72	76
23.6417	24.1527	36	86
23.7857	23.9107	64	76
23.7857	23.9117	72	76
23.7867	23.9117	67	76
23.9157	24.1537	60	91
23.9157	24.1527	67	91
23.9157	24.1537	72	91
