OnsetTime	OffsetTime	MidiPitch	Velocity
0.500004	1.24775	50	33
0.500004	1.24775	58	25
0.500004	1.24775	70	43
0.873878	1.24775	53	33
0.873878	1.24775	60	25
0.873878	1.24775	72	43
1.24775	2.73046	46	28
1.24775	2.00353	58	34
1.24775	1.60898	62	26
1.24775	2.00353	74	44
1.60898	2.00353	62	36
1.60898	2.00353	65	28
1.60898	2.00353	77	53
1.98839	2.73046	63	39
1.98839	2.73046	67	30
1.98839	2.73046	79	60
2.35168	2.71497	62	44
2.35168	2.73046	65	24
2.35168	2.73046	77	42
2.71497	3.08673	58	42
2.71497	3.50183	62	26
2.71497	3.50183	74	44
3.08673	3.50183	53	36
3.08673	3.50183	58	23
3.08673	3.50183	70	39
3.29428	6.40901	41	43
3.50183	6.40901	51	23
3.50183	6.03514	53	34
3.50183	6.40901	57	27
3.50183	6.03514	60	27
3.50183	6.40901	65	38
5.66126	6.40901	50	39
5.66126	6.40901	58	30
5.66126	6.40901	70	43
6.03514	6.40901	53	39
6.03514	6.40901	60	30
6.03514	6.40901	72	43
6.40901	7.90041	46	34
6.40901	7.17348	58	41
6.40901	6.77024	62	31
6.40901	7.17348	74	44
6.77024	7.17348	62	43
6.77024	7.17348	65	34
6.77024	7.17348	77	53
7.15834	7.90041	63	46
7.15834	7.90041	67	36
7.15834	7.90041	79	58
7.52163	7.88492	62	44
7.52163	7.90041	65	29
7.52163	7.90041	77	42
7.88492	8.25668	58	42
7.88492	8.67178	62	31
7.88492	8.67178	74	44
8.25668	8.67178	53	36
8.25668	8.67178	58	28
8.25668	8.67178	70	39
8.46423	11.5597	41	43
8.67178	11.5597	51	28
8.67178	11.1858	53	34
8.67178	11.5597	57	27
8.67178	11.1858	60	27
8.67178	11.5597	65	38
10.812	11.5597	50	39
10.812	11.5597	58	30
10.812	11.5597	70	43
11.1858	11.5597	53	39
11.1858	11.5597	60	30
11.1858	11.5597	72	43
11.5597	13.0326	46	34
11.5597	12.3057	58	41
11.5597	11.9209	62	37
11.5597	13.7717	74	44
11.9209	12.3057	62	43
11.9209	12.3057	65	44
12.2905	13.0326	63	48
12.2905	13.0326	67	50
12.6538	13.0171	62	47
12.6538	13.0326	65	43
13.0171	13.3889	58	46
13.0171	13.7717	62	46
13.3889	13.7717	53	40
13.3889	13.7717	58	40
13.5803	13.7717	70	53
13.7717	15.2226	48	39
13.7717	14.4956	57	47
13.7717	14.4956	65	42
13.7717	15.2226	77	58
14.1329	14.4956	60	41
14.1329	14.4956	69	45
14.4805	15.2226	62	48
14.4805	15.2226	70	47
14.8438	15.2226	60	39
14.8438	15.2226	69	37
15.0254	15.2226	76	57
15.2071	15.9686	57	44
15.2071	15.9686	65	38
15.2071	15.9686	74	62
15.5788	15.9686	53	37
15.5788	15.9686	60	33
15.7737	15.9686	36	32
15.7737	15.9686	72	55
15.9686	16.7146	51	32
15.9686	16.7146	58	40
15.9686	17.4597	72	59
16.3298	16.7146	52	37
16.3298	16.6994	60	44
16.6994	17.4597	60	43
16.6994	17.4433	69	47
17.0627	17.4597	58	39
17.0627	17.4597	67	35
17.0627	17.4597	70	41
17.4433	18.3234	55	33
17.4433	18.3234	64	37
17.4433	18.3234	69	46
17.7064	18.3234	52	30
17.7064	18.3234	60	34
17.838	18.3234	67	41
17.9998	18.3234	49	30
17.9998	18.3234	58	34
18.3234	21.0404	41	36
18.3234	18.6175	47	30
18.3234	18.6175	56	35
18.3234	21.0404	65	42
18.6002	18.8942	48	27
18.6002	18.8942	57	32
18.8769	19.1537	50	27
18.8769	19.1537	58	32
19.1537	20.5687	48	32
19.1537	20.5687	57	35
21.0404	21.7882	50	39
21.0404	21.7882	58	30
21.0404	21.7882	70	43
21.4143	21.7882	53	39
21.4143	21.7882	60	30
21.4143	21.7882	72	43
21.7882	23.2709	46	34
21.7882	22.544	58	41
21.7882	22.1494	62	31
21.7882	22.544	74	44
22.1494	22.544	62	43
22.1494	22.544	65	34
22.1494	22.544	77	52
22.5288	23.2709	63	46
22.5288	23.2709	67	36
22.5288	23.2709	79	58
22.8921	23.2554	62	44
22.8921	23.2709	65	29
22.8921	23.2709	77	42
23.2554	23.6272	58	42
23.2554	24.0423	62	31
23.2554	24.0423	74	44
23.6272	24.0423	53	36
23.6272	24.0423	58	28
23.6272	24.0423	70	39
23.8347	26.9302	41	43
24.0423	26.9302	51	23
24.0423	26.5563	53	34
24.0423	26.9302	57	27
24.0423	26.5563	60	27
24.0423	26.9302	65	38
26.1824	26.9302	50	39
26.1824	26.9302	58	30
26.1824	26.9302	70	43
26.5563	26.9302	53	39
26.5563	26.9302	60	30
26.5563	26.9302	72	43
26.9302	28.4052	46	34
26.9302	27.6783	58	41
26.9302	27.2914	62	31
26.9302	27.6783	74	44
27.2914	27.6783	62	43
27.2914	27.6783	65	34
27.2914	27.6783	77	52
27.6632	28.4052	63	46
27.6632	28.4052	67	36
27.6632	28.4052	79	58
28.0264	28.3897	62	44
28.0264	28.4052	65	29
28.0264	28.4052	77	42
28.3897	28.7615	58	42
28.3897	29.1766	62	31
28.3897	29.1766	74	44
28.7615	29.1766	53	36
28.7615	29.1766	58	28
28.7615	29.1766	70	39
28.969	32.0645	41	43
29.1766	32.0645	51	28
