OnsetTime	OffsetTime	MidiPitch	Velocity
0.500004	0.572639	31	44
0.887383	0.980724	55	40
0.980724	1.07406	57	32
1.07406	1.16741	55	34
1.16741	1.26921	50	34
1.26921	1.37729	62	40
1.58193	1.65433	34	35
1.58193	1.65433	50	40
1.58193	1.65433	55	40
1.67847	1.75088	33	40
1.67847	1.75088	48	46
1.67847	1.75088	54	46
2.06467	2.15801	60	43
2.15801	2.25135	62	37
2.25135	2.34469	60	37
2.34469	2.44762	57	37
2.44762	2.55407	69	49
2.75672	2.82889	30	33
2.75672	2.82889	50	44
2.75672	2.82889	60	44
2.85295	2.92511	31	40
2.85295	2.92511	50	48
2.85295	2.92511	58	48
3.23782	3.33147	55	40
3.33147	3.42512	57	34
3.42512	3.51877	55	34
3.51877	3.62132	50	34
3.62132	3.69525	67	50
3.9147	3.98686	34	32
3.9147	3.98686	55	44
3.9147	3.98686	65	44
4.01092	4.08235	36	37
4.01092	4.08235	55	47
4.01092	4.08235	63	47
4.29663	4.37084	38	33
4.29663	4.37084	55	40
4.29663	4.37084	62	40
4.39557	4.46675	39	38
4.39557	4.46675	55	44
4.39557	4.46675	60	44
4.68031	4.75425	58	50
4.77889	4.85082	51	40
4.77889	4.85082	57	46
4.77889	4.85082	61	46
5.06658	5.14795	55	40
5.17508	5.24725	38	45
5.17508	5.24725	50	45
5.17508	5.24725	54	50
5.17508	5.24725	62	50
5.55995	6.32967	74	72
5.94481	6.32967	30	40
5.94481	6.70877	62	61
6.23346	6.32967	72	58
6.32967	6.5176	31	44
6.32967	6.40014	70	65
6.61156	6.68447	69	55
6.70877	7.36916	55	60
6.70877	6.77901	67	64
6.70877	7.08727	70	64
6.98971	7.06288	65	56
7.08727	7.15775	63	64
7.36916	7.46672	53	51
7.36916	7.44233	62	56
7.46672	7.53696	51	58
7.46672	7.53696	60	64
7.74766	7.82058	50	51
7.84488	7.91704	48	57
7.84488	8.70309	77	68
8.13352	8.70309	46	50
8.22975	8.70309	33	40
8.22975	8.99371	65	61
8.51839	8.70309	75	58
8.6146	8.80253	34	44
8.6146	8.70309	74	65
8.89649	8.96941	72	55
8.99371	9.65409	58	60
8.99371	9.06394	70	64
8.99371	9.37221	74	64
9.27464	9.34781	69	56
9.37221	9.44268	67	64
9.65409	9.75166	57	51
9.65409	9.72727	65	56
9.75166	9.82189	55	58
9.75166	9.82189	64	64
10.0326	10.1055	53	51
10.1298	10.202	52	57
10.1298	10.8995	81	70
10.4185	10.8995	50	50
10.5147	10.8995	37	40
10.5147	11.2786	69	61
10.8033	10.8995	79	58
10.8995	11.0875	38	44
10.8995	10.97	78	65
11.1814	11.2543	75	55
11.2786	11.939	62	58
11.2786	11.3489	74	64
11.2786	11.6571	78	64
11.5596	11.6327	72	56
11.6571	11.7276	70	64
11.6571	11.7276	79	64
11.939	12.0122	60	51
11.939	12.0122	69	56
12.0366	12.1068	58	58
12.0366	12.1068	67	64
12.3175	12.3904	57	51
12.4147	12.4869	55	57
12.4147	12.7996	70	71
12.7034	12.7756	53	50
12.7996	12.8718	52	57
12.7996	13.19	69	52
12.7996	13.19	73	62
13.0883	13.19	51	50
13.0883	13.19	67	58
13.1845	13.255	50	58
13.1845	13.255	66	56
13.1845	13.255	74	61
13.4664	13.5393	63	51
13.5636	14.224	50	60
13.5636	13.6338	62	59
13.5636	13.9421	66	59
13.8445	13.9421	60	50
13.9421	14.0126	58	57
13.9421	14.0126	67	57
14.224	14.3215	48	45
14.224	14.2971	57	49
14.3215	14.3918	46	51
14.3215	14.3918	55	57
14.6025	14.6754	45	44
14.6997	14.7702	43	52
14.6997	15.0788	58	61
14.9816	15.0545	41	42
15.0788	15.1517	40	48
15.0788	15.1517	57	55
15.0788	15.4677	61	55
15.3705	15.4434	39	35
15.3705	15.4434	55	47
15.4677	15.5406	38	41
15.4677	15.6621	54	54
15.4677	15.6621	62	54
15.7593	15.8323	36	29
15.8566	15.9266	34	35
15.8566	15.9499	55	40
15.9499	16.0432	57	32
16.0432	16.1366	55	34
16.1366	16.2129	33	28
16.1366	16.2384	50	34
16.2384	16.3195	31	35
16.2384	16.3195	62	40
16.5511	16.6235	34	35
16.5511	16.6235	50	40
16.5511	16.6235	55	40
16.6477	16.7201	33	40
16.6477	16.7201	48	46
16.6477	16.7201	54	46
17.0339	17.1272	60	43
17.1272	17.2205	62	37
17.2205	17.3139	60	37
17.3139	17.4168	57	37
17.4168	17.4967	69	49
17.7259	17.7981	30	33
17.7259	17.7981	50	44
17.7259	17.7981	60	44
17.8222	17.8943	31	40
17.8222	17.8943	50	48
17.8222	17.8943	58	48
18.207	18.3007	55	40
18.3007	18.3943	57	34
18.3943	18.488	55	34
18.488	18.5905	50	34
18.5905	18.6645	67	50
18.8839	18.9561	34	32
18.8839	18.9561	55	44
18.8839	18.9561	65	44
18.9801	19.0516	36	37
18.9801	19.0516	55	47
18.9801	19.0516	63	47
19.2658	19.34	38	33
19.2658	19.34	55	40
19.2658	19.34	62	40
19.3648	19.436	39	38
19.3648	19.436	55	44
19.3648	19.436	60	44
19.6495	19.7234	58	50
19.7481	19.82	51	40
19.7481	19.82	57	46
19.7481	19.82	61	46
20.0358	20.1172	55	40
20.1443	20.2405	38	45
20.1443	20.2405	50	45
20.1443	20.2405	54	50
20.1443	20.2405	62	50
20.5291	21.2989	74	72
20.914	21.2989	30	40
20.914	21.678	62	61
21.2026	21.2989	72	58
21.2989	21.4868	31	44
21.2989	21.3693	70	65
21.5807	21.6537	69	55
21.678	22.3383	55	60
21.678	21.7482	67	64
21.678	22.0565	70	64
21.9589	22.0321	65	56
22.0565	22.1269	63	64
22.3383	22.4359	53	51
22.3383	22.4115	62	56
22.4359	22.5061	51	58
22.4359	22.5061	60	64
22.7168	22.7898	50	51
22.8141	22.8862	48	57
22.8141	23.6723	77	68
23.1027	23.6723	46	50
23.1989	23.6723	33	40
23.1989	23.9629	65	61
23.4876	23.6723	75	58
23.5838	23.7717	34	44
