OnsetTime	OffsetTime	MidiPitch	Velocity
0.500004	2.00822	51	58
0.500004	2.00822	58	70
0.500004	1.50385	63	72
0.500004	1.25678	67	72
0.500004	2.01852	75	88
1.25678	1.50385	67	73
1.50385	2.00822	63	70
1.50385	2.00822	67	70
1.50385	2.01852	70	84
2.00822	2.52234	46	44
2.00822	2.51283	51	44
2.00822	2.51283	58	52
2.00822	2.51283	63	64
2.00822	2.2553	67	64
2.00822	2.52234	72	78
2.2553	2.51283	67	73
2.51283	4.01448	51	53
2.51283	4.01448	58	64
2.51283	3.52677	63	67
2.51283	3.52677	67	67
2.51283	3.52677	70	80
3.52677	4.01448	63	62
3.52677	4.01448	67	66
3.52677	4.50599	70	81
3.76872	4.25641	72	70
4.01448	4.51755	46	49
4.01448	4.50599	51	49
4.01448	4.50599	58	58
4.01448	4.50599	63	68
4.01448	4.50599	67	81
4.25641	4.51755	72	68
4.50599	6.01911	51	54
4.50599	6.01911	58	65
4.50599	5.51473	63	67
4.50599	5.51473	67	67
4.50599	5.51473	70	80
5.51473	6.52347	63	68
5.51473	6.52347	67	68
5.51473	6.52347	70	81
6.01911	6.52347	46	50
6.01911	6.52347	51	50
6.01911	6.52347	58	61
6.52347	8.04809	51	56
6.52347	8.04809	58	56
6.52347	8.04809	62	67
6.52347	7.52835	65	70
6.52347	8.04809	70	70
6.52347	7.52835	77	84
7.28003	8.04809	67	64
7.28003	8.04809	79	77
7.52835	8.04809	65	70
7.52835	8.04809	77	84
8.03273	8.54701	46	46
8.03273	8.54701	53	56
8.03273	8.54701	60	68
8.03273	8.54701	68	68
8.03273	8.54701	72	81
8.27852	8.54701	62	66
8.27852	8.54701	74	78
8.53335	10.5403	51	56
8.53335	10.5403	58	67
8.53335	9.54209	63	70
8.53335	9.54209	67	70
8.53335	9.54209	75	84
9.54209	10.5403	63	67
9.54209	10.5403	67	67
9.54209	10.5518	75	80
9.78599	10.2827	62	58
9.78599	10.2827	74	69
10.0359	10.5518	46	46
10.0359	10.5518	53	56
10.0359	10.5518	60	63
10.0359	10.5518	68	63
10.0359	10.5518	72	75
10.2827	10.5518	62	53
10.2827	10.5518	74	64
10.5403	12.5489	51	65
10.5403	11.549	58	65
10.5403	12.5489	63	65
10.5403	12.5489	67	65
10.5403	12.0479	70	77
11.549	12.5489	58	72
11.7968	12.2968	50	63
12.0479	12.5615	46	50
12.0479	12.5615	48	59
12.0479	12.5615	65	59
12.0479	12.5615	68	59
12.0479	12.5489	70	71
12.2968	12.5615	50	56
12.5489	14.5685	51	60
12.5489	13.5576	58	60
12.5489	14.5685	63	60
12.5489	14.5685	67	62
12.5489	14.0586	70	73
13.5576	14.5685	58	72
13.8065	14.3074	50	63
14.0586	14.5685	46	50
14.0586	14.5685	48	59
14.0586	14.5685	65	59
14.0586	14.5685	68	59
14.0586	14.5685	70	71
14.3074	14.5685	50	56
14.5685	16.0767	51	58
14.5685	16.0767	58	70
14.5685	15.5723	63	72
14.5685	15.3253	67	73
14.5685	16.0849	75	88
15.3253	15.5723	67	73
15.5723	16.0767	63	70
15.5723	16.0767	67	70
15.5723	16.0849	70	84
16.0767	16.5813	46	44
16.0767	16.5813	51	44
16.0767	16.5813	58	52
16.0767	16.5813	63	64
16.0767	16.3238	67	64
16.0767	16.5813	72	78
16.3238	16.5813	67	73
16.5813	18.083	51	53
16.5813	18.083	58	64
16.5813	17.5953	63	67
16.5813	17.5953	67	67
16.5813	17.5953	70	80
17.5953	18.083	63	62
17.5953	18.083	67	66
17.5953	18.5745	70	81
17.8372	18.3249	72	70
18.083	18.5881	46	49
18.083	18.5745	51	49
18.083	18.5745	58	58
18.083	18.5745	63	68
18.083	18.5745	67	81
18.3249	18.5881	72	68
18.5745	20.0876	51	54
18.5745	20.0876	58	65
18.5745	19.5832	63	67
18.5745	19.5832	67	67
18.5745	19.5832	70	80
19.5832	20.592	63	68
19.5832	20.592	67	68
19.5832	20.592	70	81
20.0876	20.592	46	50
20.0876	20.592	51	50
20.0876	20.592	58	61
20.592	22.1104	51	56
20.592	22.1104	58	56
20.592	22.1104	62	67
20.592	21.5968	65	70
20.592	22.1104	70	70
20.592	21.5968	77	84
21.3485	22.1104	67	64
21.3485	22.1104	79	77
21.5968	22.1104	65	70
21.5968	22.1104	77	84
22.1012	22.6018	46	46
22.1012	22.6018	53	56
22.1012	22.6018	60	68
22.1012	22.6018	68	68
22.1012	22.6018	72	81
22.347	22.6018	62	66
22.347	22.6018	74	78
22.6018	24.6117	51	56
22.6018	24.6117	58	67
22.6018	23.6106	63	70
22.6018	23.6106	67	70
22.6018	23.6106	75	84
23.6106	23.8574	63	67
23.6106	24.6117	67	67
23.6106	23.8574	75	80
23.8574	24.3541	62	58
23.8574	24.3541	74	69
24.1073	24.6211	46	46
24.1073	24.6211	53	56
24.1073	24.6211	60	63
24.1073	24.6211	68	63
24.1073	24.6211	72	75
24.3541	24.6211	62	53
24.3541	24.6211	74	64
24.6117	26.6415	51	62
24.6117	26.6415	58	62
24.6117	25.6204	63	62
24.6117	26.6202	67	62
24.6117	26.6415	70	73
25.6204	25.8682	63	70
25.8682	26.3681	62	66
26.1193	26.6415	44	50
26.1193	26.6202	50	50
26.1193	26.6202	60	61
26.1193	26.6415	66	59
26.1193	26.6415	72	71
26.3681	26.6202	62	58
26.6202	27.8853	43	52
26.6202	27.8853	50	62
26.6202	27.7696	60	62
26.6202	27.8853	62	62
26.6202	27.8853	67	74
27.6418	27.8853	59	63
27.8853	28.1257	41	63
28.1257	28.361	39	63
28.1257	28.5963	55	80
28.361	28.5963	38	63
28.5963	28.7139	36	67
28.5963	28.7139	60	75
28.8316	28.9452	43	61
29.0588	29.5719	48	63
29.0588	29.5719	60	61
29.0588	29.5719	63	66
29.0588	29.5719	67	80
29.2878	29.5719	43	59
29.5188	29.6325	36	67
29.5188	29.7461	62	67
29.7461	29.8585	43	59
29.9708	30.4788	48	62
29.9708	30.4788	62	62
29.9708	30.4788	65	67
29.9708	30.4788	67	81
30.1972	30.4788	43	59
30.4251	30.5402	36	68
30.4251	30.6552	63	73
30.6552	30.7684	43	60
30.8816	30.9935	48	63
30.8816	31.1055	62	58
30.8816	31.3345	65	58
30.8816	31.3345	67	69
31.1055	31.22	43	60
31.1055	31.3345	60	71
31.3345	31.4491	36	67
31.3345	31.5636	59	66
31.5636	31.6781	43	60
31.7927	32.2449	48	63
31.7927	32.2449	55	60
31.7927	32.2449	65	63
31.7927	32.2449	67	80
32.0188	32.2449	43	59
32.2449	32.3598	36	67
32.2449	32.4747	60	75
32.4747	32.5864	43	61
32.6982	33.2289	48	63
32.6982	33.2289	60	66
32.6982	33.2289	63	66
32.6982	33.2289	67	80
32.9244	33.2289	43	59
