OnsetTime	OffsetTime	MidiPitch	Velocity
0.529173	2.00628	50	33
0.59352	2.00628	57	37
0.65505	1.84258	62	40
0.713629	2.00628	66	45
0.76954	2.00628	74	50
1.46721	1.93572	71	51
1.74499	2.85596	52	31
1.79447	2.85596	55	36
1.84258	2.85596	62	37
1.88935	2.85596	67	39
1.93572	2.85596	71	55
2.85596	4.24296	54	36
2.91137	4.24296	57	44
2.96427	4.13436	62	40
3.01475	4.24296	69	42
3.06302	4.24296	74	53
3.76478	4.22851	71	53
4.03751	5.29908	55	33
4.08627	5.29908	59	36
4.13436	5.29908	62	36
4.18177	5.29908	67	39
4.22851	5.29908	71	52
5.26896	6.37588	57	41
5.26896	6.37588	60	47
5.26896	6.37588	66	52
5.26896	6.37588	76	63
5.99186	6.3533	74	60
6.3533	7.43764	59	41
6.3533	7.43764	62	46
6.3533	7.43764	67	52
6.3533	7.43764	74	59
7.43764	8.51969	61	42
7.43764	8.51969	64	48
7.43764	8.51969	70	52
7.43764	8.51969	79	66
7.78851	8.51969	78	58
8.13938	8.51969	76	56
8.50302	9.60455	62	51
8.50302	9.60455	67	51
8.50302	9.60455	69	48
8.86666	9.59395	66	50
9.23031	9.60455	64	49
9.59395	10.6962	50	42
9.59395	10.6962	57	48
9.59395	10.6962	66	48
9.59395	10.6962	74	60
9.95757	10.6962	69	56
10.3212	10.6962	72	58
10.6962	11.8081	51	39
10.6962	11.8081	57	45
10.6962	11.8081	66	50
10.6962	11.8081	72	57
11.4235	11.8081	52	34
11.4235	11.8081	55	38
11.4235	11.8081	67	49
11.4235	11.8081	71	55
11.7871	12.8937	49	33
11.7871	12.5057	64	52
11.7871	12.8738	69	52
12.1464	12.8937	57	51
12.5057	12.8738	55	40
12.5057	12.8738	64	53
12.8738	13.8476	50	39
12.8738	13.6446	55	45
12.8738	13.6446	64	55
12.8738	15.2468	69	55
13.6446	13.8476	54	40
13.6446	13.8476	62	53
13.8476	15.2468	50	33
13.91	15.2468	57	37
13.9703	15.1393	62	40
14.0289	15.2468	66	45
14.0857	15.2468	74	55
14.7834	15.2361	71	51
15.0334	16.1695	52	31
15.0874	16.1695	55	36
15.1393	16.1695	62	37
15.1887	16.1695	67	39
15.2361	16.1695	71	52
16.1564	17.5233	50	36
16.2118	17.5233	57	44
16.2647	17.4149	62	40
16.3151	17.5233	69	42
16.3634	17.5233	74	53
17.0652	17.5118	71	53
17.3091	18.5643	55	33
17.3631	18.5643	59	36
17.4149	18.5643	62	36
17.4644	18.5643	67	39
17.5118	18.5643	71	50
18.5522	19.6607	57	41
18.5522	19.6607	60	47
18.5522	19.6607	66	52
18.5522	19.6607	76	63
19.2751	19.6366	74	60
19.6366	20.7209	59	44
19.6366	20.7209	62	49
19.6366	20.7209	67	53
19.6366	20.7209	74	62
20.7209	21.7984	61	40
20.7209	21.7984	64	51
20.7209	21.7984	70	52
20.7209	21.4226	79	66
21.0718	21.7984	76	55
21.4226	21.7984	79	57
21.7863	22.8963	62	44
21.7863	22.8963	66	49
21.7863	22.8963	71	58
21.7863	22.5136	78	62
22.5136	22.8963	78	56
22.8772	23.9581	64	41
22.8772	23.9581	67	47
22.8772	23.9581	73	53
22.8772	23.2302	83	62
23.2302	23.9581	79	60
23.5831	23.9581	83	57
23.9581	25.049	66	41
23.9581	25.049	69	47
23.9581	25.049	74	51
23.9581	24.6854	81	61
24.6854	25.0642	81	55
25.049	26.1399	66	34
25.049	26.5036	69	39
25.049	26.1399	74	49
