OnsetTime	OffsetTime	MidiPitch	Velocity
0.500004	1.33526	62	67
0.500004	1.33526	74	75
1.33526	1.45458	62	65
1.33526	1.45458	74	73
1.45458	2.28983	62	67
1.45458	2.28983	74	75
2.28983	2.40915	62	63
2.28983	2.40915	74	71
2.40915	3.2444	62	70
2.40915	3.2444	74	78
3.2444	3.36372	62	66
3.2444	3.36372	74	74
3.36372	4.19897	62	70
3.36372	4.19897	74	78
4.19897	4.31829	62	67
4.19897	4.31829	74	75
4.31829	4.92475	47	61
4.31829	4.92475	55	68
4.31829	4.78587	62	70
4.31829	4.78587	74	78
4.78587	5.65682	62	70
4.78587	5.65682	74	78
4.92475	5.06364	47	56
4.92475	5.06364	55	63
5.06364	5.21281	47	56
5.06364	5.21281	55	63
5.21281	5.79619	47	62
5.21281	5.79619	55	69
5.65682	6.52243	62	70
5.65682	6.52243	74	78
5.79619	5.93556	47	56
5.79619	5.93556	55	63
5.93556	6.07493	47	55
5.93556	6.07493	55	62
6.07493	6.76235	47	61
6.07493	6.75061	55	68
6.52243	7.22011	62	70
6.52243	7.22011	74	78
6.75061	6.86799	55	55
6.75061	6.86799	59	62
6.98536	7.10274	57	61
6.98536	7.10274	60	68
7.22011	7.33748	55	55
7.22011	7.33748	59	62
7.22011	7.6896	62	67
7.22011	7.6896	74	75
7.45486	7.57223	57	61
7.45486	7.57223	60	68
7.6896	7.80698	50	60
7.6896	7.80698	57	67
7.6896	7.80698	62	68
7.6896	7.80698	74	76
7.92435	8.52243	59	61
7.92435	8.52243	62	68
8.38257	9.25489	67	83
8.38257	9.25489	79	83
8.52243	8.66229	59	56
8.52243	8.66229	62	63
8.66229	8.81087	59	56
8.66229	8.81087	62	63
8.81087	9.39426	59	62
8.81087	9.39426	62	69
9.25489	9.9123	67	70
9.25489	9.9123	79	78
9.39426	9.53881	59	56
9.39426	9.53881	62	63
9.53881	9.69973	59	55
9.53881	9.69973	62	62
9.68855	9.80042	60	61
9.68855	9.80042	64	68
9.9123	10.0242	59	54
9.9123	10.0242	62	61
9.9123	10.3642	67	70
9.9123	10.3642	79	78
10.136	10.2501	57	58
10.136	10.2501	60	65
10.3642	10.4816	55	53
10.3642	10.4816	59	59
10.3642	10.4816	67	68
10.3642	10.4816	79	76
10.599	10.7163	50	71
10.599	10.7163	57	79
10.599	10.7163	74	87
10.599	10.7163	78	87
10.599	10.7163	86	97
10.8337	10.9511	55	66
10.8337	10.9511	59	74
10.8337	10.9511	74	79
10.8337	10.9511	79	79
10.8337	10.9511	86	88
11.0685	11.3032	50	71
11.0685	11.3032	57	79
11.0685	11.3032	74	84
11.0685	11.3032	78	84
11.0685	11.3032	86	94
11.538	12.1454	59	72
11.538	12.1454	67	80
12.0055	13.7438	51	64
12.0055	13.7438	63	72
12.1454	12.2853	59	67
12.1454	12.2853	67	75
12.2853	12.4344	59	67
12.2853	12.4344	67	75
12.4344	13.0166	59	72
12.4344	13.0166	67	81
12.8767	13.9769	50	63
12.8767	13.9769	62	70
13.0166	13.1565	59	67
13.0166	13.1565	67	75
13.1565	13.2963	59	66
13.1565	13.2963	67	74
13.2963	13.9769	59	72
13.2963	13.9702	67	80
13.7438	14.6567	51	64
13.7438	14.6567	63	72
13.9702	14.0852	67	66
13.9702	14.0852	71	74
14.2002	14.3134	69	72
14.2002	14.3134	72	80
14.4266	14.5417	67	66
14.4266	14.5417	71	74
14.6567	15.1095	50	62
14.6567	14.8831	62	69
14.6567	14.7699	69	72
14.6567	14.7699	72	80
14.8831	15.1095	62	71
14.8831	14.9963	69	79
15.1095	15.7076	71	72
15.1095	15.7076	74	80
15.5677	16.0024	55	61
15.5677	16.0024	67	68
15.7076	15.8474	71	67
15.7076	15.8474	74	75
15.8474	15.996	71	67
15.8474	15.996	74	75
15.996	16.442	54	64
15.996	16.442	66	72
15.996	16.5736	71	72
15.996	16.5736	74	81
16.4332	16.8684	53	62
16.4332	16.8684	65	69
16.5736	16.7186	71	67
16.5736	16.7186	74	75
16.7186	16.8684	71	66
16.7186	16.8684	74	74
16.8684	17.5441	52	64
16.8684	17.5441	64	72
16.8684	16.9803	72	72
16.8684	16.9803	76	80
17.0921	17.204	71	69
