OnsetTime	OffsetTime	MidiPitch	Velocity
0.500004	0.640217	36	25
0.686954	0.827167	36	22
0.686954	0.827167	43	26
0.686954	0.827167	48	28
0.686954	0.827167	52	33
0.873904	1.01322	36	22
0.873904	1.01322	43	26
0.873904	1.01322	48	28
0.873904	1.01322	52	33
1.05966	1.19898	36	22
1.05966	1.19898	43	27
1.05966	1.19898	48	28
1.05966	1.19898	52	34
1.24542	1.38594	36	22
1.24542	1.38594	43	27
1.24542	1.38594	48	28
1.24542	1.38594	52	34
1.43282	1.57349	36	23
1.43282	1.57349	43	28
1.43282	1.57349	48	28
1.43282	1.57349	52	34
1.62038	1.76013	36	23
1.62038	1.76013	43	28
1.62038	1.76013	48	29
1.62038	1.76013	52	35
1.80672	1.94648	36	24
1.80672	1.94648	43	29
1.80672	1.94648	48	29
1.80672	1.94648	52	35
1.99307	2.13319	36	25
1.99307	2.13319	43	30
1.99307	2.13319	48	30
1.99307	2.13319	52	36
2.17993	2.32014	36	22
2.17993	2.32014	43	27
2.17993	2.32014	48	30
2.17993	2.32014	52	36
2.36688	2.50663	36	23
2.36688	2.50663	43	28
2.36688	2.50663	48	31
2.36688	2.50663	52	37
2.55322	2.69298	36	24
2.55322	2.69298	43	29
2.55322	2.69298	48	32
2.55322	2.69298	52	38
2.73957	2.87978	36	25
2.73957	2.87978	43	30
2.73957	2.87978	48	33
2.73957	2.87978	52	39
2.92652	3.06673	36	25
2.92652	3.06673	43	30
2.92652	3.06673	48	34
2.92652	3.06673	52	40
3.11347	3.25368	36	25
3.11347	3.25368	45	30
3.11347	3.25368	50	34
3.11347	3.25368	54	40
3.30042	3.44063	36	25
3.30042	3.44063	45	30
3.30042	3.44063	50	34
3.30042	3.44063	54	40
3.48737	3.62758	35	25
3.48737	3.62758	43	30
3.48737	4.04822	50	39
3.48737	4.04822	55	46
3.67432	3.81453	35	25
3.67432	3.81453	43	30
3.86127	4.00148	35	25
3.86127	4.00148	43	30
4.04822	4.18843	35	25
4.04822	4.18843	43	30
4.04822	4.1417	59	40
4.1417	4.23517	57	40
4.23517	4.37538	35	25
4.23517	4.37538	43	30
4.23517	4.32865	55	45
4.42212	4.56233	35	25
4.42212	4.56233	43	30
4.60907	4.74928	35	25
4.60907	4.74928	43	30
4.79602	4.94212	35	25
4.79602	4.94212	43	30
4.94212	4.99082	85	46
4.99082	5.13321	35	25
4.99082	5.13321	43	30
4.99082	5.46547	86	57
5.18068	5.32308	35	25
5.18068	5.32308	43	30
5.37054	5.51294	35	25
5.37054	5.51294	43	30
5.46547	5.5604	84	48
5.5604	5.7028	35	25
5.5604	5.7028	43	30
5.5604	5.65533	83	47
5.65533	5.75026	81	45
5.75026	5.89266	35	25
5.75026	5.89266	43	30
5.75026	5.94012	79	44
5.94012	6.08252	35	25
5.94012	6.08252	43	30
6.12998	6.27238	35	25
6.12998	6.27238	43	30
6.31984	6.465	35	25
6.31984	6.465	43	30
6.51339	6.6536	34	26
6.51339	6.6536	41	30
6.51339	6.6536	46	29
6.51339	6.6536	50	35
6.70034	6.84055	34	25
6.70034	6.84055	41	30
6.70034	6.84055	46	29
6.70034	6.84055	50	35
6.88729	7.02616	34	25
6.88729	7.02616	41	30
6.88729	7.02616	46	29
6.88729	7.02616	50	35
7.07245	7.21132	34	26
7.07245	7.21132	41	31
7.07245	7.21132	46	30
7.07245	7.21132	50	36
7.25762	7.39829	34	26
7.25762	7.39829	41	31
7.25762	7.39829	46	31
7.25762	7.39829	50	37
7.44517	7.58584	34	26
7.44517	7.58584	41	31
7.44517	7.58584	46	31
7.44517	7.58584	50	37
7.63273	7.7734	34	26
7.63273	7.7734	41	31
7.63273	7.7734	46	32
7.63273	7.7734	50	38
7.82028	7.96095	34	26
7.82028	7.96095	41	31
7.82028	7.96095	46	33
7.82028	7.96095	50	39
8.00783	8.14805	34	26
8.00783	8.14805	41	31
8.00783	8.14805	46	33
8.00783	8.14805	50	39
8.19478	8.335	34	26
8.19478	8.335	41	31
8.19478	8.335	46	34
8.19478	8.335	50	40
8.38173	8.5224	34	26
8.38173	8.5224	41	31
8.38173	8.5224	46	34
8.38173	8.5224	50	40
8.56929	8.70996	34	26
8.56929	8.70996	41	31
8.56929	8.70996	46	34
8.56929	8.70996	50	40
8.75684	8.89571	34	26
8.75684	8.89571	41	31
8.75684	8.89571	46	34
8.75684	8.89571	50	40
8.94201	9.08088	34	25
8.94201	9.08088	41	30
8.94201	9.08088	46	34
8.94201	9.08088	50	40
9.12717	9.26649	34	25
9.12717	9.26649	43	30
9.12717	9.26649	48	34
9.12717	9.26649	52	40
9.31293	9.45224	34	25
9.31293	9.45224	43	30
9.31293	9.45224	48	34
9.31293	9.45224	52	40
9.49869	9.6384	33	25
9.49869	9.6384	41	30
9.49869	10.0577	48	39
9.49869	10.0577	53	46
9.68499	9.82475	33	25
9.68499	9.82475	41	30
9.87134	10.0111	33	25
9.87134	10.0111	41	30
10.0577	10.1975	33	25
10.0577	10.1975	41	30
10.0577	10.1509	57	40
10.1509	10.244	55	40
10.244	10.3838	33	25
10.244	10.3838	41	30
10.244	10.3372	53	45
10.4304	10.5702	33	25
10.4304	10.5702	41	30
10.6168	10.7565	33	25
10.6168	10.7565	41	30
10.8031	10.9497	33	25
10.8031	10.9497	41	30
10.9497	10.9985	83	46
10.9985	11.1409	32	25
10.9985	11.1409	41	30
10.9985	11.4732	84	57
11.1884	11.3308	32	25
11.1884	11.3308	41	30
11.3783	11.5207	32	25
11.3783	11.5207	41	30
11.4732	11.5681	82	50
11.5681	11.7105	32	25
11.5681	11.7105	41	30
11.5681	11.6631	80	49
11.6631	11.758	79	47
11.758	11.9004	32	25
11.758	11.9004	41	30
11.758	11.9478	77	46
11.9478	12.0902	32	25
11.9478	12.0902	41	30
12.138	12.282	32	25
12.138	12.282	41	30
12.3299	12.4739	32	25
12.3299	12.4739	41	30
